date,kospi_return,vix_ret,dxy_ret,dgs2_diff,dgs10_diff,dexchus_usdcny_ret,baa10y_spread_diff,dgs3mo_diff,dexkous_usdkrw_ret,macro_fitted_return,macro_residual_return
2010-01-06,0.0090971796211607,-0.03443113772455075,-0.0014400703360668565,-0.08000000000000007,-0.08000000000000007,-0.00021970617960254124,-0.010000000000000231,-0.009999999999999995,-0.007204357757863322,0.005762282507432093,0.0033348971137286063
2010-01-07,-0.0119306456397894,-0.009819121447028456,-0.0014041958891217732,0.0,0.08000000000000007,0.00020510416361463335,-0.03999999999999959,-0.010000000000000009,0.004424778761061843,0.0009309466948681715,-0.012861592334657572
2010-01-08,0.0075576072930289,-0.0052192066805846205,0.002978475276917747,0.020000000000000018,0.0,0.00011717834544167083,-0.010000000000000231,-0.009999999999999995,-0.006387665198237857,0.003296496362284623,0.004261110930744277
2010-01-11,0.0001042083017717,-0.048793284365162615,-0.0023806843032898595,-0.07000000000000006,-0.020000000000000018,-8.787346221450498e-05,0.010000000000000231,0.0,-0.006872090445577461,0.0072810214681723155,-0.007176813166400615
2010-01-12,0.0029638789986102,-0.031991174848317594,-0.0059556042691959465,-0.010000000000000009,0.020000000000000018,-0.00016111550517039497,-0.020000000000000018,-0.010000000000000002,0.0002232142857143682,0.004043652891353693,-0.0010797738927434933
2010-01-13,-0.0156525940030143,0.03988603988603989,0.0011004402852847761,-0.029999999999999916,-0.10999999999999988,5.8596897294371786e-05,0.009999999999999787,0.010000000000000002,0.0015621513055121827,-0.003457158402665587,-0.012195435600348713
2010-01-14,0.0091445456310409,-0.021917808219177992,0.0002911652608217352,0.04999999999999993,0.05999999999999961,0.000410154247293848,0.020000000000000018,0.009999999999999995,0.00044563279857401383,0.0014686020065345189,0.007675943624506382
2010-01-15,0.0101539986618871,-0.012324929971988974,-0.001534986350831602,-0.030000000000000027,-0.040000000000000036,-0.00043927081045469496,-0.040000000000000036,-0.009999999999999995,0.00044543429844101645,0.0010679722293104614,0.009086026432576638
2010-01-21,0.0049279652035764,0.06257110352673512,0.007780463696062778,-0.010000000000000009,-0.04999999999999982,-0.00014648151403295895,0.0,-0.009999999999999995,0.006616674018526725,-0.008269703369419859,0.013197668572996259
2010-01-22,-0.02152233852895,0.19218415417558887,-0.00014998392258658289,-0.050000000000000044,-0.06000000000000005,0.00014650297401042067,0.029999999999999805,0.009999999999999995,0.010517090271691565,-0.01113965322974125,-0.01038268529920875
2010-01-25,-0.0077214519995047,0.22631342613381222,0.0030249496291387956,-0.030000000000000027,0.0,2.9296302806569585e-05,0.020000000000000018,0.0,-0.006071118820468291,-0.0027670837554666853,-0.004954368244038014
2010-01-26,-0.0191704936696696,-0.0695715854998169,-0.0003561322531013822,0.020000000000000018,0.040000000000000036,-2.929544455831934e-05,0.03000000000000025,0.0,0.014921465968586345,-0.005452287864202807,-0.013718205805466795
2010-01-27,-0.0066381255219479,-0.03384494293585205,0.004519432267175105,0.010000000000000009,-0.010000000000000231,-7.324075701653499e-05,0.029999999999999805,0.010000000000000009,-0.0009457484309173259,0.00012914575151958956,-0.006767271273467489
2010-01-28,0.011108068728026,-0.05743380855397151,-0.0004960902091293296,0.030000000000000027,0.010000000000000231,7.324612161796473e-05,-0.020000000000000018,0.009999999999999995,-0.00912220309810663,0.007619429560724889,0.0034886391673011104
2010-01-29,-0.02411199593304,0.02549697493517722,-0.00021440018867224797,-0.030000000000000027,0.020000000000000018,-1.4648151403395815e-05,0.0,0.0,0.006340107694980057,-0.00265736540450996,-0.02145463052853004
2010-02-01,0.0029727930720352,0.03750526759376327,0.005364370841755006,-0.050000000000000044,-0.050000000000000266,1.4648365974867517e-05,0.0,0.0,0.006084404936566701,-0.005787160069435929,0.008759953141471129
2010-02-02,-0.0062333019020258,-0.08245329000812351,-0.00033808356743225687,0.040000000000000036,0.050000000000000266,-0.00011718521122650039,0.0,0.020000000000000004,-0.005833154621488257,0.006872376534456246,-0.013105678436482046
2010-02-03,0.0124545912491736,-0.049136786188578974,-0.0033979821213864225,0.0,-0.010000000000000231,0.00014649868151184187,-0.009999999999999787,0.0,-0.00936192242978573,0.008423075765459755,0.004031515483713844
2010-02-04,0.001240943336527,0.005586592178770999,0.002282322916577373,0.020000000000000018,0.06000000000000005,-0.00014647722279192976,0.020000000000000018,0.0,-0.001916209389425827,0.0016237861420844665,-0.0003828428055574664
2010-02-05,-0.0302350957374224,0.20740740740740726,0.0054824046106456414,-0.07999999999999996,-0.10999999999999988,0.0002929973630239058,0.040000000000000036,-0.010000000000000009,0.020115193297844502,-0.019524981139854743,-0.010710114597567658
2010-02-08,-0.0086892796223211,0.0011503067484663898,0.005116841813424866,-0.030000000000000027,-0.03000000000000025,-7.322788517871714e-05,0.0,0.010000000000000009,0.0008982420120620116,-0.0016423029851242292,-0.007046976637196872
2010-02-18,-0.00366514517155,-0.02382022471910117,0.0025149226589076257,0.050000000000000044,0.08000000000000007,0.0,0.0,0.0,0.00017482517482525495,0.0013405846999049776,-0.005005729871454978
2010-02-19,-0.016624035906233,-0.05018416206261511,0.0016869920217335022,0.030000000000000027,0.04999999999999982,5.8542868015099e-05,-0.009999999999999787,0.0,0.007690963118335947,-0.002141807581950623,-0.014482228324282378
2010-02-22,0.0209829228182189,-0.029568589432864778,0.0008703044041451502,0.04999999999999993,-0.010000000000000231,-0.000585394409483464,-0.07000000000000028,0.009999999999999995,-0.003295750216825599,0.002555344610530118,0.018427578207688783
2010-02-23,0.0012985076198543,-0.003996003996003861,-0.0023063766471648206,-0.039999999999999925,0.020000000000000018,-0.0003807292429345299,0.0,0.0,0.005046989209885,-0.00040252858746519637,0.0017010362073194964
2010-02-24,-0.0095642928593036,0.07171514543630897,0.0025517334078655196,-0.040000000000000036,-0.10999999999999988,4.394702918086857e-05,0.0,0.009999999999999995,0.0008658008658009031,-0.004186861976542985,-0.005377430882760615
2010-02-25,-0.0155248133326088,-0.05147402901263465,-2.0217196534444426e-05,0.0,0.010000000000000231,2.929673194951299e-05,0.0,0.0,0.008823529411764675,-0.002650334159551722,-0.012874479173057079
2010-02-26,0.0046752446871571,-0.008386778490379831,0.004279747811976264,-0.050000000000000044,-0.06000000000000005,-2.9295873676282724e-05,-0.009999999999999787,0.010000000000000009,-0.0061738981306809215,0.0026923021042395776,0.001982942582917522
2010-03-02,0.0134500399257038,-0.04179104477611939,-0.006164461213587269,-0.019999999999999907,-0.03000000000000025,-5.8593463899137e-05,0.009999999999999787,0.0,-0.01035375323554788,0.009345439585917709,0.0041046003397860915
2010-03-03,0.0046805369055757,-0.010384215991692813,-0.0033039119212689982,0.0,0.010000000000000231,2.9298448647185893e-05,-0.009999999999999787,0.010000000000000009,-0.005231037489102031,0.005385135712917682,-0.0007045988073419813
2010-03-04,-0.0024204757504956,-0.012067156348373631,-0.005368603457128307,0.019999999999999907,0.009999999999999787,-0.00010254156595623787,-0.010000000000000231,0.0,0.003943908851884226,0.0005076836142054518,-0.002928159364701052
2010-03-05,0.0102689027707479,-0.005841741901221442,0.004536161856449672,0.040000000000000036,-0.020000000000000018,0.0,-0.009999999999999787,0.0,-0.005237887385421192,0.0014366388859243634,0.008832263884823536
2010-03-08,0.015883149166318,-0.06944444444444431,-0.0015587546663612395,0.050000000000000044,0.08000000000000007,2.9300594801995317e-05,-0.010000000000000231,0.009999999999999981,-0.007020623080298383,0.008143209611364197,0.007739939554953803
2010-03-09,0.0006870575958889,0.021239954075774836,-0.0001897872988334548,-0.010000000000000009,0.03000000000000025,1.46498681512508e-05,-0.020000000000000018,0.010000000000000009,0.003225806451613078,-0.0006677137038617585,0.0013547712997506586
2010-03-10,0.0010290653203044,0.007307476110174349,-0.0005415863224250694,-0.010000000000000009,-0.010000000000000231,2.929930707140649e-05,0.020000000000000018,0.0,-0.0062106329559972195,0.004013373888620908,-0.002984308568316508
2010-03-11,-0.0031158085411481,0.0362723214285714,-0.0016256393913349765,0.030000000000000027,0.020000000000000018,-5.8596897294260764e-05,-0.020000000000000018,-0.010000000000000009,0.004724758443400479,-0.002379439950853284,-0.0007363685902948163
2010-03-12,0.0039670253977455,-0.02746365105008086,0.0001150010855242023,0.04999999999999993,0.0,0.00010255057941077617,-0.029999999999999805,0.010000000000000009,-0.004499616209205803,0.0035500124124514154,0.0004170129852940842
2010-03-15,-0.0077944174872799,-0.02657807308970106,-0.0042094154640403,0.0,-0.020000000000000018,-0.00017578296663056658,-0.010000000000000231,-0.010000000000000009,0.00546825839958176,-0.0007121162551983911,-0.0070823012320815094
2010-03-16,-0.0007131499589279,0.023890784982935287,0.0032656461792155422,-0.010000000000000009,0.0,7.325577988104293e-05,0.010000000000000231,0.020000000000000018,-0.001322168356103992,-8.382856108673229e-05,-0.0006293213978411677
