window,start_date,end_date,n_observations,macro_r2,macro_share_pct,sector_r2,sector_share_pct,idiosyncratic_share,idiosyncratic_share_pct,combined_r2
full_2010_2026,2010-01-06,2026-05-04,3478,0.23571614042546363,23.57161404254636,,,0.7642838595745364,76.42838595745364,0.23571614042546363
sub_2010_2017,2010-01-06,2017-12-28,1707,0.28756563111414857,28.756563111414856,,,0.7124343688858514,71.24343688858514,0.28756563111414857
sub_2018_2026,2018-01-04,2026-05-04,1771,0.23137779471851583,23.137779471851584,,,0.7686222052814842,76.86222052814841,0.23137779471851583
