date,V1_factor_macro_gate_mcap_net_value,V2_kospi_buy_and_hold_net_value,V3_cash_net_value
2021-01-04,1.0274357191123635,1.0,1.0
2021-01-05,1.0314369689332832,1.0162095342765787,1.0
2021-01-06,1.011659098261232,1.0091250555115596,1.0
2021-01-07,1.0566389488072079,1.0315468164859913,1.0
2021-01-08,1.0904116209827242,1.0748134066898853,1.0
2021-01-11,1.084062510302278,1.074594091441997,1.0
2021-01-12,1.068032209156656,1.0676389918191236,1.0
2021-01-13,1.0777867854886762,1.0758380646180692,1.0
2021-01-14,1.085361238902927,1.076979904322865,1.0
2021-01-15,1.0769491101869288,1.0554552725312583,1.0
2021-01-18,1.0419964222855393,1.0315300227405004,1.0
2021-01-19,1.065736250898667,1.0592280786861377,1.0
2021-01-20,1.0619951266859124,1.0672672846523672,1.0
2021-01-21,1.1141093037390775,1.084042163144625,1.0
2021-01-22,1.0960302619218834,1.0778856381481166,1.0
2021-01-25,1.1248625339710698,1.1016766568382506,1.0
2021-01-26,1.085367129917257,1.078592517754861,1.0
2021-01-27,1.0661571790396522,1.0728573103226713,1.0
2021-01-28,1.0376131333454495,1.055192830897371,1.0
2021-01-29,1.0072526646790916,1.0237322332662702,1.0
2021-02-01,1.027931293735447,1.0523115477104772,1.0
2021-02-02,1.0408198690875332,1.066551794234672,1.0
2021-02-03,1.0677762318876787,1.0785325405627777,1.0
2021-02-04,1.0710113289041645,1.0645750617517795,1.0
2021-02-05,1.0799403959372498,1.0765408759647894,1.0
2021-02-08,1.0464582434297458,1.0678281963101406,1.0
2021-02-09,1.0384630560255796,1.066175384974416,1.0
2021-02-10,1.0408455755984927,1.0721423140623225,1.0
2021-02-15,1.0569645541201762,1.0890156615236903,1.0
2021-02-16,1.0591152438367477,1.09515393491596,1.0
2021-02-17,1.0432919151512174,1.0853386844190474,1.0
2021-02-18,1.0295369992528882,1.069272010070222,1.0
2021-02-19,1.0358974782430797,1.0770490739935163,1.0
2021-02-22,1.0278244452279715,1.0679679417965795,1.0
2021-02-23,1.0180288985864707,1.065269855277002,1.0
2021-02-24,0.9903587163069023,1.039848474894094,1.0
2021-02-25,1.0139818752701768,1.0768431277784467,1.0
2021-02-26,0.9808993774534676,1.047254928823717,1.0
2021-03-02,1.0016584387983394,1.0584942682471574,1.0
2021-03-03,1.0077066593555082,1.0723833281387956,1.0
2021-03-04,0.997709302559561,1.0590377324044347,1.0
2021-03-05,1.000314136675681,1.0535692200379054,1.0
2021-03-08,0.9921853110302319,1.043669949659261,1.0
2021-03-09,0.9837525139276603,1.0372614280819925,1.0
2021-03-10,0.9865189797127476,1.0314355597351208,1.0
2021-03-11,1.0059588208008465,1.0511988485266093,1.0
2021-03-12,1.0208007770122514,1.0656557735356842,1.0
2021-03-15,1.028650404111067,1.0629979284392101,1.0
2021-03-16,1.0156707101076452,1.0711152068782435,1.0
2021-03-17,0.9994360708893135,1.0645958846973016,1.0
2021-03-18,1.0024612151094137,1.073461671197716,1.0
2021-03-19,0.9917907185041059,1.0643224434588525,1.0
2021-03-22,0.9857312345253587,1.063534204692611,1.0
2021-03-23,0.9776893644043724,1.0532453010005398,1.0
2021-03-24,0.9669231709819781,1.0505677807322855,1.0
2021-03-25,0.981733819741941,1.0551178427311998,1.0
2021-03-26,0.9910873607061004,1.0671365589480148,1.0
2021-03-29,0.9819964398391653,1.0659965876113475,1.0
2021-03-30,0.9905864333869085,1.0784506597401553,1.0
2021-03-31,0.9832076555703723,1.0757009263828055,1.0
2021-04-01,0.9750462914113647,1.0854926320709006,1.0
2021-04-02,0.9897741056681563,1.0948096551547735,1.0
2021-04-05,1.0094685016186755,1.0980148541431984,1.0
2021-04-06,0.9991378243257959,1.1006751701150626,1.0
2021-04-07,1.0107870842370783,1.1046039839891237,1.0
2021-04-08,1.022177793067933,1.107057278796486,1.0
2021-04-09,1.011998758467005,1.1034756567584025,1.0
2021-04-12,1.0087678120074042,1.10521200734364,1.0
2021-04-13,1.0092244365065612,1.1174771945356246,1.0
2021-04-14,1.022629547805971,1.1224811068538425,1.0
2021-04-15,1.020366267827103,1.1271415675853151,1.0
2021-04-16,1.0257953537640532,1.1289240412868862,1.0
2021-04-19,1.0495763856856684,1.1293178382465479,1.0
2021-04-20,1.0473143730340881,1.1373505129306287,1.0
2021-04-21,1.0329424325709657,1.1204730597111365,1.0
2021-04-22,1.03673495633753,1.1229838999807855,1.0
2021-04-23,1.0344105575226252,1.1264328894876123,1.0
2021-04-26,1.061684275667572,1.137949005044513,1.0
2021-04-27,1.0867451678920954,1.1377907816697332,1.0
2021-04-28,1.1028455661507692,1.1264451401201685,1.0
2021-04-29,1.1073033157630718,1.1244376958076046,1.0
2021-04-30,1.0781460298985894,1.1155719985755033,1.0
2021-05-03,1.0581652274173048,1.1090575968620324,1.0
2021-05-04,1.0669281571946485,1.1165063573628324,1.0
2021-05-06,1.116421433616083,1.1284303849854767,1.0
2021-05-07,1.150298744735278,1.1353334794982815,1.0
2021-05-10,1.1795766502795,1.1542430307561604,1.0
2021-05-11,1.184487549873084,1.1393011232573678,1.0
2021-05-12,1.190944690139721,1.1229092826995224,1.0
2021-05-13,1.147944428046405,1.1094438591924392,1.0
2021-05-14,1.1389499805933176,1.1211780611984234,1.0
2021-05-17,1.1184941316746193,1.1152646311491803,1.0
2021-05-18,1.1457150189665224,1.1292839084397066,1.0
2021-05-20,1.1351446730399688,1.1258584129691254,1.0
2021-05-21,1.1308798769877892,1.1242652923697827,1.0
2021-05-24,1.1348316281832767,1.120256039081362,1.0
2021-05-25,1.1552402071209746,1.130176965613205,1.0
2021-05-26,1.1381334940797758,1.1296779328750746,1.0
2021-05-27,1.1521479172079594,1.128209363606833,1.0
2021-05-28,1.1600058130950508,1.1368702916788247,1.0
2021-05-31,1.1502903149938275,1.1427296262682225,1.0
2021-06-01,1.148087373961606,1.1494138224493256,1.0
2021-06-02,1.1447906846649654,1.1506576222442804,1.0
2021-06-03,1.1361610312343533,1.1592719925241926,1.0
2021-06-04,1.1279361163415496,1.1570734138038183,1.0
2021-06-07,1.0951904186229482,1.1623316899534615,1.0
2021-06-08,1.1206913474632207,1.1614845505239333,1.0
2021-06-09,1.0930877364717169,1.1504841307441347,1.0
2021-06-10,1.0937571826938999,1.1540410647604857,1.0
2021-06-11,1.1228730050301,1.163337303055412,1.0
2021-06-14,1.1398001253906942,1.1648037125742128,1.0
2021-06-15,1.1222690341746453,1.1673897952820018,1.0
2021-06-16,1.1268741134382547,1.1748414964679894,1.0
2021-06-17,1.114117536119648,1.1702386223560943,1.0
2021-06-18,1.1077372851041725,1.1717677684220564,1.0
2021-06-21,1.1009816497804843,1.1623916240402472,1.0
2021-06-22,1.1155005315276247,1.1711065214579197,1.0
2021-06-23,1.111589882337655,1.176389344530066,1.0
2021-06-24,1.1194816361565456,1.180466083834148,1.0
2021-06-25,1.1208431194696205,1.186882338817769,1.0
2021-06-28,1.1330036364512712,1.1868914365299321,1.0
2021-06-29,1.1165068846769015,1.1817989462037606,1.0
2021-06-30,1.119706336358195,1.1856639534633993,1.0
2021-07-01,1.1073496731756627,1.1808236463224056,1.0
2021-07-02,1.1055918502752524,1.1809661395849078,1.0
2021-07-05,1.1259862771701532,1.1854107483019545,1.0
2021-07-06,1.1260389669991324,1.190266351395323,1.0
2021-07-07,1.126804209852883,1.183393302877745,1.0
2021-07-08,1.115830159428088,1.171925227390719,1.0
2021-07-09,1.090991349226647,1.1596187311062245,1.0
2021-07-12,1.0986002016397733,1.1700698919129908,1.0
2021-07-13,1.0972085074710531,1.1793540203345656,1.0
2021-07-14,1.0955634463049628,1.1772993989628742,1.0
2021-07-15,1.0858511521911756,1.1853170458308266,1.0
2021-07-16,1.0911662453883988,1.18244223839643,1.0
2021-07-19,1.0811980661473257,1.1708274062568302,1.0
2021-07-20,1.0660119230298046,1.1670016731924673,1.0
2021-07-21,1.0596039386432126,1.161399635976907,1.0
2021-07-22,1.0613980188282837,1.174087417458217,1.0
2021-07-23,1.0520141443445592,1.1759996793206209,1.0
2021-07-26,1.0314078889974496,1.1655762865279353,1.0
2021-07-27,1.0447337066186784,1.168573881317681,1.0
2021-07-28,1.0559907175169498,1.1704007614068161,1.0
2021-07-29,1.052916524925129,1.1726968857842064,1.0
2021-07-30,1.040632483629606,1.158343574578982,1.0
2021-08-02,1.0407237526669826,1.1662651499471297,1.0
2021-08-03,1.0296596886774014,1.1718767122871223,1.0
2021-08-04,1.0514832247904358,1.1877367729102335,1.0
2021-08-05,1.0515095418569103,1.1864822771488504,1.0
2021-08-06,1.0431444870184043,1.1901728443237518,1.0
2021-08-09,1.042022853066493,1.187147049642726,1.0
2021-08-10,1.029915742311967,1.1824562503889855,1.0
2021-08-11,1.0294508891029592,1.1750208458429394,1.0
2021-08-12,1.0385881125537995,1.1711336655313502,1.0
2021-08-13,1.0349199387741865,1.1581252107015176,1.0
2021-08-17,1.0267242446688174,1.1489727987620655,1.0
2021-08-18,1.043253704602812,1.1551117335033225,1.0
2021-08-19,1.0209550868081392,1.1336190285729888,1.0
2021-08-20,1.0126139715613394,1.1202995334452437,1.0
2021-08-23,0.9916878752922422,1.132162060412061,1.0
2021-08-24,1.0077828035264864,1.1506551049937268,1.0
2021-08-25,1.017578036034171,1.1541427348756534,1.0
2021-08-26,1.0114786448356314,1.1480083264476213,1.0
2021-08-27,1.0144525524187369,1.1502507220889628,1.0
2021-08-30,1.0120656212484898,1.154376177959533,1.0
2021-08-31,1.025883212908326,1.174863475787718,1.0
2021-09-01,1.0149351404145381,1.1786704520002347,1.0
2021-09-02,1.0039573094685097,1.1677958455327058,1.0
2021-09-03,1.0017522967650176,1.1775074400460157,1.0
2021-09-06,1.0022689681553179,1.1789126677487167,1.0
2021-09-07,1.0013770150837027,1.1733862438296219,1.0
2021-09-08,0.9748800621072,1.1653517025908522,1.0
2021-09-09,0.9469277649585908,1.1480266686459566,1.0
2021-09-10,0.9522400685930036,1.1525024837790587,1.0
2021-09-13,0.9462934366567625,1.1537057328529308,1.0
2021-09-14,0.94454007240424,1.16191384751636,1.0
2021-09-15,0.9394389294174451,1.1640024261414859,1.0
2021-09-16,0.9315427342141578,1.1557235604824683,1.0
2021-09-17,0.9264214911105405,1.160032637093468,1.0
2021-09-23,0.9312394648379458,1.1559157050863675,1.0
2021-09-24,0.9347743359870443,1.1554820082359671,1.0
2021-09-27,0.9397828818177648,1.159004451721988,1.0
2021-09-28,0.9320803048678573,1.1463346238542855,1.0
2021-09-29,0.9161317600428536,1.132842238422782,1.0
2021-09-30,0.9069360919364472,1.1365910384995528,1.0
2021-10-01,0.8787071246077915,1.1185617360923334,1.0
2021-10-05,0.8362864528877958,1.098418444256092,1.0
2021-10-06,0.822252416549844,1.079012327389375,1.0
2021-10-07,0.8297817500741035,1.0984997791245168,1.0
2021-10-08,0.8347461578036094,1.0979825390300815,1.0
2021-10-12,0.8198403847392193,1.0838408767913201,1.0
2021-10-13,0.8266057872539934,1.0946825640759903,1.0
2021-10-14,0.8492800180197149,1.1115740457526941,1.0
2021-10-15,0.8541219485200257,1.1217263767259578,1.0
2021-10-18,0.846658475745934,1.118851461277118,1.0
2021-10-19,0.8537665068767448,1.1274633013626005,1.0
2021-10-20,0.8508442831569819,1.121903290621456,1.0
2021-10-21,0.8445042871887382,1.1200726947828121,1.0
2021-10-22,0.8474180338578347,1.1198880331973857,1.0
