signal_date,mode,n_stocks,rank_ic,rank_ic_mean_quarterly,rank_ic_std_quarterly,rank_ic_t_stat,n_quarters
2017-03-31 00:00:00,universe,87,-0.260844207917183,,,,
2017-06-30 00:00:00,universe,87,0.05201574688342932,,,,
2017-12-28 00:00:00,universe,88,0.14478179704836042,,,,
2019-06-28 00:00:00,universe,80,0.25721987810595404,,,,
2019-09-30 00:00:00,universe,91,-0.06975633062589584,,,,
2019-12-30 00:00:00,universe,81,0.187353206865402,,,,
2020-03-31 00:00:00,universe,93,0.10766613947658978,,,,
2020-06-30 00:00:00,universe,84,-0.062711349600081,,,,
2020-09-29 00:00:00,universe,85,-0.15493453195231582,,,,
2020-12-30 00:00:00,universe,85,0.10949775258940786,,,,
2021-03-31 00:00:00,universe,81,0.20481029810298101,,,,
2021-06-30 00:00:00,universe,84,0.36863420066821906,,,,
2021-09-30 00:00:00,universe,83,-0.05614793669451325,,,,
2021-12-30 00:00:00,universe,87,0.2799810454180943,,,,
2023-09-27 00:00:00,universe,90,0.16893443635016667,,,,
2023-12-28 00:00:00,universe,85,0.09687316787179988,,,,
2024-03-29 00:00:00,universe,87,0.24291025734490046,,,,
2024-09-30 00:00:00,universe,92,0.10165991091657291,,,,
2025-06-30 00:00:00,universe,95,-0.16676931690929453,,,,
2025-09-30 00:00:00,universe,86,0.10154252559082975,,,,
2025-12-30 00:00:00,universe,92,0.28629995530416286,,,,
2026-03-31 00:00:00,universe,92,0.06168025522864232,,,,
ALL,universe,1915,0.06369604979312075,0.0909407681848286,0.1630000598224166,2.616870280718191,22.0
