ending_year,start_year,end_year,sharpe
2017,2015,2017,1.5423229855919711
2018,2016,2018,1.323177762851787
2019,2017,2019,0.7345824536626577
2020,2018,2020,0.7231044846464139
2021,2019,2021,0.24103159980572553
2022,2020,2022,0.3388183245247715
2023,2021,2023,-0.3263189629329081
2024,2022,2024,0.4164943499989913
2025,2023,2025,1.0119893025340971
2026,2024,2026,1.5625933219117916
