subperiod,year,trades,net,annualized,max_DD,sharpe
full,2010,0,0.0,0.0,0.0,
full,2011,0,0.0,0.0,0.0,
full,2012,0,0.0,0.0,0.0,
full,2013,0,0.0,0.0,0.0,
full,2014,0,0.0,0.0,0.0,
full,2015,0,0.0,0.0,0.0,
full,2017,10,0.2403692106606221,0.25030459811426775,-0.04658520491128293,2.3285506331660777
full,2018,5,0.029874529417038165,0.030868989390882007,-0.11041833344133112,0.2810890276649817
full,2019,10,-0.021857782058122166,-0.02238488732406263,-0.19824319324281736,-0.17250646040801706
full,2020,20,0.5097607845023526,0.5198256006971835,-0.3097538927908484,1.6960526272192054
full,2021,20,-0.22170470373296858,-0.2248447900469287,-0.3285595930503934,-0.9291083059621669
full,2022,5,0.018878432119839195,0.019343306891528744,-0.14685020467175147,0.1459169787043606
full,2023,5,0.05642068046553006,0.0580786432655338,-0.09992108678251532,0.48304849571373504
full,2024,15,0.13293859829828136,0.13758440894209012,-0.1032437829453614,0.6362159753937635
full,2025,10,0.4070580977736471,0.42705471960105323,-0.10503749954330988,1.9298207247383452
full,2026,10,0.48079077511059376,2.3416137514724373,-0.21655408421999645,3.855512502395532
scheme_a_is,2015,0,0.0,0.0,0.0,
scheme_a_is,2017,10,0.2403692106606221,0.25030459811426775,-0.04658520491128293,2.3285506331660777
scheme_a_is,2018,5,0.029874529417038165,0.030868989390882007,-0.11041833344133112,0.2810890276649817
scheme_a_is,2019,10,-0.021857782058122166,-0.02238488732406263,-0.19824319324281736,-0.17250646040801706
scheme_a_is,2020,20,0.5057599184234214,0.5157331901043205,-0.3097538927908484,1.6834602511789614
scheme_a_oos,2021,20,-0.22170470373296847,-0.2248447900469286,-0.3285595930503932,-0.9291083059621663
scheme_a_oos,2022,5,0.018878432119839417,0.019343306891528966,-0.14685020467175147,0.14591697870436254
scheme_a_oos,2023,5,0.05642068046552984,0.05807864326553358,-0.09992108678251521,0.483048495713732
scheme_a_oos,2024,15,0.13293859829828092,0.13758440894208945,-0.10324378294536174,0.6362159753937614
scheme_a_oos,2025,10,0.40705809777364754,0.4270547196010537,-0.10503749954330999,1.9298207247383459
scheme_a_oos,2026,10,0.48079077511059354,2.3416137514724356,-0.21655408421999633,3.8555125023955297
scheme_b_is,2015,0,0.0,0.0,0.0,
scheme_b_is,2017,10,0.2403692106606221,0.25030459811426775,-0.04658520491128293,2.3285506331660777
scheme_b_is,2018,5,0.029874529417038165,0.030868989390882007,-0.11041833344133112,0.2810890276649817
scheme_b_is,2019,10,-0.02444985893566831,-0.02503866885167816,-0.19824319324281736,-0.19302963290994957
scheme_b_oos,2020,20,0.5097607845023526,0.5198256006971835,-0.3097538927908484,1.696052627219205
scheme_b_oos,2021,20,-0.2217047037329688,-0.22484479004692892,-0.3285595930503935,-0.9291083059621683
scheme_b_oos,2022,5,0.01887843211983964,0.01934330689152919,-0.14685020467175125,0.14591697870436432
scheme_b_oos,2023,5,0.05642068046552984,0.05807864326553358,-0.09992108678251499,0.48304849571373365
scheme_b_oos,2024,15,0.13293859829828114,0.1375844089420899,-0.10324378294536163,0.6362159753937625
scheme_b_oos,2025,10,0.4070580977736469,0.427054719601053,-0.10503749954330999,1.9298207247383434
scheme_b_oos,2026,10,0.480790775110594,2.3416137514724387,-0.21655408421999645,3.855512502395532
scheme_c_is,2015,0,0.0,0.0,0.0,
scheme_c_is,2017,10,0.2403692106606221,0.25030459811426775,-0.04658520491128293,2.3285506331660777
scheme_c_is,2018,5,0.029874529417038165,0.030868989390882007,-0.11041833344133112,0.2810890276649817
scheme_c_is,2019,10,-0.021857782058122166,-0.02238488732406263,-0.19824319324281736,-0.17250646040801706
scheme_c_is,2020,20,0.5097607845023526,0.5198256006971835,-0.3097538927908484,1.6960526272192054
scheme_c_is,2021,20,-0.22376718626807623,-0.2269320383409894,-0.3303389101288099,-0.9375018421787106
scheme_c_oos,2022,5,0.018878432119839417,0.019343306891528966,-0.14685020467175125,0.1459169787043626
scheme_c_oos,2023,5,0.05642068046553006,0.0580786432655338,-0.09992108678251499,0.4830484957137351
scheme_c_oos,2024,15,0.13293859829828159,0.13758440894209034,-0.1032437829453614,0.6362159753937653
scheme_c_oos,2025,10,0.4070580977736469,0.427054719601053,-0.10503749954330999,1.9298207247383425
scheme_c_oos,2026,10,0.48079077511059354,2.3416137514724356,-0.21655408421999633,3.8555125023955323
