subperiod,start,end,trades,net,cost0,Sharpe,annualized,MaxDD,pos_years,full_exact_e011
full,2010-01-04,2026-05-04,110,2.9652796624027413,3.2634192837224143,0.5660027769289406,0.09632104071092806,-0.41474162966818906,8,True
scheme_a_is,2015-01-01,2020-12-31,45,0.8773174695949062,0.9340919478899226,0.8382548837131762,0.13785644621739723,-0.3097538927908484,3,False
scheme_a_oos,2021-01-01,2026-05-04,65,1.0156672789723604,1.1022632561179813,0.601543092389171,0.1447070980459455,-0.41474162966818906,5,False
scheme_b_is,2015-01-01,2019-12-31,25,0.26619121955214875,0.28726464538190344,0.6212889231025607,0.06250282831317366,-0.2476031534280163,2,False
scheme_b_oos,2020-01-01,2026-05-04,85,2.180473882381753,2.3614588856410172,0.8161399691859935,0.20623731751444296,-0.4147416296681894,6,False
scheme_c_is,2015-01-01,2021-12-31,65,0.527027908668581,0.5941807463763606,0.4142002975579978,0.07489800369268829,-0.3303389101288099,3,False
scheme_c_oos,2022-01-01,2026-05-04,45,1.574881558280227,1.6501719362125429,1.0513471165890746,0.25240253052826667,-0.21655408421999633,5,False
