metric,value
off_quarters,38.0
off_quarter_pct,0.6229508196721312
on_quarters,23.0
on_quarter_pct,0.3770491803278688
avg_off_duration_quarters,7.6
longest_off_streak_quarters,24.0
on_off_transition_count,9.0
