metric,n,mean
off_usdk_rw_mean_yoy,34,0.02619215859064713
off_us10y_mean_quarter_change_bps,37,3.5675675675675693
off_kr_short_rate_mean_quarter_carry,38,0.006678385281612827
off_d013_cash_baseline_return,38,0.0
