scenario,cost_multiplier,extra_slippage_bps,commission_bps,tax_bps_sell,slippage_bps,h001_cumulative_net_total_return,h001_sharpe,h001_max_drawdown,d013_cumulative_net_total_return,delta_vs_d013
plus_5_bps,,5.0,1.5,20.0,10.0,3.4751142845076126,0.6365834485033083,-0.3391463037406838,2.470717681594315,1.0043966029132978
plus_10_bps,,10.0,1.5,20.0,15.0,3.380389618715636,0.6270123984716415,-0.3390579888103834,2.397253061129656,0.9831365575859801
plus_20_bps,,20.0,1.5,20.0,25.0,3.196910413379399,0.6078293422110106,-0.3439921158258914,2.254954008707709,0.9419564046716902
