scenario,cost_multiplier,extra_slippage_bps,commission_bps,tax_bps_sell,slippage_bps,h001_cumulative_net_total_return,h001_sharpe,h001_max_drawdown,d013_cumulative_net_total_return,delta_vs_d013
base,1.0,,1.5,20.0,5.0,3.571886489071015,0.6461391042868482,-0.3392346174957135,2.5457702903350135,1.0261161987360015
2x,2.0,,3.0,40.0,10.0,3.2542718250575646,0.6139370561780421,-0.34235547651133524,2.2994412001168385,0.9548306249407261
3x,3.0,,4.5,60.0,15.0,2.9581399186529693,0.58152205563284,-0.3509335355882116,2.069773268014911,0.8883666506380585
5x,5.0,,7.5,100.0,25.0,2.424757395051927,0.5162581285545621,-0.36780655081455826,1.6561033507740772,0.7686540442778496
