criterion,value,operator,threshold,passes,overall_pass
3x cost cumulative,2.9581399186529693,>=,2.5,True,False
5x cost cumulative,2.424757395051927,>=,1.8,True,False
+20bps slippage cumulative,3.196910413379399,>=,2.8,True,False
spike years excluded cumulative,0.9260995161072525,>=,1.3,False,False
max single-year contribution share,0.1307822722302468,<,0.5,True,False
