subperiod,start,end,h001_cumulative_return,d013_cumulative_return,delta_vs_d013
2010_2017,2010-01-04,2017-12-31,0.28796065864821085,0.09401472235486108,0.19394593629334977
2018_2026,2018-01-01,2026-05-04,2.5482855102379607,2.2397622930903776,0.30852321714758313
exclude_2020_2025,2010-01-04,2026-05-04,0.9260995161072525,0.5170708942330251,0.4090286218742274
