overall_rank,variant,return_score_pp,mdd_score_pp,stress_count,return_improved_count,mdd_improved_count,return_worsened_count,mdd_worsened_count,balanced_score_pp,family
1,N002-B,-0.4494408793499105,1.6215235523716816,4,2,4,2,0,0.5860413365108855,N-family
2,N001-B,1.824414796893148,0.714919523893956,4,3,2,0,1,1.2696671603935519,N-family
3,K001-B,-0.19010333453658157,0.6044882813201452,4,2,4,2,0,0.20719247339178182,K001
4,K001-D,-0.5720591206225978,0.3957848918082818,4,1,2,3,2,-0.08813711440715799,K001
5,K001-F,-0.04053581349233726,0.3669274147008239,4,1,2,3,2,0.16319580060424332,K001
6,K001-A,-0.09932691639010227,0.3191968861110783,4,2,4,2,0,0.10993498486048803,K001
7,K001-C,-0.29181743877231825,0.25788283824094704,4,1,2,3,2,-0.016967300265685603,K001
8,K001-E,-0.02316671030802575,0.18886774304293363,4,1,2,3,2,0.08285051636745394,K001
