correction_rcept_no,correction_rcept_dt,corp_name,stock_code,event_category,correction_report_nm,confidence_5tier,evidence_state,body_format_cache,blocked_overlay,residual_action_class,residual_action_note,root_cause,candidate_rcept_no,candidate_rcept_dt_iso,title_similarity,pass3_score,manual_review_required,downstream_authoritative,supersession_ready,supersession_wired
20101228900194,20101228,SOOP,067160,suspension_related,[기재정정]주권매매거래정지(구주권 제출),high_validated,html_inline_body_confirms_candidate,html_inline,,accepted_high_validated_design_only,body confirms candidate title/date; design-only; still manual_review_required,,20101227900279,2010-12-27,0.842,15.259,True,False,yes,False
20101223900406,20101223,세실,084450,suspension_related,[기재정정]주권매매거래정지,medium_needs_manual,html_inline_body_confirms_candidate,html_inline,other_manual_review_required,body_confirms_candidate_but_below_high,body references candidate but below high bar (medium_needs_manual),needs_manual_adjudication,20101221900396,2010-12-21,0.485,10.719,True,False,blocked,False
20101208900051,20101208,신화프리텍,095190,suspension_related,[기재정정]주권매매거래정지(무상증자),no_link,no_candidate,html_inline,,no_link_original_not_found,root_cause=original_not_in_raw_pool,original_not_in_raw_pool,,,,,True,False,,False
20101126900274,20101126,에이전트AI,060900,resumption_related,[기재정정]기타경영사항(자율공시)(광업권 매매계약 해제 등),no_link,html_inline_body_confirms_candidate,html_inline,,no_link_insufficient_evidence,root_cause=insufficient_evidence,insufficient_evidence,20100323900006,2010-03-23,0.9,11.331,True,False,,False
20101015900434,20101015,에이디모터스,038120,suspension_related,[기재정정]주권매매거래정지(무상증자),medium_needs_manual,html_inline_body_confirms_candidate,html_inline,other_manual_review_required,body_confirms_candidate_but_below_high,body references candidate but below high bar (medium_needs_manual),needs_manual_adjudication,20100210900257,2010-02-10,0.571,8.842,True,False,blocked,False
20101015900293,20101015,디지털대성,068930,suspension_related,[기재정정]주권매매거래정지(우회상장여부 및 요건충족확인),no_link,no_candidate,html_inline,,no_link_original_not_found,root_cause=original_not_in_raw_pool,original_not_in_raw_pool,,,,,True,False,,False
20110331902711,20110331,한와이어리스,037020,suspension_related,[기재정정]주권매매거래정지기간변경(사업보고서 미제출),rejected_wrong_candidate,html_inline_body_no_candidate_ref,html_inline,source_blocked_non_extracted,rejected_wrong_candidate_quarantined,html_inline body present but candidate not referenced; quarantined,,20110323900713,2011-03-23,0.585,9.845,True,False,,False
20110323900724,20110323,뉴젠아이씨티,054150,suspension_related,[기재정정]주권매매거래정지기간변경,rejected_wrong_candidate,html_inline_body_no_candidate_ref,html_inline,source_blocked_non_extracted,rejected_wrong_candidate_quarantined,html_inline body present but candidate not referenced; quarantined,,20100707900434,2010-07-07,0.8,13.136,True,False,,False
20110323900723,20110323,뉴젠아이씨티,054150,suspension_related,[기재정정]주권매매거래정지기간변경,rejected_wrong_candidate,html_inline_body_no_candidate_ref,html_inline,source_blocked_non_extracted,rejected_wrong_candidate_quarantined,html_inline body present but candidate not referenced; quarantined,,20100707900434,2010-07-07,0.8,13.136,True,False,,False
20110318800229,20110318,인바이오젠,101140,resumption_related,[기재정정]매매거래정지및정지해제(풍문등조회공시),medium_needs_manual,html_inline_body_confirms_candidate,html_inline,other_manual_review_required,body_confirms_candidate_but_below_high,body references candidate but below high bar (medium_needs_manual),needs_manual_adjudication,20110310801898,2011-03-10,0.667,9.467,True,False,blocked,False
20110224900602,20110224,삼우이엠씨,026250,suspension_related,[기재정정]주권매매거래정지,no_link,no_candidate,html_inline,,no_link_original_not_found,root_cause=original_not_in_raw_pool,original_not_in_raw_pool,,,,,True,False,,False
20110614900389,20110614,이룸지엔지,050640,suspension_related,[기재정정]주권매매거래정지기간변경(상장폐지 실질심사 대상 결정),medium_needs_manual,html_inline_body_confirms_candidate,html_inline,other_manual_review_required,body_confirms_candidate_but_below_high,body references candidate but below high bar (medium_needs_manual),needs_manual_adjudication,20110523900012,2011-05-23,0.372,7.468,True,False,blocked,False
20110531800008,20110531,경남기업,000800,resumption_related,[기재정정]매매거래정지및정지해제(중요내용공시),no_link,no_candidate,html_inline,,no_link_original_not_found,root_cause=original_not_in_raw_pool,original_not_in_raw_pool,,,,,True,False,,False
20110512900210,20110512,네이처셀,007390,suspension_related,[기재정정]주권매매거래정지,medium_needs_manual,html_inline_body_confirms_candidate,html_inline,other_manual_review_required,body_confirms_candidate_but_below_high,body references candidate but below high bar (medium_needs_manual),needs_manual_adjudication,20110118900343,2011-01-18,0.471,10.237,True,False,blocked,False
20110506800027,20110506,다산자기관리부동산투자회사,105380,resumption_related,[기재정정]매매거래정지및정지해제(풍문등조회공시),medium_needs_manual,html_inline_body_confirms_candidate,html_inline,other_manual_review_required,body_confirms_candidate_but_below_high,body references candidate but below high bar (medium_needs_manual),needs_manual_adjudication,20110328800819,2011-03-28,0.667,9.34,True,False,blocked,False
20110411900648,20110411,에코솔루션,052510,suspension_related,[기재정정]주권매매거래정지기간변경(사업보고서 제출),medium_needs_manual,html_inline_body_confirms_candidate,html_inline,other_manual_review_required,body_confirms_candidate_but_below_high,body references candidate but below high bar (medium_needs_manual),needs_manual_adjudication,20110331902696,2011-03-31,0.863,10.249,True,False,blocked,False
20110407800122,20110407,현대지에프홀딩스,005440,resumption_related,[기재정정]매매거래정지및정지해제(중요내용공시),high_validated,html_inline_body_confirms_candidate,html_inline,,accepted_high_validated_design_only,body confirms candidate title/date; design-only; still manual_review_required,,20100413800050,2010-04-13,0.864,13.32,True,False,yes,False
20110923900387,20110923,바이오빌,065940,suspension_related,[기재정정]주권매매거래정지,no_link,no_candidate,html_inline,,no_link_original_not_found,root_cause=original_not_in_raw_pool,original_not_in_raw_pool,,,,,True,False,,False
20111109800418,20111109,유니켐,011330,resumption_related,[기재정정]매매거래정지및정지해제(중요내용공시),high_validated,html_inline_body_confirms_candidate,html_inline,,accepted_high_validated_design_only,body confirms candidate title/date; design-only; still manual_review_required,,20110811800004,2011-08-11,0.864,14.426,True,False,yes,False
20111102900010,20111102,에스티씨라이프,026220,suspension_related,[기재정정]주권매매거래정지기간변경,high_validated,html_inline_body_confirms_candidate,html_inline,,accepted_high_validated_design_only,body confirms candidate title/date; design-only; still manual_review_required,,20111101900419,2011-11-01,0.8,14.196,True,False,yes,False
20120322901069,20120322,스타코링크,060240,suspension_related,[기재정정]주권매매거래정지(관리종목지정사유발생),medium_needs_manual,html_inline_body_confirms_candidate,html_inline,other_manual_review_required,body_confirms_candidate_but_below_high,body references candidate but below high bar (medium_needs_manual),needs_manual_adjudication,20120314900228,2012-03-14,0.727,10.058,True,False,blocked,False
20120319900631,20120319,엔스퍼트,098400,suspension_related,[기재정정]주권매매거래정지(투자자 보호),medium_needs_manual,html_inline_body_confirms_candidate,html_inline,other_manual_review_required,body_confirms_candidate_but_below_high,body references candidate but below high bar (medium_needs_manual),needs_manual_adjudication,20120315901390,2012-03-15,0.537,9.788,True,False,blocked,False
20120319900621,20120319,엔스퍼트,098400,suspension_related,[기재정정]주권매매거래정지(상장폐지 사유발생),medium_needs_manual,html_inline_body_confirms_candidate,html_inline,other_manual_review_required,body_confirms_candidate_but_below_high,body references candidate but below high bar (medium_needs_manual),needs_manual_adjudication,20120315901390,2012-03-15,0.5,9.734,True,False,blocked,False
20120312900806,20120312,아인스엠앤엠,040740,suspension_related,[기재정정]주권매매거래정지기간변경(상장폐지 사유 발생),high_validated,html_inline_body_confirms_candidate,html_inline,,accepted_high_validated_design_only,body confirms candidate title/date; design-only; still manual_review_required,,20120308901602,2012-03-08,0.889,15.317,True,False,yes,False
20120307900749,20120307,쎄니트,037760,suspension_related,[기재정정]주권매매거래정지(관리종목지정우려),no_link,no_candidate,html_inline,,no_link_original_not_found,root_cause=original_not_in_raw_pool,original_not_in_raw_pool,,,,,True,False,,False
20120209900299,20120209,아바코,083930,suspension_related,[기재정정]주권매매거래정지,no_link,no_candidate,html_inline,,no_link_original_not_found,root_cause=original_not_in_raw_pool,original_not_in_raw_pool,,,,,True,False,,False
20120201900424,20120201,라온시큐어,042510,suspension_related,[기재정정]주권매매거래정지,medium_needs_manual,html_inline_body_confirms_candidate,html_inline,other_manual_review_required,body_confirms_candidate_but_below_high,body references candidate but below high bar (medium_needs_manual),needs_manual_adjudication,20110426900201,2011-04-26,0.533,9.645,True,False,blocked,False
20120201900262,20120201,삼표시멘트,038500,suspension_related,[기재정정]주권매매거래정지,no_link,no_candidate,html_inline,,no_link_insufficient_evidence,root_cause=insufficient_evidence,insufficient_evidence,,,,,True,False,,False
20120131800145,20120131,거북선5호선박투자회사,114130,resumption_related,[기재정정]매매거래정지및정지해제(중요내용공시),no_link,no_candidate,html_inline,,no_link_original_not_found,root_cause=original_not_in_raw_pool,original_not_in_raw_pool,,,,,True,False,,False
20120131800143,20120131,거북선6호선박투자회사,114140,resumption_related,[기재정정]매매거래정지및정지해제(중요내용공시),no_link,no_candidate,html_inline,,no_link_original_not_found,root_cause=original_not_in_raw_pool,original_not_in_raw_pool,,,,,True,False,,False
20120423900095,20120423,엑큐리스,048460,suspension_related,[기재정정]주권매매거래정지(합병 및 감자),medium_needs_manual,html_inline_body_confirms_candidate,html_inline,other_manual_review_required,body_confirms_candidate_but_below_high,body references candidate but below high bar (medium_needs_manual),needs_manual_adjudication,20110512900598,2011-05-12,0.512,8.341,True,False,blocked,False
20120423900096,20120423,에이치엠넥스,036170,suspension_related,[기재정정]주권매매거래정지(합병 및 감자),no_link,no_candidate,html_inline,,no_link_original_not_found,root_cause=original_not_in_raw_pool,original_not_in_raw_pool,,,,,True,False,,False
20120423900092,20120423,에이치엠넥스,036170,suspension_related,[기재정정]주권매매거래정지(합병 및 감자),no_link,no_candidate,html_inline,,no_link_original_not_found,root_cause=original_not_in_raw_pool,original_not_in_raw_pool,,,,,True,False,,False
20120423900091,20120423,엑큐리스,048460,suspension_related,[기재정정]주권매매거래정지(합병 및 감자),medium_needs_manual,html_inline_body_confirms_candidate,html_inline,other_manual_review_required,body_confirms_candidate_but_below_high,body references candidate but below high bar (medium_needs_manual),needs_manual_adjudication,20110512900598,2011-05-12,0.512,8.341,True,False,blocked,False
20120912900348,20120912,무한투자,034510,suspension_related,[기재정정]주권매매거래정지(상장폐지결정),medium_needs_manual,html_inline_body_confirms_candidate,html_inline,other_manual_review_required,body_confirms_candidate_but_below_high,body references candidate but below high bar (medium_needs_manual),needs_manual_adjudication,20120315902014,2012-03-15,0.6,9.156,True,False,blocked,False
20120809900022,20120809,오리엔탈정공,014940,suspension_related,[기재정정]주권매매거래정지(자본감소),medium_needs_manual,html_inline_body_confirms_candidate,html_inline,other_manual_review_required,body_confirms_candidate_but_below_high,body references candidate but below high bar (medium_needs_manual),needs_manual_adjudication,20120229901014,2012-02-29,0.571,9.191,True,False,blocked,False
20120731900236,20120731,금강제강,105070,suspension_related,[기재정정]주권매매거래정지(풍문 또는 보도 관련),no_link,no_candidate,html_inline,,no_link_insufficient_evidence,root_cause=insufficient_evidence,insufficient_evidence,,,,,True,False,,False
20130315901436,20130315,프리젠,060910,suspension_related,[기재정정]주권매매거래정지(투자자 보호),no_link,no_candidate,html_inline,,no_link_insufficient_evidence,root_cause=insufficient_evidence,insufficient_evidence,,,,,True,False,,False
20130314802024,20130314,알앤엘재생의학연구소,003190,resumption_related,[기재정정]매매거래정지및정지해제(중요내용공시),no_link,no_candidate,html_inline,,no_link_original_not_found,root_cause=original_not_in_raw_pool,original_not_in_raw_pool,,,,,True,False,,False
20130117900277,20130117,아큐텍,013780,suspension_related,[기재정정]기타경영사항(자율공시)(주권매매거래정지 효력정지 등 가처분신청),medium_needs_manual,html_inline_body_confirms_candidate,html_inline,other_manual_review_required,body_confirms_candidate_but_below_high,body references candidate but below high bar (medium_needs_manual),needs_manual_adjudication,20121221900586,2012-12-21,0.921,15.271,True,False,blocked,False
20130520900302,20130520,우림피티에스,101170,suspension_related,[기재정정]주권매매거래정지(무상증자),no_link,no_candidate,html_inline,,no_link_original_not_found,root_cause=original_not_in_raw_pool,original_not_in_raw_pool,,,,,True,False,,False
20140317900074,20140317,에스지피엠,074000,resumption_related,[기재정정]주권매매거래정지해제(상장폐지에 따른 정리매매 개시),high_validated,html_inline_body_confirms_candidate,html_inline,,accepted_high_validated_design_only,body confirms candidate title/date; design-only; still manual_review_required,,20140313902133,2014-03-13,0.903,15.338,True,False,yes,False
20140214900136,20140214,스포츠서울,039670,suspension_related,[기재정정]주권매매거래정지기간변경(감자 주권 변경상장),high_validated,html_inline_body_confirms_candidate,html_inline,,accepted_high_validated_design_only,body confirms candidate title/date; design-only; still manual_review_required,,20140213900482,2014-02-13,0.889,15.329,True,False,yes,False
20140602800019,20140602,유니켐,011330,resumption_related,[기재정정]매매거래정지및정지해제(풍문등조회공시),high_validated,html_inline_body_confirms_candidate,html_inline,,accepted_high_validated_design_only,body confirms candidate title/date; design-only; still manual_review_required,,20140530801640,2014-05-30,0.87,14.792,True,False,yes,False
20140519900313,20140519,씨그널엔터테인먼트그룹,099830,resumption_related,[기재정정]기타주요경영사항(유형자산 취득 계약 해제),no_link,no_candidate,html_inline,,no_link_cross_category_blocked,root_cause=original_likely_cross_category_not_allowed,original_likely_cross_category_not_allowed,,,,,True,False,,False
20141016900317,20141016,골프존홀딩스,121440,suspension_related,[기재정정]주권매매거래정지(분할),no_link,no_candidate,html_inline,,no_link_insufficient_evidence,root_cause=insufficient_evidence,insufficient_evidence,,,,,True,False,,False
20150323600022,20150323,웹솔루스,160350,suspension_related,[기재정정]주권매매거래정지,no_link,source_blocked_zip_unparseable,zip_unparseable,source_blocked_zip_unparseable,zip_unparseable_requires_source_recovery,cached body corrupt; capped at no_link; needs source recovery (separate verdict + download approval),insufficient_evidence,20150320602504,2015-03-20,0.41,10.603,True,False,,False
20150128900203,20150128,바른손이앤에이,035620,suspension_related,[기재정정]주권매매거래정지,no_link,source_blocked_zip_unparseable,zip_unparseable,source_blocked_zip_unparseable,zip_unparseable_requires_source_recovery,cached body corrupt; capped at no_link; needs source recovery (separate verdict + download approval),original_not_in_raw_pool,,,,,True,False,,False
20150122900284,20150122,팬스타엔터프라이즈,054300,resumption_related,[기재정정]기타주요경영사항(주식 및 경영권 양수도 계약 해제),no_link,source_blocked_zip_unparseable,zip_unparseable,source_blocked_zip_unparseable,zip_unparseable_requires_source_recovery,cached body corrupt; capped at no_link; needs source recovery (separate verdict + download approval),insufficient_evidence,20150121900503,2015-01-21,0.862,7.288,True,False,,False
20150526800147,20150526,플랜텍,051310,resumption_related,[기재정정]매매거래정지및정지해제(중요내용공시),no_link,source_blocked_zip_unparseable,zip_unparseable,source_blocked_zip_unparseable,zip_unparseable_requires_source_recovery,cached body corrupt; capped at no_link; needs source recovery (separate verdict + download approval),original_not_in_raw_pool,,,,,True,False,,False
20150514901020,20150514,코데즈컴바인,047770,suspension_related,[기재정정]주권매매거래정지기간변경(개선기간 부여),low_needs_manual,source_blocked_zip_unparseable,zip_unparseable,source_blocked_zip_unparseable,zip_unparseable_requires_source_recovery,cached body corrupt; capped at low_needs_manual; needs source recovery (separate verdict + download approval),body_blocked_zip_unparseable,20150410900768,2015-04-10,0.588,9.743,True,False,blocked,False
20150421900128,20150421,해피드림,065180,resumption_related,[기재정정]주권매매거래정지해제(상장폐지에 따른 정리매매 개시),medium_needs_manual,source_blocked_zip_unparseable,zip_unparseable,source_blocked_zip_unparseable,zip_unparseable_requires_source_recovery,cached body corrupt; capped at medium_needs_manual; needs source recovery (separate verdict + download approval),body_blocked_zip_unparseable,20150420900546,2015-04-20,0.903,15.351,True,False,blocked,False
20150925900143,20150925,네이트커뮤니케이션즈,066270,resumption_related,[기재정정]최대주주변경을수반하는주식양수도계약해제ㆍ취소등,no_link,source_blocked_zip_unparseable,zip_unparseable,source_blocked_zip_unparseable,zip_unparseable_requires_source_recovery,cached body corrupt; capped at no_link; needs source recovery (separate verdict + download approval),insufficient_evidence,20150924900510,2015-09-24,0.889,11.329,True,False,,False
20150911800465,20150911,삼양제넥스,003940,resumption_related,[기재정정]매매거래정지및정지해제(중요내용공시),no_link,source_blocked_zip_unparseable,zip_unparseable,source_blocked_zip_unparseable,zip_unparseable_requires_source_recovery,cached body corrupt; capped at no_link; needs source recovery (separate verdict + download approval),original_not_in_raw_pool,,,,,True,False,,False
20151231900042,20151231,제이스코홀딩스,023440,resumption_related,[기재정정]최대주주변경을수반하는주식양수도계약해제ㆍ취소등,no_link,source_blocked_zip_unparseable,zip_unparseable,source_blocked_zip_unparseable,zip_unparseable_requires_source_recovery,cached body corrupt; capped at no_link; needs source recovery (separate verdict + download approval),insufficient_evidence,20151222900044,2015-12-22,0.889,11.296,True,False,,False
20151230900233,20151230,제이스코홀딩스,023440,resumption_related,[기재정정]최대주주변경을수반하는주식양수도계약해제ㆍ취소등,no_link,source_blocked_zip_unparseable,zip_unparseable,source_blocked_zip_unparseable,zip_unparseable_requires_source_recovery,cached body corrupt; capped at no_link; needs source recovery (separate verdict + download approval),insufficient_evidence,20151222900044,2015-12-22,0.889,11.3,True,False,,False
20151127900167,20151127,모베이스,101330,suspension_related,[기재정정]주권매매거래정지(무상증자),medium_needs_manual,source_blocked_zip_unparseable,zip_unparseable,source_blocked_zip_unparseable,zip_unparseable_requires_source_recovery,cached body corrupt; capped at medium_needs_manual; needs source recovery (separate verdict + download approval),body_blocked_zip_unparseable,20150210900075,2015-02-10,0.824,14.044,True,False,blocked,False
20160224900085,20160224,제이앤유글로벌,086200,resumption_related,[기재정정]기타주요경영사항(타법인 주식 및 출자증권 취득계약 해제),no_link,source_blocked_zip_unparseable,zip_unparseable,source_blocked_zip_unparseable,zip_unparseable_requires_source_recovery,cached body corrupt; capped at no_link; needs source recovery (separate verdict + download approval),insufficient_evidence,20160223900750,2016-02-23,0.912,12.364,True,False,,False
20160429600510,20160429,비엘사이언스,228180,suspension_related,[기재정정]주권매매거래정지(구주권 제출),medium_needs_manual,source_blocked_zip_unparseable,zip_unparseable,source_blocked_zip_unparseable,zip_unparseable_requires_source_recovery,cached body corrupt; capped at medium_needs_manual; needs source recovery (separate verdict + download approval),body_blocked_zip_unparseable,20160422600284,2016-04-22,0.842,15.234,True,False,blocked,False
20160429900427,20160429,제이앤유글로벌,086200,resumption_related,[기재정정]주권매매거래정지해제,low_needs_manual,source_blocked_zip_unparseable,zip_unparseable,source_blocked_zip_unparseable,zip_unparseable_requires_source_recovery,cached body corrupt; capped at low_needs_manual; needs source recovery (separate verdict + download approval),body_blocked_zip_unparseable,20160422900677,2016-04-22,0.455,10.653,True,False,blocked,False
20160429900298,20160429,오상헬스케어,036220,resumption_related,[기재정정]주권매매거래정지해제(상장폐지에 따른 정리매매 개시),medium_needs_manual,source_blocked_zip_unparseable,zip_unparseable,source_blocked_zip_unparseable,zip_unparseable_requires_source_recovery,cached body corrupt; capped at medium_needs_manual; needs source recovery (separate verdict + download approval),body_blocked_zip_unparseable,20160422900676,2016-04-22,0.889,15.305,True,False,blocked,False
20161125900030,20161125,네이트커뮤니케이션즈,066270,suspension_related,[기재정정]주권매매거래정지(자진상장폐지 신청),medium_needs_manual,source_blocked_zip_unparseable,zip_unparseable,source_blocked_zip_unparseable,zip_unparseable_requires_source_recovery,cached body corrupt; capped at medium_needs_manual; needs source recovery (separate verdict + download approval),body_blocked_zip_unparseable,20161124900474,2016-11-24,0.864,15.291,True,False,blocked,False
20161115900075,20161115,케이엔씨글로벌,068150,suspension_related,[기재정정]주권매매거래정지기간변경(투자자 보호),medium_needs_manual,source_blocked_zip_unparseable,zip_unparseable,source_blocked_zip_unparseable,zip_unparseable_requires_source_recovery,cached body corrupt; capped at medium_needs_manual; needs source recovery (separate verdict + download approval),body_blocked_zip_unparseable,20161109900631,2016-11-09,0.87,15.28,True,False,blocked,False
20161017900147,20161017,티엔엔터테인먼트,131100,resumption_related,[기재정정]최대주주변경을수반하는주식담보제공계약해제ㆍ취소등,no_link,source_blocked_zip_unparseable,zip_unparseable,source_blocked_zip_unparseable,zip_unparseable_requires_source_recovery,cached body corrupt; capped at no_link; needs source recovery (separate verdict + download approval),insufficient_evidence,20161014900549,2016-10-14,0.893,11.327,True,False,,False
20170330902219,20170330,퓨처코어,151910,suspension_related,[기재정정]주권매매거래정지기간변경(상장폐지사유 발생 등),low_needs_manual,source_blocked_zip_unparseable,zip_unparseable,source_blocked_zip_unparseable,zip_unparseable_requires_source_recovery,cached body corrupt; capped at low_needs_manual; needs source recovery (separate verdict + download approval),body_blocked_zip_unparseable,20170323900047,2017-03-23,0.571,9.828,True,False,blocked,False
20170327900337,20170327,신양오라컴디스플레이,086830,resumption_related,[기재정정]기타주요경영사항(타법인 주식 및 출자증권 취득결정 계약해제),no_link,source_blocked_zip_unparseable,zip_unparseable,source_blocked_zip_unparseable,zip_unparseable_requires_source_recovery,cached body corrupt; capped at no_link; needs source recovery (separate verdict + download approval),insufficient_evidence,20170324903183,2017-03-24,0.917,12.363,True,False,,False
20170223600535,20170223,엄지하우스,224810,suspension_related,[기재정정]주권매매거래정지(무상증자),no_link,source_blocked_zip_unparseable,zip_unparseable,source_blocked_zip_unparseable,zip_unparseable_requires_source_recovery,cached body corrupt; capped at no_link; needs source recovery (separate verdict + download approval),original_not_in_raw_pool,,,,,True,False,,False
20170124900649,20170124,케이에스피,073010,suspension_related,[기재정정]주권매매거래정지기간변경,low_needs_manual,source_blocked_zip_unparseable,zip_unparseable,source_blocked_zip_unparseable,zip_unparseable_requires_source_recovery,cached body corrupt; capped at low_needs_manual; needs source recovery (separate verdict + download approval),body_blocked_zip_unparseable,20161115900004,2016-11-15,0.471,8.418,True,False,blocked,False
20170124900643,20170124,케이에스피,073010,suspension_related,[기재정정]주권매매거래정지기간변경,low_needs_manual,source_blocked_zip_unparseable,zip_unparseable,source_blocked_zip_unparseable,zip_unparseable_requires_source_recovery,cached body corrupt; capped at low_needs_manual; needs source recovery (separate verdict + download approval),body_blocked_zip_unparseable,20161115900004,2016-11-15,0.471,8.418,True,False,blocked,False
20170421900722,20170421,제이앤케이인더스트리,039230,suspension_related,[기재정정]주권매매거래정지(불성실공시법인 지정),no_link,source_blocked_zip_unparseable,zip_unparseable,source_blocked_zip_unparseable,zip_unparseable_requires_source_recovery,cached body corrupt; capped at no_link; needs source recovery (separate verdict + download approval),original_not_in_raw_pool,,,,,True,False,,False
20171110900736,20171110,알파칩스,117670,resumption_related,[기재정정]최대주주변경을수반하는주식담보제공계약해제ㆍ취소등,no_link,source_blocked_zip_unparseable,zip_unparseable,source_blocked_zip_unparseable,zip_unparseable_requires_source_recovery,cached body corrupt; capped at no_link; needs source recovery (separate verdict + download approval),insufficient_evidence,20170424900644,2017-04-24,0.115,4.351,True,False,,False
20230717800694,2023-07-17,PKC,001340,resumption_related,[기재정정]매매거래정지및정지해제(풍문등조회공시),no_link,no_candidate,html_inline,,no_link_insufficient_evidence,root_cause=insufficient_evidence,insufficient_evidence,,,,,True,False,,False
20230214900950,2023-02-14,압타머사이언스,291650,suspension_related,[기재정정]주권매매거래정지(무상증자),no_link,no_candidate,html_inline,,no_link_original_not_found,root_cause=original_not_in_raw_pool,original_not_in_raw_pool,,,,,True,False,,False
20230206901186,2023-02-06,광무,029480,suspension_related,[기재정정]주권매매거래정지(상장적격성 실질심사 대상 (사유발생)),medium_needs_manual,html_inline_body_confirms_candidate,html_inline,other_manual_review_required,body_confirms_candidate_but_below_high,body references candidate but below high bar (medium_needs_manual),needs_manual_adjudication,20220318900758,2022-03-18,0.5,8.414,True,False,blocked,False
20230131800615,2023-01-31,에이리츠,140910,resumption_related,[기재정정]매매거래정지및정지해제(중요내용공시),no_link,no_candidate,html_inline,,no_link_original_not_found,root_cause=original_not_in_raw_pool,original_not_in_raw_pool,,,,,True,False,,False
20230120800194,2023-01-20,POSCO홀딩스,005490,resumption_related,[기재정정]생산재개(자율공시),no_link,html_inline_body_confirms_candidate,html_inline,,no_link_insufficient_evidence,root_cause=insufficient_evidence,insufficient_evidence,20220914800047,2022-09-14,0.513,8.243,True,False,,False
20220620900716,2022-06-20,엘아이에스,138690,resumption_related,[기재정정]주권매매거래정지해제,medium_needs_manual,html_inline_body_confirms_candidate,html_inline,other_manual_review_required,body_confirms_candidate_but_below_high,body references candidate but below high bar (medium_needs_manual),needs_manual_adjudication,20220616900515,2022-06-16,0.432,6.632,True,False,blocked,False
20190322600250,2019-03-22,영현무역,242850,suspension_related,[기재정정]주권매매거래정지(상장폐지 사유발생),medium_needs_manual,source_blocked_zip_unparseable,zip_unparseable,source_blocked_zip_unparseable,zip_unparseable_requires_source_recovery,cached body corrupt; capped at medium_needs_manual; needs source recovery (separate verdict + download approval),body_blocked_zip_unparseable,20190321601777,2019-03-21,0.864,15.291,True,False,blocked,False
