correction_rcept_no,correction_rcept_dt,corp_name,stock_code,event_category,correction_report_nm,confidence_5tier,evidence_state,body_format_cache,blocked_overlay,residual_action_class,residual_action_note,root_cause,candidate_rcept_no,candidate_rcept_dt_iso,title_similarity,pass3_score,manual_review_required,downstream_authoritative,supersession_ready,supersession_wired
20100331902855,20100331,포네이처,045290,suspension_related,[기재정정]주권매매거래정지기간변경,high_validated,html_inline_body_confirms_candidate,html_inline,,accepted_high_validated_design_only,body confirms candidate title/date; design-only; still manual_review_required,,20100324900525,2010-03-24,0.8,14.171,True,False,yes,False
20100322900199,20100322,헤파호프코리아,039350,suspension_related,[기재정정]주권매매거래정지(투자자보호),medium_needs_manual,html_inline_body_confirms_candidate,html_inline,other_manual_review_required,body_confirms_candidate_but_below_high,body references candidate but below high bar (medium_needs_manual),needs_manual_adjudication,20100319902031,2010-03-19,0.488,9.719,True,False,blocked,False
20100319901646,20100319,아이알디,084810,suspension_related,[기재정정]주권매매거래정지기간변경,medium_needs_manual,html_inline_body_confirms_candidate,html_inline,other_manual_review_required,body_confirms_candidate_but_below_high,body references candidate but below high bar (medium_needs_manual),needs_manual_adjudication,20100318901199,2010-03-18,0.8,14.196,True,False,blocked,False
20100311900027,20100311,초록뱀미디어,047820,suspension_related,[기재정정]주권매매거래정지,medium_needs_manual,html_inline_body_confirms_candidate,html_inline,other_manual_review_required,body_confirms_candidate_but_below_high,body references candidate but below high bar (medium_needs_manual),needs_manual_adjudication,20100128900201,2010-01-28,0.533,10.627,True,False,blocked,False
20100211900740,20100211,위지트,036090,suspension_related,[기재정정]주권매매거래정지,medium_needs_manual,html_inline_body_confirms_candidate,html_inline,other_manual_review_required,body_confirms_candidate_but_below_high,body references candidate but below high bar (medium_needs_manual),needs_manual_adjudication,20100107900465,2010-01-07,0.41,10.472,True,False,blocked,False
20100428900278,20100428,선우중공업,068770,suspension_related,[기재정정]주권매매거래정지기간변경,rejected_wrong_candidate,html_inline_body_no_candidate_ref,html_inline,source_blocked_non_extracted,rejected_wrong_candidate_quarantined,html_inline body present but candidate not referenced; quarantined,,20100413900404,2010-04-13,0.8,14.138,True,False,,False
20100415900118,20100415,나리지*온,036850,suspension_related,[기재정정]주권매매거래정지,no_link,no_candidate,html_inline,,no_link_original_not_found,root_cause=original_not_in_raw_pool,original_not_in_raw_pool,,,,,True,False,,False
20100917900141,20100917,팜스토리,027710,suspension_related,[기재정정]주권매매거래정지(우회상장여부 및 요건충족확인),no_link,no_candidate,html_inline,,no_link_original_not_found,root_cause=original_not_in_raw_pool,original_not_in_raw_pool,,,,,True,False,,False
20100721900323,20100721,에이전트AI,060900,suspension_related,[기재정정]주권매매거래정지기간변경,medium_needs_manual,html_inline_body_confirms_candidate,html_inline,other_manual_review_required,body_confirms_candidate_but_below_high,body references candidate but below high bar (medium_needs_manual),needs_manual_adjudication,20100719900223,2010-07-19,0.8,14.192,True,False,blocked,False
20100705800432,20100705,남광토건,001260,resumption_related,[기재정정]매매거래정지및정지해제(중요내용공시),no_link,no_candidate,html_inline,,no_link_original_not_found,root_cause=original_not_in_raw_pool,original_not_in_raw_pool,,,,,True,False,,False
