period,start,end,v1_net_total_return,v1_cost_0_total_return,v1_annualized_return,v1_cost_0_annualized_return,v1_max_drawdown,v1_cost_0_max_drawdown,v1_trade_count,v1_cost_0_trade_count
2010-2017,2010-01-04,2017-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2018-2026,2018-01-01,2026-05-04,1.1277032286836755,1.211784075726539,0.09750781438206824,0.10276187806076176,-0.23673459774712757,-0.22938446576201021,60,60
