window,hypothesis,description,value,threshold,passes
60,H1,60-month D010 reproduces D009 Sharpe 0.4144,0.36524689410364136,0.4144,False
60,H7,Window Sharpe is at least 0.40 for plateau count,0.36524689410364136,0.4,False
60,H8,2010-2014 warmup-artifact trade count and return diagnostic,0.0,>0 for 36mo/48mo,True
60,H9,"ON share, max DD, and composite distribution are descriptive checks",0.2459016393442623,,
