audit_type,experiment,ticker,quarter,event_count,event_types,sample_rcept_no
r001_r003_same_ticker_quarter_overlap,R001_R003,005440,2026Q1,27,buyback_announcement|dividend,20260209800678 | 20260211000412 | 20260211800434
r001_r003_same_ticker_quarter_overlap,R001_R003,005440,2025Q1,18,buyback_announcement|dividend,20250124800285 | 20250221800415
r001_r003_same_ticker_quarter_overlap,R001_R003,003550,2026Q1,16,buyback_announcement|dividend,20260129800386 | 20260210801366
r001_r003_same_ticker_quarter_overlap,R001_R003,175330,2025Q4,16,buyback_announcement|dividend,20251027000294 | 20251028000287
r001_r003_same_ticker_quarter_overlap,R001_R003,055550,2026Q1,14,buyback_announcement|dividend,20260130000650 | 20260205000191
r001_r003_same_ticker_quarter_overlap,R001_R003,086790,2025Q3,12,buyback_announcement|dividend,20250703000264 | 20250725000416
r001_r003_same_ticker_quarter_overlap,R001_R003,000100,2025Q1,10,buyback_announcement|dividend,20250327000239 | 20250327000310 | 20250327000328 | 20250327000346 | 20250327000357
r001_r003_same_ticker_quarter_overlap,R001_R003,055550,2024Q1,10,buyback_announcement|dividend,20240208000535 | 20240322000129
r001_r003_same_ticker_quarter_overlap,R001_R003,068270,2024Q4,10,buyback_announcement|dividend,20241025000080 | 20241121000003 | 20241121000006 | 20241218000258 | 20241227000212
r001_r003_same_ticker_quarter_overlap,R001_R003,175330,2025Q1,10,buyback_announcement|dividend,20250124000314 | 20250327000365
r001_r003_same_ticker_quarter_overlap,R001_R003,081660,2025Q3,9,buyback_announcement|dividend,20250912000414 | 20250915000235 | 20250919000475
r001_r003_same_ticker_quarter_overlap,R001_R003,081660,2025Q4,9,buyback_announcement|dividend,20251113001037 | 20251215000448 | 20251216000367
r001_r003_same_ticker_quarter_overlap,R001_R003,036530,2024Q3,8,buyback_announcement|dividend,20240715800369 | 20240902800526
r001_r003_same_ticker_quarter_overlap,R001_R003,055550,2023Q1,8,buyback_announcement|dividend,20230208000115 | 20230328000034
r001_r003_same_ticker_quarter_overlap,R001_R003,055550,2025Q1,8,buyback_announcement|dividend,20250206000192
r001_r003_same_ticker_quarter_overlap,R001_R003,081660,2025Q1,8,buyback_announcement|dividend,20250313001155 | 20250314001638
r001_r003_same_ticker_quarter_overlap,R001_R003,081660,2026Q1,8,buyback_announcement|dividend,20260313001241 | 20260330001327
