dimension,key,count
prior_parse_status,label_no_value,23
value_pattern_class,relative_or_tbd_marker,19
value_pattern_class,other_ambiguous,2
value_pattern_class,date_range_or_period_text,1
value_pattern_class,absolute_date_unhandled_format,1
design_proof_bucket,relative_tbd_keep_fail_closed,19
design_proof_bucket,ambiguous_requires_manual_or_later_design,2
design_proof_bucket,out_of_scope_keep_fail_closed,1
design_proof_bucket,future_parser_change_candidate_guarded,1
false_positive_risk,blocked_not_evaluable,20
false_positive_risk,high_ambiguous,2
false_positive_risk,medium_requires_additional_guard,1
required_future_approval,none_keep_fail_closed,20
required_future_approval,manual_adjudication_approval_required,2
required_future_approval,parser_change_verdict_after_design_proof_review,1
