rcept_no,rcept_dt,stock_code,corp_name,event_category,source_period,is_correction,correction_action_class,underlying_confidence_5tier,parse_status,body_format,residual_class,blocker_tags,residual_reason,recovery_required,recovery_performed,requires_separate_verdict,requires_download_approval,safe_for_current_use,manual_review_required,executable_or_safe,downstream_authoritative,parsed_clean_and_usable,strategy_ready,production_ready
20150122900284,20150122,054300,팬스타엔터프라이즈,resumption_related,pre_2018,True,zip_unparseable_requires_source_recovery,no_link,body_unavailable,zip_unparseable,zip_unparseable,source_zip_unparseable|source_recovery_required_separate_approval|correction_manual_review_required|manual_review_required,cached ZIP could not be opened/decoded,True,False,True,True,False,True,False,False,False,False,False
20150128900203,20150128,035620,바른손이앤에이,suspension_related,pre_2018,True,zip_unparseable_requires_source_recovery,no_link,body_unavailable,zip_unparseable,zip_unparseable,source_zip_unparseable|source_recovery_required_separate_approval|correction_manual_review_required|manual_review_required,cached ZIP could not be opened/decoded,True,False,True,True,False,True,False,False,False,False,False
20150323600022,20150323,160350,웹솔루스,suspension_related,pre_2018,True,zip_unparseable_requires_source_recovery,no_link,body_unavailable,zip_unparseable,zip_unparseable,source_zip_unparseable|source_recovery_required_separate_approval|correction_manual_review_required|manual_review_required,cached ZIP could not be opened/decoded,True,False,True,True,False,True,False,False,False,False,False
20150421900128,20150421,065180,해피드림,resumption_related,pre_2018,True,zip_unparseable_requires_source_recovery,medium_needs_manual,body_unavailable,zip_unparseable,zip_unparseable,source_zip_unparseable|source_recovery_required_separate_approval|correction_manual_review_required|manual_review_required,cached ZIP could not be opened/decoded,True,False,True,True,False,True,False,False,False,False,False
20150514901020,20150514,047770,코데즈컴바인,suspension_related,pre_2018,True,zip_unparseable_requires_source_recovery,low_needs_manual,body_unavailable,zip_unparseable,zip_unparseable,source_zip_unparseable|source_recovery_required_separate_approval|correction_manual_review_required|manual_review_required,cached ZIP could not be opened/decoded,True,False,True,True,False,True,False,False,False,False,False
20150526800147,20150526,051310,플랜텍,resumption_related,pre_2018,True,zip_unparseable_requires_source_recovery,no_link,body_unavailable,zip_unparseable,zip_unparseable,source_zip_unparseable|source_recovery_required_separate_approval|correction_manual_review_required|manual_review_required,cached ZIP could not be opened/decoded,True,False,True,True,False,True,False,False,False,False,False
20150911800465,20150911,003940,삼양제넥스,resumption_related,pre_2018,True,zip_unparseable_requires_source_recovery,no_link,body_unavailable,zip_unparseable,zip_unparseable,source_zip_unparseable|source_recovery_required_separate_approval|correction_manual_review_required|manual_review_required,cached ZIP could not be opened/decoded,True,False,True,True,False,True,False,False,False,False,False
20150925900143,20150925,066270,네이트커뮤니케이션즈,resumption_related,pre_2018,True,zip_unparseable_requires_source_recovery,no_link,body_unavailable,zip_unparseable,zip_unparseable,source_zip_unparseable|source_recovery_required_separate_approval|correction_manual_review_required|manual_review_required,cached ZIP could not be opened/decoded,True,False,True,True,False,True,False,False,False,False,False
20151127900167,20151127,101330,모베이스,suspension_related,pre_2018,True,zip_unparseable_requires_source_recovery,medium_needs_manual,body_unavailable,zip_unparseable,zip_unparseable,source_zip_unparseable|source_recovery_required_separate_approval|correction_manual_review_required|manual_review_required,cached ZIP could not be opened/decoded,True,False,True,True,False,True,False,False,False,False,False
20151230900233,20151230,023440,제이스코홀딩스,resumption_related,pre_2018,True,zip_unparseable_requires_source_recovery,no_link,body_unavailable,zip_unparseable,zip_unparseable,source_zip_unparseable|source_recovery_required_separate_approval|correction_manual_review_required|manual_review_required,cached ZIP could not be opened/decoded,True,False,True,True,False,True,False,False,False,False,False
20151231900042,20151231,023440,제이스코홀딩스,resumption_related,pre_2018,True,zip_unparseable_requires_source_recovery,no_link,body_unavailable,zip_unparseable,zip_unparseable,source_zip_unparseable|source_recovery_required_separate_approval|correction_manual_review_required|manual_review_required,cached ZIP could not be opened/decoded,True,False,True,True,False,True,False,False,False,False,False
20160224900085,20160224,086200,제이앤유글로벌,resumption_related,pre_2018,True,zip_unparseable_requires_source_recovery,no_link,body_unavailable,zip_unparseable,zip_unparseable,source_zip_unparseable|source_recovery_required_separate_approval|correction_manual_review_required|manual_review_required,cached ZIP could not be opened/decoded,True,False,True,True,False,True,False,False,False,False,False
