rcept_no,rcept_dt,stock_code,corp_name,event_category,source_period,is_correction,correction_action_class,underlying_confidence_5tier,parse_status,body_format,residual_class,blocker_tags,residual_reason,recovery_required,recovery_performed,requires_separate_verdict,requires_download_approval,safe_for_current_use,manual_review_required,executable_or_safe,downstream_authoritative,parsed_clean_and_usable,strategy_ready,production_ready
20160429600510,20160429,228180,비엘사이언스,suspension_related,pre_2018,True,zip_unparseable_requires_source_recovery,medium_needs_manual,body_unavailable,zip_unparseable,zip_unparseable,source_zip_unparseable|source_recovery_required_separate_approval|correction_manual_review_required|manual_review_required,cached ZIP could not be opened/decoded,True,False,True,True,False,True,False,False,False,False,False
20160429900298,20160429,036220,오상헬스케어,resumption_related,pre_2018,True,zip_unparseable_requires_source_recovery,medium_needs_manual,body_unavailable,zip_unparseable,zip_unparseable,source_zip_unparseable|source_recovery_required_separate_approval|correction_manual_review_required|manual_review_required,cached ZIP could not be opened/decoded,True,False,True,True,False,True,False,False,False,False,False
20160429900427,20160429,086200,제이앤유글로벌,resumption_related,pre_2018,True,zip_unparseable_requires_source_recovery,low_needs_manual,body_unavailable,zip_unparseable,zip_unparseable,source_zip_unparseable|source_recovery_required_separate_approval|correction_manual_review_required|manual_review_required,cached ZIP could not be opened/decoded,True,False,True,True,False,True,False,False,False,False,False
20161017900147,20161017,131100,티엔엔터테인먼트,resumption_related,pre_2018,True,zip_unparseable_requires_source_recovery,no_link,body_unavailable,zip_unparseable,zip_unparseable,source_zip_unparseable|source_recovery_required_separate_approval|correction_manual_review_required|manual_review_required,cached ZIP could not be opened/decoded,True,False,True,True,False,True,False,False,False,False,False
20161115900075,20161115,068150,케이엔씨글로벌,suspension_related,pre_2018,True,zip_unparseable_requires_source_recovery,medium_needs_manual,body_unavailable,zip_unparseable,zip_unparseable,source_zip_unparseable|source_recovery_required_separate_approval|correction_manual_review_required|manual_review_required,cached ZIP could not be opened/decoded,True,False,True,True,False,True,False,False,False,False,False
20161125900030,20161125,066270,네이트커뮤니케이션즈,suspension_related,pre_2018,True,zip_unparseable_requires_source_recovery,medium_needs_manual,body_unavailable,zip_unparseable,zip_unparseable,source_zip_unparseable|source_recovery_required_separate_approval|correction_manual_review_required|manual_review_required,cached ZIP could not be opened/decoded,True,False,True,True,False,True,False,False,False,False,False
20170124900643,20170124,073010,케이에스피,suspension_related,pre_2018,True,zip_unparseable_requires_source_recovery,low_needs_manual,body_unavailable,zip_unparseable,zip_unparseable,source_zip_unparseable|source_recovery_required_separate_approval|correction_manual_review_required|manual_review_required,cached ZIP could not be opened/decoded,True,False,True,True,False,True,False,False,False,False,False
20170124900649,20170124,073010,케이에스피,suspension_related,pre_2018,True,zip_unparseable_requires_source_recovery,low_needs_manual,body_unavailable,zip_unparseable,zip_unparseable,source_zip_unparseable|source_recovery_required_separate_approval|correction_manual_review_required|manual_review_required,cached ZIP could not be opened/decoded,True,False,True,True,False,True,False,False,False,False,False
20170223600535,20170223,224810,엄지하우스,suspension_related,pre_2018,True,zip_unparseable_requires_source_recovery,no_link,body_unavailable,zip_unparseable,zip_unparseable,source_zip_unparseable|source_recovery_required_separate_approval|correction_manual_review_required|manual_review_required,cached ZIP could not be opened/decoded,True,False,True,True,False,True,False,False,False,False,False
20170327900337,20170327,086830,신양오라컴디스플레이,resumption_related,pre_2018,True,zip_unparseable_requires_source_recovery,no_link,body_unavailable,zip_unparseable,zip_unparseable,source_zip_unparseable|source_recovery_required_separate_approval|correction_manual_review_required|manual_review_required,cached ZIP could not be opened/decoded,True,False,True,True,False,True,False,False,False,False,False
20170330902219,20170330,151910,퓨처코어,suspension_related,pre_2018,True,zip_unparseable_requires_source_recovery,low_needs_manual,body_unavailable,zip_unparseable,zip_unparseable,source_zip_unparseable|source_recovery_required_separate_approval|correction_manual_review_required|manual_review_required,cached ZIP could not be opened/decoded,True,False,True,True,False,True,False,False,False,False,False
20170421900722,20170421,039230,제이앤케이인더스트리,suspension_related,pre_2018,True,zip_unparseable_requires_source_recovery,no_link,body_unavailable,zip_unparseable,zip_unparseable,source_zip_unparseable|source_recovery_required_separate_approval|correction_manual_review_required|manual_review_required,cached ZIP could not be opened/decoded,True,False,True,True,False,True,False,False,False,False,False
20171110900736,20171110,117670,알파칩스,resumption_related,pre_2018,True,zip_unparseable_requires_source_recovery,no_link,body_unavailable,zip_unparseable,zip_unparseable,source_zip_unparseable|source_recovery_required_separate_approval|correction_manual_review_required|manual_review_required,cached ZIP could not be opened/decoded,True,False,True,True,False,True,False,False,False,False,False
20180321900419,2018-03-21,084180,수성웹툰,suspension_related,post_2018,True,zip_unparseable_requires_source_recovery,medium_needs_manual,body_unavailable,zip_unparseable,zip_unparseable,source_zip_unparseable|source_recovery_required_separate_approval|correction_manual_review_required|manual_review_required,cached ZIP could not be opened/decoded,True,False,True,True,False,True,False,False,False,False,False
20180402900901,2018-04-02,009780,엠에스씨,suspension_related,post_2018,True,zip_unparseable_requires_source_recovery,no_link,body_unavailable,zip_unparseable,zip_unparseable,source_zip_unparseable|source_recovery_required_separate_approval|correction_manual_review_required|manual_review_required,cached ZIP could not be opened/decoded,True,False,True,True,False,True,False,False,False,False,False
20180724800459,2018-07-24,073240,금호타이어,resumption_related,post_2018,True,zip_unparseable_requires_source_recovery,no_link,body_unavailable,zip_unparseable,zip_unparseable,source_zip_unparseable|source_recovery_required_separate_approval|correction_manual_review_required|manual_review_required,cached ZIP could not be opened/decoded,True,False,True,True,False,True,False,False,False,False,False
20181008900701,2018-10-08,194610,우성아이비,resumption_related,post_2018,True,zip_unparseable_requires_source_recovery,no_link,body_unavailable,zip_unparseable,zip_unparseable,source_zip_unparseable|source_recovery_required_separate_approval|correction_manual_review_required|manual_review_required,cached ZIP could not be opened/decoded,True,False,True,True,False,True,False,False,False,False,False
20181008900702,2018-10-08,155960,지디,resumption_related,post_2018,True,zip_unparseable_requires_source_recovery,low_needs_manual,body_unavailable,zip_unparseable,zip_unparseable,source_zip_unparseable|source_recovery_required_separate_approval|correction_manual_review_required|manual_review_required,cached ZIP could not be opened/decoded,True,False,True,True,False,True,False,False,False,False,False
20190117900312,2019-01-17,083470,이엠앤아이,suspension_related,post_2018,True,zip_unparseable_requires_source_recovery,medium_needs_manual,body_unavailable,zip_unparseable,zip_unparseable,source_zip_unparseable|source_recovery_required_separate_approval|correction_manual_review_required|manual_review_required,cached ZIP could not be opened/decoded,True,False,True,True,False,True,False,False,False,False,False
20190304900009,2019-03-04,178780,일월지엠엘,suspension_related,post_2018,True,zip_unparseable_requires_source_recovery,no_link,body_unavailable,zip_unparseable,zip_unparseable,source_zip_unparseable|source_recovery_required_separate_approval|correction_manual_review_required|manual_review_required,cached ZIP could not be opened/decoded,True,False,True,True,False,True,False,False,False,False,False
20190322600250,2019-03-22,242850,영현무역,suspension_related,post_2018,True,zip_unparseable_requires_source_recovery,medium_needs_manual,body_unavailable,zip_unparseable,zip_unparseable,source_zip_unparseable|source_recovery_required_separate_approval|correction_manual_review_required|manual_review_required,cached ZIP could not be opened/decoded,True,False,True,True,False,True,False,False,False,False,False
20190411900687,2019-04-11,030270,에스마크,suspension_related,post_2018,True,zip_unparseable_requires_source_recovery,medium_needs_manual,body_unavailable,zip_unparseable,zip_unparseable,source_zip_unparseable|source_recovery_required_separate_approval|correction_manual_review_required|manual_review_required,cached ZIP could not be opened/decoded,True,False,True,True,False,True,False,False,False,False,False
20190415900808,2019-04-15,149940,모다,suspension_related,post_2018,True,zip_unparseable_requires_source_recovery,medium_needs_manual,body_unavailable,zip_unparseable,zip_unparseable,source_zip_unparseable|source_recovery_required_separate_approval|correction_manual_review_required|manual_review_required,cached ZIP could not be opened/decoded,True,False,True,True,False,True,False,False,False,False,False
20190424600679,2019-04-24,223220,로지스몬,suspension_related,post_2018,True,zip_unparseable_requires_source_recovery,low_needs_manual,body_unavailable,zip_unparseable,zip_unparseable,source_zip_unparseable|source_recovery_required_separate_approval|correction_manual_review_required|manual_review_required,cached ZIP could not be opened/decoded,True,False,True,True,False,True,False,False,False,False,False
20190828900580,2019-08-28,149940,모다,resumption_related,post_2018,True,zip_unparseable_requires_source_recovery,no_link,body_unavailable,zip_unparseable,zip_unparseable,source_zip_unparseable|source_recovery_required_separate_approval|correction_manual_review_required|manual_review_required,cached ZIP could not be opened/decoded,True,False,True,True,False,True,False,False,False,False,False
20191004900529,2019-10-04,035480,글로앤웰,resumption_related,post_2018,True,zip_unparseable_requires_source_recovery,medium_needs_manual,body_unavailable,zip_unparseable,zip_unparseable,source_zip_unparseable|source_recovery_required_separate_approval|correction_manual_review_required|manual_review_required,cached ZIP could not be opened/decoded,True,False,True,True,False,True,False,False,False,False,False
20191230800862,2019-12-30,004920,씨아이테크,resumption_related,post_2018,True,zip_unparseable_requires_source_recovery,no_link,body_unavailable,zip_unparseable,zip_unparseable,source_zip_unparseable|source_recovery_required_separate_approval|correction_manual_review_required|manual_review_required,cached ZIP could not be opened/decoded,True,False,True,True,False,True,False,False,False,False,False
20200320902492,2020-03-20,043100,,suspension_related,post_2018,False,,,body_unavailable,zip_unparseable,zip_unparseable,source_zip_unparseable|source_recovery_required_separate_approval|manual_review_required,cached ZIP could not be opened/decoded,True,False,True,True,False,True,False,False,False,False,False
20200429901359,2020-04-29,900040,,suspension_related,post_2018,False,,,body_unavailable,zip_unparseable,zip_unparseable,source_zip_unparseable|source_recovery_required_separate_approval|manual_review_required,cached ZIP could not be opened/decoded,True,False,True,True,False,True,False,False,False,False,False
20241129900819,2024-11-29,900280,,suspension_related,post_2018,False,,,body_unavailable,zip_unparseable,zip_unparseable,source_zip_unparseable|source_recovery_required_separate_approval|manual_review_required,cached ZIP could not be opened/decoded,True,False,True,True,False,True,False,False,False,False,False
