rcept_no,corp_name,event_category,source_period,correction_action_class,underlying_confidence_5tier,blocker_tags,note
20150122900284,팬스타엔터프라이즈,resumption_related,pre_2018,zip_unparseable_requires_source_recovery,no_link,source_zip_unparseable|source_recovery_required_separate_approval|correction_manual_review_required|manual_review_required,correction zip; manual_review_required; recovery needs separate verdict + download approval
20150128900203,바른손이앤에이,suspension_related,pre_2018,zip_unparseable_requires_source_recovery,no_link,source_zip_unparseable|source_recovery_required_separate_approval|correction_manual_review_required|manual_review_required,correction zip; manual_review_required; recovery needs separate verdict + download approval
20150323600022,웹솔루스,suspension_related,pre_2018,zip_unparseable_requires_source_recovery,no_link,source_zip_unparseable|source_recovery_required_separate_approval|correction_manual_review_required|manual_review_required,correction zip; manual_review_required; recovery needs separate verdict + download approval
20150421900128,해피드림,resumption_related,pre_2018,zip_unparseable_requires_source_recovery,medium_needs_manual,source_zip_unparseable|source_recovery_required_separate_approval|correction_manual_review_required|manual_review_required,correction zip; manual_review_required; recovery needs separate verdict + download approval
20150514901020,코데즈컴바인,suspension_related,pre_2018,zip_unparseable_requires_source_recovery,low_needs_manual,source_zip_unparseable|source_recovery_required_separate_approval|correction_manual_review_required|manual_review_required,correction zip; manual_review_required; recovery needs separate verdict + download approval
20150526800147,플랜텍,resumption_related,pre_2018,zip_unparseable_requires_source_recovery,no_link,source_zip_unparseable|source_recovery_required_separate_approval|correction_manual_review_required|manual_review_required,correction zip; manual_review_required; recovery needs separate verdict + download approval
20150911800465,삼양제넥스,resumption_related,pre_2018,zip_unparseable_requires_source_recovery,no_link,source_zip_unparseable|source_recovery_required_separate_approval|correction_manual_review_required|manual_review_required,correction zip; manual_review_required; recovery needs separate verdict + download approval
20150925900143,네이트커뮤니케이션즈,resumption_related,pre_2018,zip_unparseable_requires_source_recovery,no_link,source_zip_unparseable|source_recovery_required_separate_approval|correction_manual_review_required|manual_review_required,correction zip; manual_review_required; recovery needs separate verdict + download approval
20151127900167,모베이스,suspension_related,pre_2018,zip_unparseable_requires_source_recovery,medium_needs_manual,source_zip_unparseable|source_recovery_required_separate_approval|correction_manual_review_required|manual_review_required,correction zip; manual_review_required; recovery needs separate verdict + download approval
20151230900233,제이스코홀딩스,resumption_related,pre_2018,zip_unparseable_requires_source_recovery,no_link,source_zip_unparseable|source_recovery_required_separate_approval|correction_manual_review_required|manual_review_required,correction zip; manual_review_required; recovery needs separate verdict + download approval
20151231900042,제이스코홀딩스,resumption_related,pre_2018,zip_unparseable_requires_source_recovery,no_link,source_zip_unparseable|source_recovery_required_separate_approval|correction_manual_review_required|manual_review_required,correction zip; manual_review_required; recovery needs separate verdict + download approval
20160224900085,제이앤유글로벌,resumption_related,pre_2018,zip_unparseable_requires_source_recovery,no_link,source_zip_unparseable|source_recovery_required_separate_approval|correction_manual_review_required|manual_review_required,correction zip; manual_review_required; recovery needs separate verdict + download approval
20160429600510,비엘사이언스,suspension_related,pre_2018,zip_unparseable_requires_source_recovery,medium_needs_manual,source_zip_unparseable|source_recovery_required_separate_approval|correction_manual_review_required|manual_review_required,correction zip; manual_review_required; recovery needs separate verdict + download approval
20160429900298,오상헬스케어,resumption_related,pre_2018,zip_unparseable_requires_source_recovery,medium_needs_manual,source_zip_unparseable|source_recovery_required_separate_approval|correction_manual_review_required|manual_review_required,correction zip; manual_review_required; recovery needs separate verdict + download approval
20160429900427,제이앤유글로벌,resumption_related,pre_2018,zip_unparseable_requires_source_recovery,low_needs_manual,source_zip_unparseable|source_recovery_required_separate_approval|correction_manual_review_required|manual_review_required,correction zip; manual_review_required; recovery needs separate verdict + download approval
20161017900147,티엔엔터테인먼트,resumption_related,pre_2018,zip_unparseable_requires_source_recovery,no_link,source_zip_unparseable|source_recovery_required_separate_approval|correction_manual_review_required|manual_review_required,correction zip; manual_review_required; recovery needs separate verdict + download approval
20161115900075,케이엔씨글로벌,suspension_related,pre_2018,zip_unparseable_requires_source_recovery,medium_needs_manual,source_zip_unparseable|source_recovery_required_separate_approval|correction_manual_review_required|manual_review_required,correction zip; manual_review_required; recovery needs separate verdict + download approval
20161125900030,네이트커뮤니케이션즈,suspension_related,pre_2018,zip_unparseable_requires_source_recovery,medium_needs_manual,source_zip_unparseable|source_recovery_required_separate_approval|correction_manual_review_required|manual_review_required,correction zip; manual_review_required; recovery needs separate verdict + download approval
20170124900643,케이에스피,suspension_related,pre_2018,zip_unparseable_requires_source_recovery,low_needs_manual,source_zip_unparseable|source_recovery_required_separate_approval|correction_manual_review_required|manual_review_required,correction zip; manual_review_required; recovery needs separate verdict + download approval
20170124900649,케이에스피,suspension_related,pre_2018,zip_unparseable_requires_source_recovery,low_needs_manual,source_zip_unparseable|source_recovery_required_separate_approval|correction_manual_review_required|manual_review_required,correction zip; manual_review_required; recovery needs separate verdict + download approval
20170223600535,엄지하우스,suspension_related,pre_2018,zip_unparseable_requires_source_recovery,no_link,source_zip_unparseable|source_recovery_required_separate_approval|correction_manual_review_required|manual_review_required,correction zip; manual_review_required; recovery needs separate verdict + download approval
20170327900337,신양오라컴디스플레이,resumption_related,pre_2018,zip_unparseable_requires_source_recovery,no_link,source_zip_unparseable|source_recovery_required_separate_approval|correction_manual_review_required|manual_review_required,correction zip; manual_review_required; recovery needs separate verdict + download approval
20170330902219,퓨처코어,suspension_related,pre_2018,zip_unparseable_requires_source_recovery,low_needs_manual,source_zip_unparseable|source_recovery_required_separate_approval|correction_manual_review_required|manual_review_required,correction zip; manual_review_required; recovery needs separate verdict + download approval
20170421900722,제이앤케이인더스트리,suspension_related,pre_2018,zip_unparseable_requires_source_recovery,no_link,source_zip_unparseable|source_recovery_required_separate_approval|correction_manual_review_required|manual_review_required,correction zip; manual_review_required; recovery needs separate verdict + download approval
20171110900736,알파칩스,resumption_related,pre_2018,zip_unparseable_requires_source_recovery,no_link,source_zip_unparseable|source_recovery_required_separate_approval|correction_manual_review_required|manual_review_required,correction zip; manual_review_required; recovery needs separate verdict + download approval
20180321900419,수성웹툰,suspension_related,post_2018,zip_unparseable_requires_source_recovery,medium_needs_manual,source_zip_unparseable|source_recovery_required_separate_approval|correction_manual_review_required|manual_review_required,correction zip; manual_review_required; recovery needs separate verdict + download approval
20180402900901,엠에스씨,suspension_related,post_2018,zip_unparseable_requires_source_recovery,no_link,source_zip_unparseable|source_recovery_required_separate_approval|correction_manual_review_required|manual_review_required,correction zip; manual_review_required; recovery needs separate verdict + download approval
20180724800459,금호타이어,resumption_related,post_2018,zip_unparseable_requires_source_recovery,no_link,source_zip_unparseable|source_recovery_required_separate_approval|correction_manual_review_required|manual_review_required,correction zip; manual_review_required; recovery needs separate verdict + download approval
20181008900701,우성아이비,resumption_related,post_2018,zip_unparseable_requires_source_recovery,no_link,source_zip_unparseable|source_recovery_required_separate_approval|correction_manual_review_required|manual_review_required,correction zip; manual_review_required; recovery needs separate verdict + download approval
20181008900702,지디,resumption_related,post_2018,zip_unparseable_requires_source_recovery,low_needs_manual,source_zip_unparseable|source_recovery_required_separate_approval|correction_manual_review_required|manual_review_required,correction zip; manual_review_required; recovery needs separate verdict + download approval
20190117900312,이엠앤아이,suspension_related,post_2018,zip_unparseable_requires_source_recovery,medium_needs_manual,source_zip_unparseable|source_recovery_required_separate_approval|correction_manual_review_required|manual_review_required,correction zip; manual_review_required; recovery needs separate verdict + download approval
20190304900009,일월지엠엘,suspension_related,post_2018,zip_unparseable_requires_source_recovery,no_link,source_zip_unparseable|source_recovery_required_separate_approval|correction_manual_review_required|manual_review_required,correction zip; manual_review_required; recovery needs separate verdict + download approval
20190322600250,영현무역,suspension_related,post_2018,zip_unparseable_requires_source_recovery,medium_needs_manual,source_zip_unparseable|source_recovery_required_separate_approval|correction_manual_review_required|manual_review_required,correction zip; manual_review_required; recovery needs separate verdict + download approval
20190411900687,에스마크,suspension_related,post_2018,zip_unparseable_requires_source_recovery,medium_needs_manual,source_zip_unparseable|source_recovery_required_separate_approval|correction_manual_review_required|manual_review_required,correction zip; manual_review_required; recovery needs separate verdict + download approval
20190415900808,모다,suspension_related,post_2018,zip_unparseable_requires_source_recovery,medium_needs_manual,source_zip_unparseable|source_recovery_required_separate_approval|correction_manual_review_required|manual_review_required,correction zip; manual_review_required; recovery needs separate verdict + download approval
