year,period,t1_baseline_net_total_return,t3_acceleration_net_total_return,t3_minus_t1_net_total_return,t3_wins
2018,is,-0.37817649479769,-0.283590531813635,0.09458596298405497,True
2019,is,-0.07380952693427112,-0.05635021481507374,0.01745931211919738,True
2020,is,-0.3870658204411924,-0.26275874947926525,0.12430707096192717,True
2021,is,-0.24860870189994622,-0.3594261733079215,-0.11081747140797527,False
2022,is,-0.40700182397943563,-0.3606627532333402,0.046339070746095445,True
2023,oos,-0.10636533805501192,0.04512727395579974,0.15149261201081166,True
2024,oos,-0.2061946854971427,-0.23428521960912174,-0.028090534111979037,False
2025,oos,0.8831872982080866,0.9144378803285935,0.03125058212050691,True
2026,oos,0.1284863346929226,0.07851529081201702,-0.049971043880905563,False
