variant,entry_date,signal_date,exit_date,종목코드,entry_price,exit_price,shares,notional_at_entry,buy_cost,sell_cost,exit_reason
t1_baseline,2018-01-30,2018-01-29,2018-02-01,016360,43600.0,43650.0,4.587155963302753e-06,0.2,0.00013000000000000002,0.0005306077981651377,signal_reversal
t1_baseline,2018-01-30,2018-01-29,2018-02-02,010130,533000.0,512000.0,3.75234521575985e-07,0.2,0.00013000000000000002,0.0005091181988742965,signal_reversal
t1_baseline,2018-01-30,2018-01-29,2018-02-05,267250,484000.0,443000.0,4.132231404958678e-07,0.2,0.00013000000000000002,0.000485103305785124,signal_reversal
t1_baseline,2018-01-30,2018-01-29,2018-02-06,096770,209500.0,195000.0,9.54653937947494e-07,0.2,0.00013000000000000002,0.0004933174224343675,signal_reversal
t1_baseline,2018-01-30,2018-01-29,2018-02-06,003490,38400.0,34600.0,5.208333333333334e-06,0.2,0.00013000000000000002,0.0004775520833333334,signal_reversal
t1_baseline,2018-02-02,2018-02-01,2018-02-08,010950,124000.0,115000.0,1.5625422757246663e-06,0.19375524218985862,0.00012594090742340812,0.0004761847585270921,signal_reversal
t1_baseline,2018-02-01,2018-01-31,2018-02-08,023530,242500.0,241500.0,8.075567634813908e-07,0.19583251514423727,0.00012729113484375422,0.0005168161397090031,signal_reversal
t1_baseline,2018-02-06,2018-02-05,2018-02-08,139130,12800.0,12400.0,1.4724821617271846e-05,0.18847771670107963,0.00012251051585570176,0.00048385763834355285,signal_reversal
t1_baseline,2018-02-06,2018-02-05,2018-02-09,024110,16800.0,15500.0,1.1218911708397596e-05,0.18847771670107963,0.00012251051585570176,0.00046081679842243127,signal_reversal
t1_baseline,2018-02-05,2018-02-02,2018-02-12,086280,142000.0,136500.0,1.3430987341843834e-06,0.19072002025418244,0.0001239680131652186,0.0004858323896228461,signal_reversal
t1_baseline,2018-02-08,2018-02-07,2018-02-12,000270,34050.0,33100.0,5.311114642820506e-06,0.18084345358803822,0.00011754824483222484,0.0004658644208950006,signal_reversal
