date,t1_baseline_value,t3_acceleration_value
2018-01-02,1.0,1.0
2018-01-03,1.0,1.0
2018-01-04,1.0,1.0
2018-01-05,1.0,1.0
2018-01-08,1.0,1.0
2018-01-09,1.0,1.0
2018-01-10,1.0,1.0
2018-01-11,1.0,1.0
2018-01-12,1.0,1.0
2018-01-15,1.0,1.0
2018-01-16,1.0,1.0
2018-01-17,1.0,1.0
2018-01-18,1.0,1.0
2018-01-19,1.0,1.0
2018-01-22,1.0,1.0
2018-01-23,1.0,1.0
2018-01-24,1.0,1.0
2018-01-25,1.0,1.0
2018-01-26,1.0,1.0
2018-01-29,1.0,1.0
2018-01-30,0.9904113341480474,0.9857360221355669
2018-01-31,0.9772173763303411,0.9714439266423536
2018-02-01,0.9830730684037496,0.9784192618680809
2018-02-02,0.9670877277661449,0.9625642065032407
2018-02-05,0.9581769788273924,0.9538207846790159
2018-02-06,0.9335891422960336,0.929500857724848
2018-02-07,0.9143068098416545,0.9103009737501664
2018-02-08,0.9007323394500163,0.9036821935329236
2018-02-09,0.8932323865090284,0.9119222577661443
2018-02-12,0.8695544195081941,0.9051975850136207
2018-02-13,0.8342856930895464,0.8860644580835566
2018-02-14,0.838243057768733,0.86894132669606
2018-02-19,0.8472276780814878,0.8796554797424658
2018-02-20,0.8406061074904978,0.8728195745550338
2018-02-21,0.8449633060791103,0.8773088861904534
2018-02-22,0.8439365185792821,0.8751242663441626
2018-02-23,0.8527563389537391,0.8877807383984717
2018-02-26,0.8627272995087163,0.893641993811122
2018-02-27,0.8681440398361351,0.8952159964323942
2018-02-28,0.850598436162064,0.8815682404147405
2018-03-02,0.8497240402924158,0.8816111783183447
2018-03-05,0.827832450764056,0.8546804134239285
2018-03-06,0.8335985296826112,0.8598208087816704
2018-03-07,0.8216638202630906,0.8540800011480385
2018-03-08,0.8289084021583798,0.8625638439669496
2018-03-09,0.828546815461398,0.8604298356712454
2018-03-12,0.8278254676849874,0.8599955600711795
2018-03-13,0.8425015319960593,0.8788376229134353
2018-03-14,0.8438522528934584,0.8847082265062908
2018-03-15,0.8519897085220263,0.8909667416684816
2018-03-16,0.8512445427420854,0.8871419973455439
2018-03-19,0.8378520304565076,0.8794163720667979
2018-03-20,0.84183508583437,0.8804284065898182
2018-03-21,0.8367088966537036,0.8829764846976609
2018-03-22,0.8361340085725641,0.8884247055262635
2018-03-23,0.8152093751011606,0.8675682623566937
2018-03-26,0.8325167301300986,0.8877194523423735
2018-03-27,0.8409360423181822,0.8951474722873061
2018-03-28,0.820604834308257,0.8689358315547888
2018-03-29,0.8241428473764086,0.8708668923320466
2018-03-30,0.8284970810283742,0.8826350909914518
2018-04-02,0.8387817285956501,0.9048254374011786
2018-04-03,0.844334840459014,0.9149291035758188
2018-04-04,0.8273051606694055,0.8897384692599386
2018-04-05,0.8352112771051707,0.9006556254877387
2018-04-06,0.8306202857951406,0.8928646270351404
2018-04-09,0.8365461654181371,0.9029791013971213
2018-04-10,0.8446676795739976,0.9156501344738226
2018-04-11,0.8446384992653251,0.9159771298541464
2018-04-12,0.8342072501171272,0.901080533225737
2018-04-13,0.8353892475236485,0.9113651036280073
