signal_date,universe_count,fnv_5_std,inv_5_std
2018-01-29,96,0.10235786557518271,0.13230750948477316
2018-01-30,96,0.10238057008407343,0.12412920429819936
2018-01-31,99,0.09505570972635081,0.11969158300799752
2018-02-01,98,0.09392890287108473,0.10697629644567044
2018-02-02,94,0.1030385761637535,0.1094565879891022
2018-02-05,98,0.10466571224213392,0.10627461661693317
2018-02-06,99,0.09726772477441302,0.09745003340917179
2018-02-07,100,0.0882752905078632,0.10133363573593192
2018-02-08,98,0.09121987810194752,0.1039865701504245
2018-02-09,97,0.08883933486437824,0.11296414054639853
2018-02-12,97,0.08689873607861265,0.10389251566530891
2018-02-13,98,0.08648923174359471,0.10435417755015271
2018-02-14,100,0.08484837849908317,0.11532710586936716
2018-02-19,99,0.09762138970983927,0.12233373182716953
2018-02-20,92,0.08320646785548895,0.1122882786012227
2018-02-21,98,0.0993443093623908,0.11368927814456466
2018-02-22,97,0.09412684106206914,0.09795037944239415
2018-02-23,97,0.09965257724262727,0.10483045587194835
2018-02-26,96,0.11258480116418233,0.11413738483018501
2018-02-27,97,0.1154691939489626,0.11604657845811514
2018-02-28,96,0.1124385345369189,0.12632486729401146
2018-03-02,97,0.11372025546982754,0.11918102706884703
2018-03-05,98,0.1094994064212861,0.12637479484787734
2018-03-06,98,0.09521108701611669,0.11018375302058914
2018-03-07,95,0.09322213194703621,0.11841369643318492
2018-03-08,97,0.10648709236602456,0.13958979692865187
2018-03-09,98,0.09821921906790385,0.12868659464137264
2018-03-12,95,0.09972133393491643,0.1310537695482384
2018-03-13,97,0.09804788498660436,0.1255567132942131
2018-03-14,99,0.0903176119347951,0.11665071827469407
2018-03-15,97,0.09923691398954565,0.13298989158326086
2018-03-16,95,0.10557560278869885,0.10943241913397248
2018-03-19,96,0.09470864266962949,0.11363269752600023
2018-03-20,98,0.10212078723885763,0.10166699692264713
2018-03-21,98,0.10257242134962177,0.11136120767142084
2018-03-22,97,0.09872587566013763,0.08982085652456775
2018-03-23,96,0.10184875277864402,0.10636814988990966
2018-03-26,96,0.10393152146836969,0.1079903133609728
2018-03-27,99,0.09787320781963829,0.10405098178908581
2018-03-28,98,0.09408228797879874,0.10650812814254951
2018-03-29,96,0.10448123292429103,0.09806424296788285
2018-03-30,96,0.09320889741496607,0.10507338190688166
2018-04-02,94,0.08632729376986199,0.11624813589322117
2018-04-03,93,0.08518363080693561,0.13892265688717356
2018-04-04,96,0.08711821828569706,0.1206361163477018
2018-04-05,96,0.09743559116470192,0.12918402332198636
2018-04-06,98,0.10175746777885933,0.13785964033808204
2018-04-09,97,0.10454272298235051,0.14159090102021885
2018-04-10,97,0.10838511422590023,0.13287857742309975
2018-04-11,96,0.10974484740531003,0.1304915054054185
2018-04-12,95,0.10032361140275621,0.11276758705125052
2018-04-13,97,0.09753345334895719,0.12144459184155847
2018-04-16,97,0.10382581997509328,0.11804266531372537
2018-04-17,96,0.10496914568228848,0.12964162378686508
2018-04-18,95,0.10011059567192405,0.1323300869118956
2018-04-19,92,0.09622511186531764,0.14383629343450333
2018-04-20,90,0.09797141288886414,0.14746980498084952
2018-04-23,96,0.0877993449943551,0.12181599561843535
2018-04-24,98,0.10128298486043195,0.13671798250964037
2018-04-25,97,0.09909189561191693,0.13229537427309615
2018-04-26,97,0.09975411803866771,0.12815498169474968
2018-04-27,97,0.09918429185161903,0.10873169081379677
2018-04-30,99,0.08476710470748555,0.09278013962167615
2018-05-02,99,0.08302237664523966,0.08544714655491954
2018-05-03,93,0.09450413296687986,0.09322282964436969
2018-05-04,94,0.10392644664545138,0.09357116644174496
2018-05-08,92,0.09391794286878515,0.10001189050981903
2018-05-09,99,0.10072718446099582,0.10414255463218622
2018-05-10,99,0.09790420607869213,0.10821030428913803
2018-05-11,97,0.1005206070685952,0.11366974599020715
2018-05-14,96,0.09358217400922762,0.11196806394224354
2018-05-15,97,0.07267843271152756,0.10533440337397977
2018-05-16,94,0.08351570634884867,0.10261715148831206
2018-05-17,96,0.08426668908731759,0.0964780772254923
2018-05-18,96,0.08355294346876534,0.09093965129637284
