year,is_h1_check_2020,oos_h3_check_2025,absolute_baseline_net_total_return,relative_zscore_net_total_return,relative_median_diff_net_total_return,relative_zscore_minus_absolute_baseline,relative_median_diff_minus_absolute_baseline
2018,False,False,-0.37817649479769,-0.5059384879316016,-0.4726295717169997,-0.12776199313391157,-0.09445307691930971
2019,False,False,-0.07380952693427112,-0.0939903698953436,-0.12463671051768255,-0.020180842961072476,-0.05082718358341143
2020,True,False,-0.3870658204411924,-0.05382494456737663,-0.04369261899603216,0.3332408758738158,0.34337320144516026
2021,False,False,-0.24860870189994622,-0.27983658326611427,-0.3055528004833693,-0.031227881366168053,-0.056944098583423086
2022,False,False,-0.40700182397943563,-0.37530433215628756,-0.4519459246164049,0.03169749182314807,-0.0449441006369693
2023,False,False,-0.10636533805501192,-0.2945961310334868,-0.2760045751184521,-0.1882307929784749,-0.1696392370634402
2024,False,False,-0.2061946854971427,-0.22224548589011928,-0.3198889055321089,-0.016050800392976572,-0.11369422003496621
2025,False,True,0.8831872982080866,0.2716063362684775,0.43024055341161005,-0.6115809619396091,-0.45294674479647656
2026,False,False,0.1284863346929226,0.2850591503676305,0.2786830406006713,0.15657281567470793,0.1501967059077487
