date,absolute_baseline_value,relative_zscore_value,relative_median_diff_value
2018-01-02,1.0,1.0,1.0
2018-01-03,1.0,1.0,1.0
2018-01-04,1.0,1.0,1.0
2018-01-05,1.0,1.0,1.0
2018-01-08,1.0,1.0,1.0
2018-01-09,1.0,1.0,1.0
2018-01-10,1.0,1.0,1.0
2018-01-11,1.0,1.0,1.0
2018-01-12,1.0,1.0,1.0
2018-01-15,1.0,1.0,1.0
2018-01-16,1.0,1.0,1.0
2018-01-17,1.0,1.0,1.0
2018-01-18,1.0,1.0,1.0
2018-01-19,1.0,1.0,1.0
2018-01-22,1.0,1.0,1.0
2018-01-23,1.0,1.0,1.0
2018-01-24,1.0,1.0,1.0
2018-01-25,1.0,1.0,1.0
2018-01-26,1.0,1.0,1.0
2018-01-29,1.0,1.0,1.0
2018-01-30,0.9904113341480474,0.9904113341480474,0.9904113341480474
2018-01-31,0.9772173763303411,0.9772173763303411,0.9772173763303411
2018-02-01,0.9830730684037496,0.9830730684037496,0.9830730684037496
2018-02-02,0.9670877277661449,0.9670877277661449,0.9670877277661449
2018-02-05,0.9581769788273924,0.9581769788273924,0.9581769788273924
2018-02-06,0.9335891422960336,0.9335891422960336,0.9335891422960336
2018-02-07,0.9143068098416545,0.9071810889398819,0.9071810889398819
2018-02-08,0.9007323394500163,0.9078663451324049,0.9049150584337964
2018-02-09,0.8932323865090284,0.8859560742045518,0.89296884161846
2018-02-12,0.8695544195081941,0.892198682623053,0.8876400423256423
2018-02-13,0.8342856930895464,0.8509102716165362,0.8557150432231408
2018-02-14,0.838243057768733,0.8470073269285856,0.8665851068832771
2018-02-19,0.8472276780814878,0.8603402320154779,0.8907749129489739
2018-02-20,0.8406061074904978,0.8513275877634778,0.8649470043462627
2018-02-21,0.8449633060791103,0.8507343113393728,0.8624053669963139
2018-02-22,0.8439365185792821,0.8495173689846933,0.8612811309128221
2018-02-23,0.8527563389537391,0.865646078120344,0.872923797128974
2018-02-26,0.8627272995087163,0.8739642884558335,0.8806971753522523
2018-02-27,0.8681440398361351,0.880109878031872,0.8827060933235897
2018-02-28,0.850598436162064,0.8623144995551749,0.8679997638025568
2018-03-02,0.8497240402924158,0.8519598132431975,0.8585404748156513
2018-03-05,0.827832450764056,0.8320965948959276,0.8355026657506455
2018-03-06,0.8335985296826112,0.8393771749201886,0.8456381614648172
2018-03-07,0.8216638202630906,0.8227498824247906,0.8345567251109478
2018-03-08,0.8289084021583798,0.824712012203596,0.8374582579636896
2018-03-09,0.828546815461398,0.8232231823756129,0.8360381669111626
2018-03-12,0.8278254676849874,0.8215823177762982,0.8343896022148721
2018-03-13,0.8425015319960593,0.8385045230623789,0.8518027697838205
2018-03-14,0.8438522528934584,0.836681167249738,0.8499188806584168
2018-03-15,0.8519897085220263,0.8454181985242988,0.8586765453376269
2018-03-16,0.8512445427420854,0.840713790862325,0.8538681234345222
2018-03-19,0.8378520304565076,0.8445501093704442,0.8577946902737431
2018-03-20,0.84183508583437,0.8483176074776125,0.8615618989051729
2018-03-21,0.8367088966537036,0.8490931421031809,0.8623033711563902
2018-03-22,0.8361340085725641,0.8522206838784381,0.8654794395344696
2018-03-23,0.8152093751011606,0.8324869534638139,0.8454385286667214
2018-03-26,0.8325167301300986,0.8333493161860631,0.8463143110827405
2018-03-27,0.8409360423181822,0.8325980631849265,0.845551371358221
2018-03-28,0.820604834308257,0.8055752244959796,0.818108117848825
2018-03-29,0.8241428473764086,0.8171487117685174,0.8298616627021218
2018-03-30,0.8284970810283742,0.8274675234609998,0.845340994914176
2018-04-02,0.8387817285956501,0.8322558497583515,0.8589221831528943
2018-04-03,0.844334840459014,0.8612022577035956,0.8869127146875417
2018-04-04,0.8273051606694055,0.8449907890610189,0.8687022142408318
2018-04-05,0.8352112771051707,0.8367401245688405,0.8652284017033461
2018-04-06,0.8306202857951406,0.8334546146572303,0.8590638871852834
2018-04-09,0.8365461654181371,0.8433432554014352,0.8724987765322514
2018-04-10,0.8446676795739976,0.8586584926398684,0.8833219721011427
2018-04-11,0.8446384992653251,0.8597054412929972,0.8836040311705314
2018-04-12,0.8342072501171272,0.8540442213893604,0.8761727673906692
2018-04-13,0.8353892475236485,0.8549380975265046,0.8845343487382793
2018-04-16,0.8430070416486162,0.8579470093927688,0.8948679999606208
2018-04-17,0.84958013270396,0.8649638609109311,0.9014107179872167
2018-04-18,0.8554697222972105,0.872260766520769,0.9081354880658761
2018-04-19,0.8622790236176778,0.8742354248243418,0.9153545994676078
2018-04-20,0.8562973789088396,0.8680856195468831,0.9090469818139553
2018-04-23,0.8481979355088237,0.8599118021337886,0.900420495676925
2018-04-24,0.8301456844215689,0.8413740538793705,0.881389599489173
2018-04-25,0.8165287769855905,0.8263044137369762,0.8669723122187876
2018-04-26,0.815811848102083,0.8262186376092051,0.8662106314586212
2018-04-27,0.8077412874925458,0.820183044562089,0.8576422477046791
2018-04-30,0.8398296492515037,0.8434393407415957,0.8858252968623193
2018-05-02,0.8427357796708994,0.8357755011849739,0.8812828786203999
2018-05-03,0.8213665376235166,0.82293965938837,0.8744744000404648
2018-05-04,0.8217145642306285,0.8110579989147298,0.8762408717077511
2018-05-08,0.8059647755297986,0.8090501830625618,0.8577586056298163
2018-05-09,0.8021983322892534,0.8026455663605676,0.8536951158273027
2018-05-10,0.8097663551689819,0.8174036977250853,0.8768202906642709
2018-05-11,0.8051269389334709,0.8149917109653775,0.8812136018624919
2018-05-14,0.8236420979772595,0.8163997628892512,0.8899584717637015
2018-05-15,0.8070522303621799,0.7940390250443593,0.8649365681981271
2018-05-16,0.8014727990447994,0.7929583031313538,0.8610469061137369
2018-05-17,0.7920054478039731,0.7836576091159341,0.849494919192571
2018-05-18,0.8001387865689327,0.7883808189500139,0.8578978337862724
2018-05-21,0.7839708091049794,0.766764252326636,0.8406789721686869
2018-05-23,0.777676696135118,0.7677334525010631,0.831239132382813
2018-05-24,0.7636076011993285,0.756445294303437,0.8162197074793973
2018-05-25,0.7615191647506621,0.7491404654449756,0.813970487066592
2018-05-28,0.7524741563633551,0.7488934399445369,0.8043138424450025
2018-05-29,0.7529488924651655,0.750888426442766,0.8048163947698169
2018-05-30,0.7472897656574413,0.7455405762872719,0.79876424213788
2018-05-31,0.7475093934683248,0.7493369714306226,0.8046291401064534
2018-06-01,0.7740981492565633,0.7676587274433588,0.8336729899381132
2018-06-04,0.7870149059811951,0.7847206707646655,0.8519842435711362
2018-06-05,0.7956305158613848,0.7755783167336265,0.8414812533352724
2018-06-07,0.7966350818408191,0.791661988362861,0.8549759572152535
2018-06-08,0.7998142710374936,0.7930739075779895,0.8589098870180983
2018-06-11,0.8039917653707317,0.7935573680604924,0.8609916756573368
