variant,multiplier,is_total_return,oos_total_return,full_total_return,cost_paid_total
carrier_t3_f3,0.0,-0.09781484455026868,-0.0012636035678923463,-0.09895484893159445,0.0
carrier_t3_f3,1.0,-0.6620596144657085,-0.14349032823673946,-0.7105507913104743,0.6903615459245176
carrier_t3_f3,2.0,-0.8739845547333254,-0.2659878909787279,-0.9075031372505535,0.9540583354586583
carrier_t3_f3,3.0,-0.9532242472061556,-0.3714210709927629,-0.970597747405338,1.070927822533104
