variant_id,portfolio_mode,total_turnover,annualized_turnover,cost_paid_krw,tax_paid_22pct_krw,tax0_nav_end,tax22_nav_end
XKR001_V01,long_short,2658.0,318.72439264609324,398700000.0,37304164.45099892,0.014740327048458103,0.00976333236691704
XKR001_V01,long_only,2986.0,358.0553184504268,447900000.0,264501561.5662286,105.62113356492313,0.7779035738663181
XKR001_V02,long_short,2652.0,318.00492449113597,397800000.0,73296048.74636252,0.01505887351837805,0.006540998155898587
XKR001_V02,long_only,2980.0,357.33585029546947,447000000.0,441107924.92160666,4721.407504212351,-14.693128080359152
XKR001_V03,long_short,3440.0,412.4950755088641,516000000.0,237351112.6816709,-0.05893382227191167,-0.0021256004764851084
XKR001_V03,long_only,1744.0,209.12541037426135,261600000.0,130887105.59233662,0.004613739606807064,0.000727827791212144
XKR001_V04,long_short,3438.0,412.255252790545,515700000.0,266443857.6746921,0.029952905028318894,0.0002818438460486114
XKR001_V04,long_only,1741.0,208.7656762967827,261150000.0,182653196.49786586,4.010046377768846e-06,1.2074195785274779e-07
XKR001_V05,long_short,3482.0,417.5313525935654,522300000.0,307926864.2682493,41.56975383043353,0.2719550914684342
XKR001_V05,long_only,1776.0,212.96257386736704,266400000.0,145771570.8802101,0.0038776637228720608,0.0007047089025637658
XKR001_V06,long_short,3479.0,417.1716185160867,521850000.0,371439110.54201597,53.14276592053654,0.01080159760692324
XKR001_V06,long_only,1775.0,212.8426625082075,266250000.0,186354873.80322045,2.8521707694779033e-06,-2.962505116741268e-08
