variant_id,portfolio_mode,window,cagr,sharpe,max_drawdown,calmar,volatility,end_nav
XKR001_V01,long_short,covid_2020_02_03,-0.3374138016015542,-0.2438075544846727,-0.38778842481845244,-0.8700976615264324,0.6788844733744935,0.9377855454642262
XKR001_V01,long_short,year_2022,-0.5193570676526859,-2.013703406286992,-0.5362088171596671,-0.968572412523453,0.3382035170532812,0.48573114687271135
XKR001_V01,long_only,covid_2020_02_03,-0.9996856585684464,-2.8750173495869285,-0.8955765259847885,-1.1162481703829585,1.9374718772148172,0.28404900501068464
XKR001_V01,long_only,year_2022,-0.7001667040169796,-1.4155557183058738,-0.8207455524762287,-0.853086199376339,0.6893696845043628,0.3050696751040612
XKR001_V02,long_short,covid_2020_02_03,-0.9822599082462016,-7.113616061370614,-0.46698867289892476,-2.1033912924453357,0.5081083878556684,0.5330113271010752
XKR001_V02,long_short,year_2022,-0.36711019041677784,-0.8303454758729413,-0.47045796097710035,-0.780325174335071,0.4390531079077436,0.637065015682652
XKR001_V02,long_only,covid_2020_02_03,-0.9999999992100588,-10.096814622786594,-0.9646704448588853,-1.0366234443477136,1.7023803208393877,0.03797532032129152
XKR001_V02,long_only,year_2022,-0.6064622606872734,-0.4685908067012739,-0.9139586890740622,-0.6635554406749877,0.9865439610713709,0.3988484764034255
XKR001_V03,long_short,covid_2020_02_03,339.9955755972163,5.50943429908358,-0.2863794581964523,1187.2205420682938,1.1115436029599248,2.4845882333035365
XKR001_V03,long_short,year_2022,1.3552617877110271,1.5788834164949053,-0.44678559880558233,3.0333605007281492,0.7116384783354192,2.326438627896113
XKR001_V03,long_only,covid_2020_02_03,1.140143469581124,1.2385792935431468,-0.5618365380675714,2.0293152764728166,1.7588613082108175,1.1260770031018148
XKR001_V03,long_only,year_2022,-0.6439714199402331,-0.8557493093180701,-0.7018034571868126,-0.9175951092084956,0.8309798365025064,0.3613530225110984
XKR001_V04,long_short,covid_2020_02_03,1173.7893182119312,6.067341111557524,-0.2721171924079222,4313.543395862843,1.2192721724037967,3.013632322605424
XKR001_V04,long_short,year_2022,0.30464709564614845,0.752519469027926,-0.705817359858973,0.4316231265649501,0.8494114913269933,1.2996696799979044
XKR001_V04,long_only,covid_2020_02_03,-0.9998681941187417,-5.789231974795109,-0.7817226885513238,-1.2790574058579287,1.2747872833225309,0.24802002291030528
XKR001_V04,long_only,year_2022,-0.7625468822362019,-1.160352283248866,-0.8480401030180515,-0.8991872902264979,0.9005159978693913,0.24241145758187135
XKR001_V05,long_short,covid_2020_02_03,652.2769364071688,6.9470141326299295,-0.22561413138996633,2891.1173798760433,0.9468687156359272,2.7499008577986404
XKR001_V05,long_short,year_2022,2.2275983483861808,2.259149993034231,-0.35063411851891024,6.353056450398004,0.604973151541351,3.173693592580545
XKR001_V05,long_only,covid_2020_02_03,-0.2803772469897303,0.4636651323310018,-0.5019476394835964,-0.5585786742182558,1.4152485963487522,0.9499486864152337
XKR001_V05,long_only,year_2022,-0.6405941544289782,-0.8496303012436346,-0.6622061665963423,-0.9673636198852583,0.8273441990251929,0.3647312959336496
XKR001_V06,long_short,covid_2020_02_03,989.0074246572551,6.496127136043991,-0.3048416432359491,3244.331759134883,1.093581962047349,2.9342143201120243
XKR001_V06,long_short,year_2022,2.203405675668967,1.9039708180489165,-0.47533326227521244,4.635496504330936,0.7759005543839568,3.15024563115047
XKR001_V06,long_only,covid_2020_02_03,-0.9999877264306776,-4.9208258389452455,-0.8555042484178229,-1.1688869205267696,1.750606276586982,0.17123679801697717
XKR001_V06,long_only,year_2022,-0.7143703309837713,-0.9460761820504082,-0.8872639202912572,-0.805138487710927,0.8997290283197731,0.29082078711686865
