variant_id,portfolio_mode,random_trials,random_events_generated,random_mean_sharpe,random_p50_sharpe,random_p95_sharpe,strategy_after_cost_sharpe,strategy_percentile
XKR001_V01,long_short,1000,6583000,0.04858932167046068,0.062124633363792564,0.5109083738322084,-1.029544061352503,0.1
XKR001_V01,long_only,1000,6583000,0.04061767130040269,0.037048040518555356,0.5114040677137347,1.1188995385512082,100.0
XKR001_V02,long_short,1000,6583000,0.2745654356326211,0.2958560123427642,0.6439752988654066,-0.5984632187541318,0.0
XKR001_V02,long_only,1000,6583000,0.27467041817594745,0.2952645493384003,0.7039900982228476,1.4970334652397386,100.0
XKR001_V03,long_short,1000,18680000,-3.2022157118326633,-3.4285081032115374,-1.3338210922336498,0.44912505162054406,100.0
XKR001_V03,long_only,1000,8395000,-0.10882280412452161,-0.11283945708122686,0.34385994921999835,-0.024254585023717648,60.8
XKR001_V04,long_short,1000,18680000,-1.317017582458506,-1.3762749452187384,-0.7014260857125612,0.18483247521009538,100.0
XKR001_V04,long_only,1000,8395000,0.3107083682460132,0.31695704323731144,0.6656741398075263,-0.4402986639557272,0.0
XKR001_V05,long_short,1000,18680000,-3.2315397783061743,-3.432252557515092,-1.3718830442096157,1.0324936930309139,100.0
XKR001_V05,long_only,1000,8297000,0.03321078777068365,0.0370613205868031,0.4662698871741854,-0.195316122221742,21.6
XKR001_V06,long_short,1000,18680000,-1.3177843675891874,-1.3816498707342688,-0.7166059545001358,1.0450383481848096,100.0
XKR001_V06,long_only,1000,8297000,0.31475509933440987,0.32793201606797207,0.6562530765763361,-0.5357635189721108,0.0
