variant_id,portfolio_mode,window,cagr,sharpe,max_drawdown,calmar,volatility,end_nav
XKR001_V01,long_short,2018_2020,-0.19536192610970549,-0.4626905667140129,-0.7207764896400548,-0.2710436992850119,0.3486079848776014,0.5218100961949572
XKR001_V01,long_short,2021_2023,-0.5704766635597512,-2.129429797058602,-0.9403670066539129,-0.6066532104201164,0.37007214456864856,0.08067662213207029
XKR001_V01,long_short,2024_2026,-0.3502758594019493,-0.5528701600662812,-0.8635936839507996,-0.40560261835113776,0.5415601402195976,0.3644385927745978
XKR001_V01,long_only,2018_2020,-0.15550836626588582,0.08370287490570644,-0.9586754718160987,-0.16221168772712355,0.6715228693208372,0.6030297308758433
XKR001_V01,long_only,2021_2023,-0.43622880145606846,-0.48967025902569594,-0.9563730513702243,-0.45612828679255485,0.696394644627496,0.18138018487527707
XKR001_V01,long_only,2024_2026,18.12561867906032,3.677814821349688,-0.5929390001244567,30.569111957985207,0.9523389092461316,1000.1969999686103
XKR001_V02,long_short,2018_2020,-0.2862896507930832,-0.39161847928685245,-0.8783198563640932,-0.32595147282473197,0.5259863018758709,0.36447591004052143
XKR001_V02,long_short,2021_2023,-0.6506417804205699,-1.6992910227358122,-0.9660440970712648,-0.6735114705354617,0.5409258813843714,0.043601751008280745
XKR001_V02,long_short,2024_2026,-0.07485620970373286,0.21831771123172666,-0.8286231514077425,-0.09033806209319657,0.6811833020857011,0.8334901566699288
XKR001_V02,long_only,2018_2020,-0.08272302293127953,0.3921096475244461,-0.9969890885272099,-0.08297284682772318,0.9418998062487041,0.7722960555809606
XKR001_V02,long_only,2021_2023,-0.652152815477854,-0.6240196922325023,-0.9919908516563486,-0.6574181751665756,0.973833135713276,0.04304239751949253
XKR001_V02,long_only,2024_2026,142.0501025131275,4.7301900833204344,-0.7796142242524167,182.20563208597355,1.2528148067125955,111096.72796986965
XKR001_V03,long_short,2018_2020,2.057540165627524,2.0614754937907187,-0.618021406381325,3.329237700155005,0.6820151686467156,28.344062833591533
XKR001_V03,long_short,2021_2023,,-0.39952900337426117,-1.0279426910160556,,1.118352188987781,-0.0029053872927240535
XKR001_V03,long_short,2024_2026,-0.16960485181485374,0.1979239568259055,-0.9209839025832407,-0.1841561522835894,0.8141103738211007,0.6472273013968219
XKR001_V03,long_only,2018_2020,-0.6122328960722144,-0.21460206211833968,-0.9423885269258954,-0.6496608124775667,1.1038391713831164,0.05872331653872194
XKR001_V03,long_only,2021_2023,-0.8701759306555132,-1.4063278187322155,-0.9985951881758196,-0.8714000837968228,1.0698875810719155,0.0022849609776757237
XKR001_V03,long_only,2024_2026,3.7562599847931795,1.9176223772602197,-0.8610859906960401,4.362235624988961,1.1534409832849057,38.49333685788384
XKR001_V04,long_short,2018_2020,2.3654686173582067,1.968602944688252,-0.791936882169207,2.9869408416475234,0.7963219825820533,37.771867914183694
XKR001_V04,long_short,2021_2023,-0.8795228818358954,-1.2363662409941452,-0.9989176711595189,-0.8804758462376254,1.0750458214070162,0.001829007112551557
XKR001_V04,long_short,2024_2026,-0.2378235971753373,0.3905160499225967,-0.9868050118728201,-0.24100363730822652,1.1177385318182698,0.5295514348086918
XKR001_V04,long_only,2018_2020,-0.7816653090464818,-0.5180238453682651,-0.9915604100739545,-0.788318393014685,1.2314175989454965,0.010527955519042152
XKR001_V04,long_only,2021_2023,-0.9878635905909677,-2.8246676863971003,-0.9999982982314658,-0.9878652717090032,1.2769101065576776,1.963012601430806e-06
XKR001_V04,long_only,2024_2026,8.498297085312362,2.169675706753801,-0.8160550370210161,10.413877373191808,1.5523440628027843,194.32747036519967
XKR001_V05,long_short,2018_2020,3.0329218517591308,2.5079168800733362,-0.5467778753920061,5.546899368568475,0.6670767355840216,64.90821315951204
XKR001_V05,long_short,2021_2023,-0.35496180255102217,0.02250407617320565,-0.9486261300656502,-0.37418514133324243,0.8712856902053645,0.27089225048859356
XKR001_V05,long_short,2024_2026,0.3814789346216887,0.8469580399478276,-0.8231720853568273,0.46342549924579357,0.8416053089222676,2.130721170087686
XKR001_V05,long_only,2018_2020,-0.2903554131010335,-0.0009512028573640699,-0.9365514888418596,-0.31002610807878517,0.8485762088385981,0.35829785610019865
XKR001_V05,long_only,2021_2023,-0.9180411782842756,-2.0152827837839196,-0.9996009293792049,-0.9184076878103931,0.9996100790032542,0.0005805489153047236
XKR001_V05,long_only,2024_2026,2.66406752002098,1.6769017092672092,-0.8858752254415803,3.007271728016807,1.1684188579555903,20.900702827747764
XKR001_V06,long_short,2018_2020,3.8514219391354967,2.554074902685497,-0.6998148399582678,5.5034870929075606,0.7439021644049958,112.83482871292276
XKR001_V06,long_short,2021_2023,-0.6341711641728367,-0.6011976432957278,-0.988223309502199,-0.6417286033176953,0.9239267628442676,0.05001500583898066
XKR001_V06,long_short,2024_2026,1.7675616135519356,1.6268572398202223,-0.9643013001255952,1.832997231593196,1.0800884447792298,10.836497940410675
XKR001_V06,long_only,2018_2020,-0.7050929945902511,-0.603456308408172,-0.9943509304636009,-0.7090987426959134,1.0872891231131552,0.02588499324981073
XKR001_V06,long_only,2021_2023,-0.9911342195115134,-3.1893740237499704,-0.9999992635187812,-0.9911349494637889,1.231611410497021,7.703657553108563e-07
XKR001_V06,long_only,2024_2026,7.377518476994094,2.023205312689445,-0.8799655197575393,8.383872221523923,1.6730244641409677,144.83920712852
