experiment_id,slug,carrier,variant,cumulative_net_total_return,sharpe,max_drawdown,trade_count,rank_ic_mean,rank_ic_t_stat,spread,spread_t_stat,cumulative_uplift_vs_f001,sharpe_uplift_vs_f001,cumulative_diff_vs_f002,sharpe_diff_vs_f002
F001,layer3_neutral_baseline,A_d013_direct,F001-A D013 direct,2.545770290335013,0.5333654677635088,-0.3392346174957135,,,,,,0.0,0.0,,
F001,layer3_neutral_baseline,B_e014,F001-B E014 neutral,3.621084739339225,0.6311872415922518,-0.3564186937144888,,,,,,0.0,0.0,,
F002,stock_rs_only,A_d013_direct,F002-A D013 direct,-0.8529580972033175,-0.4072782866963429,-0.9069895495190158,109,0.1609407673519818,5.266185871047337,0.1966572191935779,4.136562155646367,-3.3987283875383305,-0.9406437544598517,0.0,0.0
F002,stock_rs_only,B_e014,F002-B E014,-0.5751596013669438,-0.2248055930760276,-0.7864378005494476,109,0.1164790984065188,2.335549649214219,0.0775197016703825,1.4743887265047504,-4.196244340706169,-0.8559928346682795,0.0,0.0
F003,foreign_flow_only,A_d013_direct,F003-A D013 direct,0.9140249795158836,0.240954750282348,-0.4941753798241437,110,-0.0125667991506595,-0.4924005666505902,-0.0602995162632051,-1.2140387785842166,-1.6317453108191295,-0.29241071748116076,1.766983076719201,0.648233036978691
F003,foreign_flow_only,B_e014,F003-B E014,3.0661868050450805,0.4657026471017708,-0.4395937873103107,109,-0.0491274375154195,-1.460612597325319,0.0347259697276444,0.6796433945314226,-0.5548979342941447,-0.16548459449048103,3.6413464064120245,0.6905082401777984
F004,institution_flow_only,A_d013_direct,F004-A D013 direct,-0.4790341678187421,-0.2514739653017774,-0.6403300661046598,109,-0.0053573210903397,-0.2109663055451181,-0.001409564774808,-0.0394796674023229,-3.024804458153755,-0.7848394330652861,0.3739239293845754,0.15580432139456551
F004,institution_flow_only,B_e014,F004-B E014,0.6767651920475724,0.1653981765472665,-0.5722545087785456,109,-0.0036012155863338,-0.0959373965824256,0.0563732632473241,1.5120635752260267,-2.944319547291653,-0.4657890650449853,1.2519247934145161,0.39020376962329406
F005,liquidity_only,A_d013_direct,F005-A D013 direct,-0.1782191413704444,-0.0542587621324504,-0.7089212886389102,110,0.0513815931872606,1.6092602131827731,0.0661837057859745,1.7263644308703627,-2.7239894317054576,-0.5876242298959592,0.6747389558328731,0.3530195245638925
F005,liquidity_only,B_e014,F005-B E014,0.1027292455664206,0.0309174623070627,-0.5638192243108182,108,-0.0286385189726212,-0.6363451943960491,-0.0595089818501158,-1.2653402490434378,-3.5183554937728045,-0.6002697792851891,0.6778888469333644,0.2557230553830903
F006,rs_plus_flow,A_d013_direct,F006-A D013 direct,-0.0650793161695471,-0.0193154768012356,-0.7166816287411188,110,0.0909407681848286,2.616870280718191,0.1081126741135054,3.009347858962799,-2.6108496065045603,-0.5526809445647444,0.7878787810337704,0.38796280989510734
F006,rs_plus_flow,B_e014,F006-B E014,0.2333211655670544,0.0582495011947222,-0.6485745390768336,109,0.0479778780886999,1.3394144338404237,0.1057198174490632,1.9458546092647344,-3.3877635737721707,-0.5729377403975296,0.8084807669339982,0.2830550942707498
F007,rs_flow_confirm,A_d013_direct,F007-A D013 direct,-0.5062702035430413,-0.1777109799724661,-0.7871676067715438,110,0.1078204577310744,3.484461857478083,0.1231529275480759,2.7322366235088094,-3.0520404938780543,-0.7110764477359749,0.3466878936602762,0.22956730672387682
F007,rs_flow_confirm,B_e014,F007-B E014,-0.503619405765684,-0.1933527094139513,-0.6923655104295494,108,0.0626711445276742,1.4141523336933082,0.1365430468235032,3.004854963280505,-4.124704145104909,-0.8245399510062031,0.07154019560125979,0.0314528836620763
F008,rs_alignment,A_d013_direct,F008-A D013 direct,-0.166578736918981,-0.046440155424249,-0.7648773467856584,110,0.1170005019109652,3.6583834367955816,0.1720260956782584,2.517892409618447,-2.712349027253994,-0.5798056231877577,0.6863793602843364,0.3608381312720939
F008,rs_alignment,B_e014,F008-B E014,-0.5593816206824578,-0.2200361772062653,-0.7645807953935938,108,0.1122357732840071,2.5560188492040794,0.1393908170208156,3.752561673133073,-4.180466360021683,-0.8512234187985172,0.015777980684485993,0.004769415869762289
F009,rs_liquidity_confirm,A_d013_direct,F009-A D013 direct,0.1803902742753707,0.0420558637269015,-0.7424014873130613,110,0.1070298714470574,3.565950908053253,0.1633588694509919,2.728715498753294,-2.3653800160596425,-0.4913096040366073,1.0333483714786882,0.4493341504232444
F009,rs_liquidity_confirm,B_e014,F009-B E014,-0.3104962442593764,-0.1031469234828669,-0.7087357590268362,109,0.0808545531422325,2.4193163566517786,0.0973257521060144,2.1762561870395216,-3.9315809835986015,-0.7343341650751187,0.2646633571075674,0.1216586695931607
F010,composite_candidate,A_d013_direct,F010-A D013 direct,0.3455428076835136,0.0765775941638861,-0.7246351249505394,110,0.1099477779961756,3.688131924347972,0.166228811476639,2.6489756399680435,-2.2002274826514996,-0.4567878735996227,1.1985009048868311,0.483855880860229
F010,composite_candidate,B_e014,F010-B E014,-0.2507740911059727,-0.078840128599665,-0.6933400663054508,109,0.0950884775620914,2.645494451390072,0.112321423711726,3.087968165998465,-3.871858830445198,-0.7100273701919169,0.32438551026097107,0.1459654644763626
