scenario,net_cum,sharpe,max_drawdown,note
base,2.545770290335013,0.533365467763508,-0.33923461749571304,
2x,2.299441200116838,0.5017312487668131,-0.342355476511335,
3x,2.069773268014911,0.46994165051794706,-0.35093353558821105,
extra_slippage,2.397253061129656,0.514571612382645,-0.339057988810383,
one_day_delay,,,,skipped: existing engine has no registered one-day delayed execution option; engine.py was not modified
