file,sha256,size_bytes,present
reports/experiments/measurement_A0/KR_STATUS_LOCAL_ARTIFACT_CONSISTENCY_AUDIT_A0/count_reconciliation_matrix.csv,4bcf6d079d6dc31402ba229787e5fa50d16964cb8de74ed16fbfed0bf2a62689,1953,True
reports/experiments/measurement_A0/KR_STATUS_RESIDUAL_ROWKEY_INTEGRITY_AUDIT_A0/rowkey_set_reconciliation.csv,ed2c71ea776c19cd697df6eff36eb3d505c943cc8a30ad4ac88035d50f3bddc2,421,True
reports/experiments/measurement_A0/KR_STATUS_FAIL_CLOSED_INVARIANT_AUDIT_A0/fail_closed_invariant_matrix.csv,f4233e3e53adedc36f721ffd92baa666bf63f4616095ab22df93d42e36095ccd,2512,True
reports/experiments/measurement_A0/KR_STATUS_RESIDUAL_MANUAL_REVIEW_PACKET_CONSOLIDATION_A0/manual_review_packet.csv,45e1a4676ab64d82ab4cd74cbbd8c28e2f554b744c4b2cb2fd8defc6b4481b32,299968,True
reports/experiments/measurement_A0/KR_STATUS_MANUAL_REVIEW_WORKLIST_VIEWS_A0/manual_review_worklist.csv,731de35dd839b6c9ca0c15147e069709ce7e8a8f3f66c880aff99accf033a40f,302965,True
reports/experiments/measurement_A0/KR_STATUS_MANUAL_REVIEW_WORKLIST_VIEWS_A0/worklist_integrity_check.csv,98254a814d8bd1c7064f8a7816e8302e082d232ad8161ebe019a98501048ec8c,549,True
reports/experiments/measurement_A0/KR_STATUS_LOCAL_ARTIFACT_CONSISTENCY_AUDIT_A0/CLOSE_NOTE.md,b755f4a3f212e3f5b5b06293b8ccf668559e6834b1465366abb47a716af57712,4257,True
reports/experiments/measurement_A0/KR_STATUS_RESIDUAL_ROWKEY_INTEGRITY_AUDIT_A0/CLOSE_NOTE.md,34c0cae796350765abd750c53428c0e5a75ebb81555aa3511b1c216a66584226,4676,True
reports/experiments/measurement_A0/KR_STATUS_FAIL_CLOSED_INVARIANT_AUDIT_A0/CLOSE_NOTE.md,ef2966a49120d0c673a8eb24d5237d6068574845e3476a218c0971267e21deb6,5850,True
reports/experiments/measurement_A0/KR_STATUS_RESIDUAL_MANUAL_REVIEW_PACKET_CONSOLIDATION_A0/CLOSE_NOTE.md,a57cebbb8b56bd717c00c99f2aca76d43b89811d4bc7c372b3d5d7ad1bb93f6b,5699,True
reports/experiments/measurement_A0/KR_STATUS_MANUAL_REVIEW_WORKLIST_VIEWS_A0/CLOSE_NOTE.md,2995a0d476b0881cca667814fdb544a2acf5562787deed9c33dadedbc0341fd7,5481,True
docs/next_actions.md,a5b50ae532a3adeea7630a458adcb7cb0179efaf7051f5c1eb861d0f76489ad6,86031,True
