signal_date,USDKRW_yoy,VIX_60d_avg,VIX_240d_avg,DXY_yoy,US_2_10_curve_spread,USDCNY_yoy,favorable_USDKRW,favorable_VIX,favorable_DXY,favorable_US_2_10_curve,favorable_USDCNY,regime_score,regime_on
2010-03-31,,20.186333333333334,,,2.82,,False,False,False,True,False,,False
2010-06-30,,25.916999999999998,,,2.3600000000000003,,False,False,False,True,False,,False
2010-09-30,,24.209,,,2.08,,False,False,False,True,False,,False
2010-12-30,,19.131000000000004,22.61345833333333,,2.71,,False,True,False,True,False,,False
2011-03-31,-0.03325991189427313,18.600833333333334,22.292625,-0.05825229246653496,2.67,-0.03971055676807933,True,True,True,True,True,5,True
2011-06-30,-0.11352205179365671,17.4325,19.68429166666667,-0.09068681370484677,2.67,-0.04826905803183579,True,True,True,True,True,5,True
2011-09-30,0.030903535573985286,30.316166666666668,21.304166666666667,-0.001934842802220893,1.72,-0.04404358027828004,False,False,True,True,True,3,True
2011-12-29,0.00399340220505251,29.512833333333333,24.252041666666667,0.01682451399925311,1.65,-0.04874341610233246,False,False,False,True,True,2,True
2012-03-30,0.01726308217946415,18.274333333333335,24.225250000000003,0.027435343997789463,1.85,-0.03939490882500807,False,True,False,True,True,3,True
2012-06-29,0.05181805613161905,19.990499999999997,24.872708333333332,0.07450052227735782,1.29,-0.018026785300523596,False,True,False,True,True,3,True
2012-09-28,-0.051787695195835814,16.226166666666668,20.588250000000002,-0.001591885454655495,1.41,-0.014912075029308247,True,True,True,True,True,5,True
2012-12-28,-0.06840731070496076,16.687833333333334,17.669541666666667,-0.01390435801935952,1.48,-0.016311206461383065,True,True,True,True,True,5,True
2013-03-29,-0.019841409691629952,13.466833333333334,16.6055,0.01576591703597674,1.62,-0.013446578822035371,True,True,False,True,True,4,True
2013-06-28,-0.018740597464001696,14.817166666666669,15.261041666666666,0.0034326904137009784,2.1300000000000003,-0.033875934887813486,True,True,False,True,True,4,True
2013-09-30,-0.04273801560758084,14.330333333333334,14.838833333333334,0.027746765032952148,2.3000000000000003,-0.030305431836553542,True,True,False,True,True,4,True
2013-12-30,-0.018411989202271273,14.078000000000001,14.203750000000001,0.035498001980338145,2.62,-0.025829547461191593,True,True,False,True,True,4,True
2014-03-31,-0.04874017155110788,14.700833333333334,14.522583333333333,0.022051895221818718,2.28,-0.0003862184387118939,True,False,False,True,True,3,True
2014-06-30,-0.10497677504976777,12.773,13.952875,0.009240008990395898,2.09,0.014637011895631602,True,True,False,True,False,3,True
2014-09-30,-0.02477481643146462,13.013666666666667,13.563708333333333,0.03934913832678877,1.92,0.00505017487660564,True,True,False,True,False,3,True
2014-12-30,0.04212978369384346,15.967166666666666,14.119000000000002,0.09726158067351176,1.5000000000000002,0.024955935888777203,False,False,False,True,False,1,False
2015-03-31,0.03473046061296747,16.655333333333335,14.611875,0.13930159309422252,1.38,0.002374107690817029,False,False,False,True,False,1,False
2015-06-30,0.09456216142083251,13.659,14.90975,0.13467979349773884,1.69,-0.003243052322314477,False,True,False,True,True,3,True
2015-09-30,0.13916722761804,19.30233333333333,16.372208333333333,0.15611662563172213,1.4099999999999997,0.03617263843648222,False,False,False,True,False,1,False
2015-12-30,0.06579233192136424,16.81233333333333,16.61616666666667,0.10953760115771272,1.2299999999999998,0.04122932506067856,False,False,False,True,False,1,False
2017-03-31,0.012577020659659377,11.685333333333334,15.509458333333335,0.07476008416058089,1.14,0.10896414021866896,False,True,False,True,False,2,True
2017-06-30,0.029783824178198692,11.585166666666668,14.873583333333332,0.056905965774509015,0.8900000000000001,0.09303000032223752,False,True,False,True,False,2,True
2017-09-29,-0.04304164293611179,10.924833333333334,12.604041666666667,-0.008590182982048944,0.8600000000000001,0.04456470588235284,True,True,True,True,False,4,True
2017-12-28,-0.09221111290445883,10.332333333333333,11.141291666666667,-0.01777054763873054,0.53,0.014860681114551078,True,True,True,True,False,4,True
2018-03-30,-0.05996438285769978,17.166999999999998,12.505749999999999,-0.06739624550437606,0.4700000000000002,-0.09046723564299142,True,False,True,True,True,4,True
2018-06-29,-0.018893399223438134,15.503000000000002,13.495000000000001,0.008591238832364123,0.31999999999999984,-0.026828874098235422,True,False,False,True,True,3,True
2018-09-28,-0.014912654452492458,12.954166666666667,14.016291666666666,0.05386258356217577,0.22999999999999998,0.05556747479081725,True,True,False,True,False,3,True
2018-12-28,0.02624287778790313,21.141,16.74158333333333,0.04413926453762884,0.20999999999999996,0.038704210860782906,False,False,False,True,False,1,False
2019-03-29,0.06355297641332824,17.022833333333335,16.516333333333332,0.06520047466248702,0.16000000000000014,0.06612132527451675,False,False,False,True,False,1,False
2019-06-28,0.03956277461643731,15.231833333333332,16.476583333333334,0.010354225353974345,0.2699999999999998,0.06808120660463812,False,True,False,True,False,2,True
2019-09-30,0.0632518604795902,15.980666666666668,17.27166666666667,0.03205258022350277,0.06000000000000005,0.03705968866949161,False,True,False,True,False,2,True
2019-12-30,0.031035897801884094,13.646333333333333,15.187666666666667,-0.010245445728859548,0.2899999999999998,0.014723161055425704,False,True,True,True,False,3,True
2020-03-31,0.07531207269198537,31.135833333333334,19.034125,0.0775338651302997,0.47,0.05824475618300817,False,False,False,True,False,1,False
2020-06-30,0.0383690556506997,34.5565,24.028875000000003,0.0507507551962465,0.48,0.030690388143144176,False,False,False,True,False,1,False
2020-09-29,-0.025413066482248392,25.858833333333333,26.605500000000003,0.0033705075894003844,0.53,-0.04262138378925473,True,True,False,True,True,4,True
2020-12-30,-0.06618885565982624,25.610166666666665,29.77104166666667,-0.03665002876646295,0.82,-0.06798167363658425,True,True,True,True,True,5,True
2021-03-31,-0.11089366739001771,23.2025,26.870875,-0.08590944818235224,1.57,-0.07377026074700488,True,True,True,True,True,5,True
2021-06-30,-0.05762994456254422,17.94633333333333,23.016875000000002,-0.05922474513632536,1.22,-0.08416578108395323,True,True,True,True,True,5,True
2021-09-30,0.014527533747589416,17.948666666666668,20.967750000000002,-0.004601720764147776,1.25,-0.04393055042482452,False,True,True,True,True,4,True
2021-12-30,0.07378130307519948,19.190333333333335,19.409333333333333,0.028282084626100934,0.8,-0.026686638339498026,False,True,False,True,True,3,True
2022-03-31,0.06899898530903958,24.899,20.044500000000003,0.015801701096992193,0.040000000000000036,-0.02593615715162667,False,False,False,True,True,2,True
2022-06-30,0.14236590535323246,27.524333333333335,22.506666666666668,0.07198302715991178,0.040000000000000036,0.036158926058244,False,False,False,True,False,1,False
2022-09-30,0.22002079285543852,24.74233333333333,24.196458333333332,0.1225234835063187,-0.40000000000000036,0.1019176301249014,False,False,False,False,False,0,False
2022-12-29,0.0633249594609353,24.790000000000003,25.724416666666666,0.05080230714441347,-0.4299999999999997,0.095078159332036,False,True,False,False,False,1,False
2023-03-31,0.06392701516165356,20.745333333333335,24.585541666666664,0.031225791742269138,-0.5499999999999998,0.07920449904175442,False,True,False,False,False,1,False
2023-06-30,0.014699201515349758,16.475,21.646708333333333,-0.010228366160934477,-1.02,0.08263660794266947,False,True,True,False,False,2,True
2023-09-27,-0.04283322217649821,14.9065,18.939541666666667,-0.029266835068207486,-0.4800000000000004,0.03289436500310838,True,True,True,False,False,3,True
2023-12-28,-0.0015188970947218605,15.316,16.771083333333333,-0.0330913468405053,-0.41000000000000014,0.023404804219457676,True,True,True,False,False,3,True
2024-03-29,0.027795368710181734,13.746166666666666,15.039916666666667,0.00040821689373382597,-0.3899999999999997,0.050777955503853445,False,True,False,False,False,1,False
2024-06-28,0.08161517427790166,13.985333333333333,14.483208333333332,0.049988008620281965,-0.41000000000000014,0.020182456140350746,False,True,False,False,False,1,False
2024-09-30,-0.008251123781941039,17.165833333333335,14.971,0.00046425216988321694,0.20000000000000018,-0.03561210453920216,True,False,False,True,True,3,True
2024-12-30,0.13611951355021912,17.279833333333332,15.554916666666667,0.07428139398151523,0.3100000000000005,0.026614899842448914,False,False,False,True,False,1,False
2025-03-31,0.11852526172052791,18.4305,16.71633333333333,0.053803551392832105,0.37999999999999945,0.010476521739130495,False,False,False,True,False,1,False
