carrier,rank_ic_pooled,rank_ic_mean,rank_ic_t_stat,rank_ic_n_quarters,spread,spread_t_stat,positive_spread_ratio
F004-A D013 direct,-0.0139215115590111,-0.0053573210903397,-0.2109663055451181,22.0,-0.001409564774808,-0.0394796674023229,0.3636363636363636
F004-B E014,-0.0199574288231164,-0.0036012155863338,-0.0959373965824256,22.0,0.0563732632473241,1.5120635752260267,0.5909090909090909
