threshold,hypothesis,description,value,threshold_value,passes
0.2,H1,Threshold 0.0 reproduces D009 Sharpe 0.4144,0.33705329365403236,0.4144,
0.2,H7,Threshold Sharpe is at least 0.40 for plateau count,0.33705329365403236,0.4,False
0.2,H8,"ON share, trade count, max DD, and subperiod returns are descriptive checks",0.18032786885245902,,
