portfolio,label,schedule,band_pp,gross_cagr,net_cagr,net_sharpe,net_mdd,gross_final_nav,net_final_nav,average_tracking_drift_pp,max_component_drift_pp,total_rebalance_events_count_16y,total_tax_paid_krw,capital_gains_tax_krw,dividend_withholding_krw,total_commission_paid_krw,disqualified_drift_gt_20pp
quarterly_band_0pp,Quarterly + 0pp,quarterly,0.0,0.12850206063402814,0.12194304149288371,1.1268298600709963,-0.16474896948492512,7.232681614610943,6.558110722489265,2.8348484325602383,9.231467326560894,65,26343845.73751667,17028572.339343663,9315273.398173006,2102061.0846947627,False
quarterly_band_2p5pp,Quarterly + 2.5pp,quarterly,2.5,0.1287769752631378,0.1225926358981333,1.121317556295424,-0.16484695375263037,7.26157334890378,6.62053434599404,4.064206323577668,9.259191480946349,21,26129698.54326798,16763553.438102923,9366145.105165059,1534014.2658806287,False
quarterly_band_5pp,Quarterly + 5pp,quarterly,5.0,0.13024594270791856,0.12310377510143966,1.0860100256413734,-0.16677246717160732,7.41779755573778,6.670044665968244,7.806550615166382,9.805267181529226,9,32098206.016386133,22805281.684310436,9292924.332075696,1255940.9274454005,False
quarterly_band_7p5pp,Quarterly + 7.5pp,quarterly,7.5,0.13370378075184708,0.12465276972878758,1.0838860726593391,-0.16722959394253234,7.798083747047964,6.822215948611986,9.728627035665589,14.645879061137201,5,35403494.09774169,26139047.799408406,9264446.298333287,1263617.023239732,False
quarterly_band_10pp,Quarterly + 10pp,quarterly,10.0,0.13174201676438435,0.12717064457203953,1.0653202407617326,-0.18355757607569056,7.580144175743017,7.076543394975731,13.549622466730593,12.185727920961773,3,31417558.348020233,22157326.158146173,9260232.18987406,873901.014782763,False
quarterly_band_12p5pp,Quarterly + 12.5pp,quarterly,12.5,0.13428223845721932,0.12975851039202935,1.0949801483618509,-0.18641256963997754,7.863461353384375,7.347198781138828,14.577210031544174,13.364624257706456,2,27745685.65686848,18288369.69027785,9457315.966590632,771532.851471764,False
quarterly_band_15pp,Quarterly + 15pp,quarterly,15.0,0.13596888243963057,0.13384123267636538,1.0721949931083719,-0.17987463709206386,8.05703692092029,7.794038318740514,20.04284767648622,16.30487257872992,2,45493406.28330809,36087349.64563626,9406056.637671828,1178634.1041751667,True
quarterly_band_20pp,Quarterly + 20pp,quarterly,20.0,0.13796714371066865,0.13560427800569697,1.0440280891643687,-0.20907856076305742,8.292166067751705,7.994779138410904,24.562835233048617,20.735162973200612,1,22658389.690572016,13459480.212581022,9198909.477990996,626841.7012314547,True
monthly_band_0pp,Monthly + 0pp,monthly,0.0,0.1271820835603512,0.12046075529764488,1.1205974881462837,-0.16943923849463938,7.095457528071096,6.4177315727163124,1.5767069955421746,7.1422764436672725,196,25124981.394560453,15859442.283295773,9265539.11126468,3215973.1960861823,False
monthly_band_2p5pp,Monthly + 2.5pp,monthly,2.5,0.12804096676252996,0.12161568623126007,1.1214266746741706,-0.16816948513925467,7.1844658404460935,6.526862911493671,3.4650002193619343,7.490489783252091,30,25333801.269895125,16014705.923211467,9319095.346683659,1866764.6778620793,False
monthly_band_5pp,Monthly + 5pp,monthly,5.0,0.12865875588717635,0.12289946039289634,1.1101785197693448,-0.16722755475365036,7.249136009347529,6.650212633023209,6.691771280239776,9.702490733649343,9,26988110.462051954,17527650.75454221,9460459.707509745,1191297.9658531474,False
