portfolio,label,schedule,band_pp,stress,metric,value,start_date,end_date,peak_date,trough_date
quarterly_band_2p5pp,Quarterly + 2.5pp,quarterly,2.5,subperiod_2018_2026,cagr,0.15641511265419927,2018-01-01,2026-12-31,,
quarterly_band_2p5pp,Quarterly + 2.5pp,quarterly,2.5,subperiod_2018_2026,sharpe,1.2423387444555671,2018-01-01,2026-12-31,,
quarterly_band_2p5pp,Quarterly + 2.5pp,quarterly,2.5,subperiod_2018_2026,max_drawdown,-0.16484695375263037,2018-01-01,2026-12-31,,
quarterly_band_5pp,Quarterly + 5pp,quarterly,5.0,2020_covid_daily_mdd,daily_mdd,-0.16677246717160732,2020-02-01,2020-04-30,2020-02-20,2020-03-19
quarterly_band_5pp,Quarterly + 5pp,quarterly,5.0,2022_krw_return,calendar_year_return,-0.1578737096960129,2022-01-01,2022-12-31,,
quarterly_band_5pp,Quarterly + 5pp,quarterly,5.0,2025_spike_exclusion,cagr_excluding_2025_return_days,0.1154389372292306,2010-01-04,2026-05-18,,
quarterly_band_5pp,Quarterly + 5pp,quarterly,5.0,subperiod_2010_2017,cagr,0.08762905176735192,2010-01-01,2017-12-31,,
quarterly_band_5pp,Quarterly + 5pp,quarterly,5.0,subperiod_2010_2017,sharpe,0.9452204077253491,2010-01-01,2017-12-31,,
quarterly_band_5pp,Quarterly + 5pp,quarterly,5.0,subperiod_2010_2017,max_drawdown,-0.0707736571406059,2010-01-01,2017-12-31,,
quarterly_band_5pp,Quarterly + 5pp,quarterly,5.0,subperiod_2018_2026,cagr,0.1582931916743202,2018-01-01,2026-12-31,,
quarterly_band_5pp,Quarterly + 5pp,quarterly,5.0,subperiod_2018_2026,sharpe,1.2067532978729902,2018-01-01,2026-12-31,,
quarterly_band_5pp,Quarterly + 5pp,quarterly,5.0,subperiod_2018_2026,max_drawdown,-0.16677246717160732,2018-01-01,2026-12-31,,
quarterly_band_7p5pp,Quarterly + 7.5pp,quarterly,7.5,2020_covid_daily_mdd,daily_mdd,-0.16722959394253234,2020-02-01,2020-04-30,2020-02-20,2020-03-19
quarterly_band_7p5pp,Quarterly + 7.5pp,quarterly,7.5,2022_krw_return,calendar_year_return,-0.15508016027740057,2022-01-01,2022-12-31,,
quarterly_band_7p5pp,Quarterly + 7.5pp,quarterly,7.5,2025_spike_exclusion,cagr_excluding_2025_return_days,0.11753700286031266,2010-01-04,2026-05-18,,
quarterly_band_7p5pp,Quarterly + 7.5pp,quarterly,7.5,subperiod_2010_2017,cagr,0.0896255406894324,2010-01-01,2017-12-31,,
quarterly_band_7p5pp,Quarterly + 7.5pp,quarterly,7.5,subperiod_2010_2017,sharpe,0.9608022373421936,2010-01-01,2017-12-31,,
quarterly_band_7p5pp,Quarterly + 7.5pp,quarterly,7.5,subperiod_2010_2017,max_drawdown,-0.0707736571406059,2010-01-01,2017-12-31,,
quarterly_band_7p5pp,Quarterly + 7.5pp,quarterly,7.5,subperiod_2018_2026,cagr,0.15930587467495383,2018-01-01,2026-12-31,,
quarterly_band_7p5pp,Quarterly + 7.5pp,quarterly,7.5,subperiod_2018_2026,sharpe,1.192410729851852,2018-01-01,2026-12-31,,
quarterly_band_7p5pp,Quarterly + 7.5pp,quarterly,7.5,subperiod_2018_2026,max_drawdown,-0.16722959394253234,2018-01-01,2026-12-31,,
quarterly_band_10pp,Quarterly + 10pp,quarterly,10.0,2020_covid_daily_mdd,daily_mdd,-0.18355757607569056,2020-02-01,2020-04-30,2020-02-20,2020-03-20
quarterly_band_10pp,Quarterly + 10pp,quarterly,10.0,2022_krw_return,calendar_year_return,-0.16174209569251052,2022-01-01,2022-12-31,,
quarterly_band_10pp,Quarterly + 10pp,quarterly,10.0,2025_spike_exclusion,cagr_excluding_2025_return_days,0.11886609144288762,2010-01-04,2026-05-18,,
quarterly_band_10pp,Quarterly + 10pp,quarterly,10.0,subperiod_2010_2017,cagr,0.09085910373178407,2010-01-01,2017-12-31,,
quarterly_band_10pp,Quarterly + 10pp,quarterly,10.0,subperiod_2010_2017,sharpe,0.9331231687205661,2010-01-01,2017-12-31,,
quarterly_band_10pp,Quarterly + 10pp,quarterly,10.0,subperiod_2010_2017,max_drawdown,-0.0707736571406059,2010-01-01,2017-12-31,,
quarterly_band_10pp,Quarterly + 10pp,quarterly,10.0,subperiod_2018_2026,cagr,0.1631782273393294,2018-01-01,2026-12-31,,
quarterly_band_10pp,Quarterly + 10pp,quarterly,10.0,subperiod_2018_2026,sharpe,1.1795628517922914,2018-01-01,2026-12-31,,
quarterly_band_10pp,Quarterly + 10pp,quarterly,10.0,subperiod_2018_2026,max_drawdown,-0.18355757607569056,2018-01-01,2026-12-31,,
