portfolio,label,schedule,band_pp,date,event_type,pre_nav_krw,pre_check_max_component_abs_drift_pp,commission_krw,capital_gains_tax_krw
quarterly_band_0pp,Quarterly + 0pp,quarterly,0.0,2010-01-04,initial_allocation,100000000.0,30.0,250000.0,0.0
quarterly_band_0pp,Quarterly + 0pp,quarterly,0.0,2010-04-01,band_trigger_rebalance,100493225.75629929,0.5243590187268332,3245.1516538923793,0.0
quarterly_band_0pp,Quarterly + 0pp,quarterly,0.0,2010-07-01,band_trigger_rebalance,103881860.37604785,4.145548117927339,21364.95158982964,0.0
quarterly_band_0pp,Quarterly + 0pp,quarterly,0.0,2010-10-01,band_trigger_rebalance,105086586.8631807,1.4817543274501688,8553.862699239338,0.0
quarterly_band_0pp,Quarterly + 0pp,quarterly,0.0,2011-01-03,band_trigger_rebalance,109594471.46994808,2.7165548274402154,18864.814815804195,0.0
quarterly_band_0pp,Quarterly + 0pp,quarterly,0.0,2011-04-01,band_trigger_rebalance,109291397.83585002,0.8826855540300438,5026.436681908081,0.0
quarterly_band_0pp,Quarterly + 0pp,quarterly,0.0,2011-07-01,band_trigger_rebalance,109314696.51439731,0.3914404830736795,2864.397560532,0.0
quarterly_band_0pp,Quarterly + 0pp,quarterly,0.0,2011-10-03,band_trigger_rebalance,114040442.76176035,5.583402543212185,31650.277179966273,0.0
quarterly_band_0pp,Quarterly + 0pp,quarterly,0.0,2012-01-02,band_trigger_rebalance,119686639.87004718,2.1672492963975944,15884.605408926243,0.0
quarterly_band_0pp,Quarterly + 0pp,quarterly,0.0,2012-04-02,band_trigger_rebalance,126592065.36987205,2.8791016490526236,24276.559994280626,0.0
quarterly_band_0pp,Quarterly + 0pp,quarterly,0.0,2012-07-02,band_trigger_rebalance,127629988.71735184,1.8089069646751776,11379.719651689073,0.0
quarterly_band_0pp,Quarterly + 0pp,quarterly,0.0,2012-10-01,band_trigger_rebalance,129252266.03822064,0.9952907972450353,7150.01749802202,0.0
