variant,stress_window,measurement_type,portfolio_series,weights,start_date,end_date,n_observations,total_return,cagr,gross_sharpe,annualized_volatility,daily_max_drawdown,mdd_peak_date,mdd_trough_date,mdd_recovery_date,registered_weights,proxy_excluded_sleeves
J001-D,gfc_proxy_2008_2009,proxy_rescaled_missing_sleeves,J001-D,SPY:0.3183;QQQ:0.2305;IEF:0.3293;EWJ:0.1220,2008-01-02,2009-12-31,505,0.16801321784295897,0.08091929535997466,0.4143217233945464,0.28293613120045574,-0.17003660534441323,2008-10-08,2008-10-15,2008-10-28,SPY:0.2610;QQQ:0.1890;H001:0.1800;IEF:0.2700;EWJ:0.1000,H001
J001-D,covid_2020_02_2020_03,exact,J001-D,SPY:0.2610;QQQ:0.1890;H001:0.1800;IEF:0.2700;EWJ:0.1000,2020-02-03,2020-03-31,42,-0.08094748890964665,-0.4177779247863964,-1.5526993670649367,0.29783330354687104,-0.1653164852149327,2020-02-20,2020-03-19,,SPY:0.2610;QQQ:0.1890;H001:0.1800;IEF:0.2700;EWJ:0.1000,
J001-D,rate_shock_2022,exact,J001-D,SPY:0.2610;QQQ:0.1890;H001:0.1800;IEF:0.2700;EWJ:0.1000,2022-01-03,2022-12-30,260,-0.14469437216111325,-0.14626673427666947,-0.8618404941687611,0.16079006723771624,-0.148803773256457,2022-01-03,2022-12-28,,SPY:0.2610;QQQ:0.1890;H001:0.1800;IEF:0.2700;EWJ:0.1000,
J001-E,dot_com_proxy_2002_07_2003_12,proxy_rescaled_missing_sleeves,J001-E,SPY:0.3401;QQQ:0.2463;IEF:0.3519;EWY:0.0617,2002-07-30,2003-12-31,360,0.28314865483274754,0.191792648282622,1.1115653339959535,0.17002233250691465,-0.11644373087844762,2002-12-02,2003-01-30,2003-05-12,SPY:0.2755;QQQ:0.1995;H001:0.1900;IEF:0.2850;EWY:0.0500,H001
J001-E,gfc_proxy_2008_2009,proxy_rescaled_missing_sleeves,J001-E,SPY:0.3401;QQQ:0.2463;IEF:0.3519;EWY:0.0617,2008-01-02,2009-12-31,505,0.19057453543356906,0.09133035112317933,0.4516706929866482,0.2771101002840546,-0.16432934362371243,2008-10-08,2008-10-15,2008-10-28,SPY:0.2755;QQQ:0.1995;H001:0.1900;IEF:0.2850;EWY:0.0500,H001
J001-E,covid_2020_02_2020_03,exact,J001-E,SPY:0.2755;QQQ:0.1995;H001:0.1900;IEF:0.2850;EWY:0.0500,2020-02-03,2020-03-31,42,-0.08024805255880663,-0.41493277138393314,-1.492455076908258,0.30530715149489485,-0.17081045762303393,2020-02-20,2020-03-19,,SPY:0.2755;QQQ:0.1995;H001:0.1900;IEF:0.2850;EWY:0.0500,
J001-E,rate_shock_2022,exact,J001-E,SPY:0.2755;QQQ:0.1995;H001:0.1900;IEF:0.2850;EWY:0.0500,2022-01-03,2022-12-30,260,-0.14953235349435667,-0.15115251079406022,-0.9000450971790148,0.1601762433253058,-0.15300175944369176,2022-01-03,2022-12-28,,SPY:0.2755;QQQ:0.1995;H001:0.1900;IEF:0.2850;EWY:0.0500,
J001-F,dot_com_proxy_2002_07_2003_12,proxy_rescaled_missing_sleeves,J001-F,SPY:0.3183;QQQ:0.2305;IEF:0.3293;EWY:0.1220,2002-07-30,2003-12-31,360,0.28173177831466534,0.19086635255864293,1.0863373231137972,0.1738650671590975,-0.12372933001348863,2002-12-02,2003-01-30,2003-05-27,SPY:0.2610;QQQ:0.1890;H001:0.1800;IEF:0.2700;EWY:0.1000,H001
J001-F,gfc_proxy_2008_2009,proxy_rescaled_missing_sleeves,J001-F,SPY:0.3183;QQQ:0.2305;IEF:0.3293;EWY:0.1220,2008-01-02,2009-12-31,505,0.18034252659434946,0.08662103935416199,0.4342599033955101,0.2800322316091728,-0.15950774202522544,2008-10-08,2008-10-15,2008-10-28,SPY:0.2610;QQQ:0.1890;H001:0.1800;IEF:0.2700;EWY:0.1000,H001
J001-F,covid_2020_02_2020_03,exact,J001-F,SPY:0.2610;QQQ:0.1890;H001:0.1800;IEF:0.2700;EWY:0.1000,2020-02-03,2020-03-31,42,-0.08527950488008296,-0.4351408010101727,-1.5013530952246146,0.3219373932752208,-0.17828798389767686,2020-02-19,2020-03-19,,SPY:0.2610;QQQ:0.1890;H001:0.1800;IEF:0.2700;EWY:0.1000,
J001-F,rate_shock_2022,exact,J001-F,SPY:0.2610;QQQ:0.1890;H001:0.1800;IEF:0.2700;EWY:0.1000,2022-01-03,2022-12-30,260,-0.15272706433456695,-0.15437860343570398,-0.9108473096845892,0.16196422033371283,-0.15556671014500711,2022-01-03,2022-12-28,,SPY:0.2610;QQQ:0.1890;H001:0.1800;IEF:0.2700;EWY:0.1000,
