overall_rank,variant,return_score_pp,mdd_score_pp,stress_count,return_improved_count,mdd_improved_count,return_worsened_count,mdd_worsened_count,balanced_score_pp,family
1,N002-B,-0.4494408793499105,1.6215235523716816,4,2,4,2,0,0.5860413365108855,N002
2,N001-B,1.824414796893148,0.714919523893956,4,3,2,0,1,1.2696671603935519,N001
3,K001-B,-0.19010333453658157,0.6044882813201452,4,2,4,2,0,0.20719247339178182,K001
4,J001-D,-1.057279923829979,0.04339361768135874,4,1,2,3,2,-0.5069431530743101,J001
5,J001-C,-0.5318885451662675,0.021800768629473555,4,1,2,3,2,-0.25504388826839697,J001
6,J001-A,-0.2332020574576127,-0.11256009405978817,4,1,1,2,2,-0.17288107575870043,J001
7,J001-B,-0.4820420552303917,-0.2260502188092789,4,1,1,2,2,-0.3540461370198353,J001
8,J001-E,-0.47353278978680136,-0.2977098860171029,4,0,1,4,3,-0.38562133790195213,J001
9,J001-F,-0.9704090027565115,-0.6103717488299104,4,0,1,4,3,-0.7903903757932109,J001
