variant,stress_window,measurement_type,total_return,baseline_total_return,delta_total_return,delta_return_pp,daily_max_drawdown,baseline_daily_max_drawdown,delta_daily_max_drawdown,delta_mdd_pp,proxy_excluded_sleeves
J001-A,dot_com_proxy_2002_07_2003_12,proxy_rescaled_missing_sleeves,0.2841366743265432,0.28413667432654344,-2.220446049250313e-16,-2.220446049250313e-14,-0.10890239353547293,-0.10890239353547293,0.0,0.0,H001;VWO
J001-A,gfc_proxy_2008_2009,proxy_rescaled_missing_sleeves,0.19594150856072723,0.2004237740934991,-0.0044822655327718675,-0.44822655327718675,-0.1702216452391806,-0.16916305005760346,-0.0010585951815771377,-0.10585951815771377,H001
J001-A,covid_2020_02_2020_03,exact,-0.08060745489777488,-0.07525460211309709,-0.005352852784677786,-0.5352852784677786,-0.1682787264581429,-0.1640771572257288,-0.004201569232414104,-0.4201569232414104,
J001-A,rate_shock_2022,exact,-0.14591471448317472,-0.1464217505023201,0.0005070360191453682,0.05070360191453682,-0.14977653465779672,-0.15053429530939644,0.0007577606515997148,0.07577606515997148,
J001-B,dot_com_proxy_2002_07_2003_12,proxy_rescaled_missing_sleeves,0.2841366743265439,0.28413667432654344,4.440892098500626e-16,4.440892098500626e-14,-0.10890239353547271,-0.10890239353547293,2.220446049250313e-16,2.220446049250313e-14,H001;VWO
J001-B,gfc_proxy_2008_2009,proxy_rescaled_missing_sleeves,0.19088096355744422,0.2004237740934991,-0.00954281053605488,-0.954281053605488,-0.17127384857138894,-0.16916305005760346,-0.0021107985137854834,-0.21107985137854834,H001
J001-B,covid_2020_02_2020_03,exact,-0.08599599529745006,-0.07525460211309709,-0.010741393184352965,-1.0741393184352965,-0.17251188763261405,-0.1640771572257288,-0.008434730406885249,-0.8434730406885249,
J001-B,rate_shock_2022,exact,-0.14541922899112836,-0.1464217505023201,0.001002521511191734,0.1002521511191734,-0.14903077514109708,-0.15053429530939644,0.0015035201682993549,0.1503520168299355,
J001-C,dot_com_proxy_2002_07_2003_12,proxy_rescaled_missing_sleeves,0.2812550941404499,0.28413667432654344,-0.002881580186093524,-0.2881580186093524,-0.10784271863479844,-0.10890239353547293,0.0010596749006744899,0.10596749006744899,H001
J001-C,gfc_proxy_2008_2009,proxy_rescaled_missing_sleeves,0.18400324666792756,0.2004237740934991,-0.01642052742557154,-1.642052742557154,-0.1696031366315004,-0.16916305005760346,-0.0004400865738969362,-0.04400865738969362,H001
J001-C,covid_2020_02_2020_03,exact,-0.07809591930520665,-0.07525460211309709,-0.0028413171921095604,-0.28413171921095604,-0.16469416121625713,-0.1640771572257288,-0.0006170039905283309,-0.06170039905283309,
J001-C,rate_shock_2022,exact,-0.14555386750519617,-0.1464217505023201,0.0008678829971239255,0.08678829971239255,-0.14966484890046672,-0.15053429530939644,0.0008694464089297194,0.08694464089297194,
J001-D,dot_com_proxy_2002_07_2003_12,proxy_rescaled_missing_sleeves,0.2782215420792271,0.28413667432654344,-0.005915132247316324,-0.5915132247316324,-0.10678428760514436,-0.10890239353547293,0.002118105930328573,0.21181059303285732,H001
J001-D,gfc_proxy_2008_2009,proxy_rescaled_missing_sleeves,0.16801321784295897,0.2004237740934991,-0.03241055625054012,-3.2410556250540123,-0.17003660534441323,-0.16916305005760346,-0.0008735552868097685,-0.08735552868097685,H001
J001-D,covid_2020_02_2020_03,exact,-0.08094748890964665,-0.07525460211309709,-0.005692886796549557,-0.5692886796549557,-0.1653164852149327,-0.1640771572257288,-0.0012393279892038978,-0.12393279892038978,
J001-D,rate_shock_2022,exact,-0.14469437216111325,-0.1464217505023201,0.0017273783412068422,0.17273783412068422,-0.148803773256457,-0.15053429530939644,0.0017305220529394427,0.17305220529394427,
J001-E,dot_com_proxy_2002_07_2003_12,proxy_rescaled_missing_sleeves,0.28314865483274754,0.28413667432654344,-0.0009880194937958997,-0.09880194937958997,-0.11644373087844762,-0.10890239353547293,-0.0075413373429746855,-0.7541337342974685,H001
J001-E,gfc_proxy_2008_2009,proxy_rescaled_missing_sleeves,0.19057453543356906,0.2004237740934991,-0.009849238659930037,-0.9849238659930037,-0.16432934362371243,-0.16916305005760346,0.004833706433891027,0.48337064338910274,H001
J001-E,covid_2020_02_2020_03,exact,-0.08024805255880663,-0.07525460211309709,-0.004993450445709535,-0.4993450445709535,-0.17081045762303393,-0.1640771572257288,-0.006733300397305131,-0.6733300397305131,
J001-E,rate_shock_2022,exact,-0.14953235349435667,-0.1464217505023201,-0.003110602992036582,-0.3110602992036582,-0.15300175944369176,-0.15053429530939644,-0.0024674641342953274,-0.24674641342953274,
J001-F,dot_com_proxy_2002_07_2003_12,proxy_rescaled_missing_sleeves,0.28173177831466534,0.28413667432654344,-0.0024048960118780993,-0.24048960118780993,-0.12372933001348863,-0.10890239353547293,-0.014826936478015695,-1.4826936478015695,H001
J001-F,gfc_proxy_2008_2009,proxy_rescaled_missing_sleeves,0.18034252659434946,0.2004237740934991,-0.020081247499149635,-2.0081247499149635,-0.15950774202522544,-0.16916305005760346,0.009655308032378018,0.9655308032378018,H001
J001-F,covid_2020_02_2020_03,exact,-0.08527950488008296,-0.07525460211309709,-0.010024902766985866,-1.0024902766985866,-0.17828798389767686,-0.1640771572257288,-0.014210826671948062,-1.4210826671948062,
J001-F,rate_shock_2022,exact,-0.15272706433456695,-0.1464217505023201,-0.006305313832246862,-0.6305313832246862,-0.15556671014500711,-0.15053429530939644,-0.005032414835610677,-0.5032414835610677,
