variant,comparator,stress_window,measurement_type,total_return,comparator_total_return,delta_return_vs_comparator_pp,daily_max_drawdown,comparator_daily_max_drawdown,delta_mdd_vs_comparator_pp,proxy_excluded_sleeves
J001-A,N001-B,dot_com_proxy_2002_07_2003_12,proxy_rescaled_missing_sleeves,0.2841366743265432,0.2841366743265439,-6.661338147750939e-14,-0.10890239353547293,-0.10890239353547271,-2.220446049250313e-14,H001;VWO
J001-A,N001-B,gfc_proxy_2008_2009,proxy_rescaled_missing_sleeves,0.19594150856072723,0.24381291693307006,-4.787140837234283,-0.1702216452391806,-0.1714163485257817,0.11947032866010954,H001
J001-A,N001-B,covid_2020_02_2020_03,exact,-0.08060745489777488,-0.06576479304718141,-1.4842661850593464,-0.1682787264581429,-0.15326423293053493,-1.5014493527607975,
J001-A,N001-B,rate_shock_2022,exact,-0.14591471448317472,-0.12632411053208126,-1.9590603951093466,-0.14977653465779672,-0.13049714018065406,-1.9279394477142664,
J001-B,N001-B,dot_com_proxy_2002_07_2003_12,proxy_rescaled_missing_sleeves,0.2841366743265439,0.2841366743265439,0.0,-0.10890239353547271,-0.10890239353547271,0.0,H001;VWO
J001-B,N001-B,gfc_proxy_2008_2009,proxy_rescaled_missing_sleeves,0.19088096355744422,0.24381291693307006,-5.293195337562584,-0.17127384857138894,-0.1714163485257817,0.014249995439274965,H001
J001-B,N001-B,covid_2020_02_2020_03,exact,-0.08599599529745006,-0.06576479304718141,-2.0231202250268643,-0.17251188763261405,-0.15326423293053493,-1.924765470207912,
J001-B,N001-B,rate_shock_2022,exact,-0.14541922899112836,-0.12632411053208126,-1.90951184590471,-0.14903077514109708,-0.13049714018065406,-1.8533634960443024,
J001-C,N001-B,dot_com_proxy_2002_07_2003_12,proxy_rescaled_missing_sleeves,0.2812550941404499,0.2841366743265439,-0.2881580186093968,-0.10784271863479844,-0.10890239353547271,0.10596749006742678,H001
J001-C,N001-B,gfc_proxy_2008_2009,proxy_rescaled_missing_sleeves,0.18400324666792756,0.24381291693307006,-5.98096702651425,-0.1696031366315004,-0.1714163485257817,0.1813211894281297,H001
J001-C,N001-B,covid_2020_02_2020_03,exact,-0.07809591930520665,-0.06576479304718141,-1.2331126258025238,-0.16469416121625713,-0.15326423293053493,-1.1429928285722202,
J001-C,N001-B,rate_shock_2022,exact,-0.14555386750519617,-0.12632411053208126,-1.9229756973114909,-0.14966484890046672,-0.13049714018065406,-1.916770871981266,
J001-D,N001-B,dot_com_proxy_2002_07_2003_12,proxy_rescaled_missing_sleeves,0.2782215420792271,0.2841366743265439,-0.5915132247316768,-0.10678428760514436,-0.10890239353547271,0.21181059303283511,H001
J001-D,N001-B,gfc_proxy_2008_2009,proxy_rescaled_missing_sleeves,0.16801321784295897,0.24381291693307006,-7.579969909011108,-0.17003660534441323,-0.1714163485257817,0.13797431813684646,H001
J001-D,N001-B,covid_2020_02_2020_03,exact,-0.08094748890964665,-0.06576479304718141,-1.5182695862465234,-0.1653164852149327,-0.15326423293053493,-1.2052252284397769,
J001-D,N001-B,rate_shock_2022,exact,-0.14469437216111325,-0.12632411053208126,-1.8370261629031992,-0.148803773256457,-0.13049714018065406,-1.8306633075802936,
J001-E,N001-B,dot_com_proxy_2002_07_2003_12,proxy_rescaled_missing_sleeves,0.28314865483274754,0.2841366743265439,-0.09880194937963438,-0.11644373087844762,-0.10890239353547271,-0.7541337342974908,H001
