date,QQQ_buy_hold,SPY_buy_hold,IEF_buy_hold,SPY50_QQQ50,SPY40_QQQ30_IEF30_P08_IEF30_PROXY
1993-01-29,,1.0,,,
1993-02-01,,1.0071118739861327,,,
1993-02-02,,1.0092464933929441,,,
1993-02-03,,1.0199151722318962,,,
1993-02-04,,1.0241825964296722,,,
1993-02-05,,1.0234707147432567,,,
1993-02-08,,1.0234707147432567,,,
1993-02-09,,1.0163590774461475,,,
1993-02-10,,1.017781657373861,,,
1993-02-11,,1.0227600953983,,,
1993-02-12,,1.0149364186220926,,,
1993-02-16,,0.989331321161048,,,
1993-02-17,,0.9886203073343853,,,
1993-02-18,,0.9879092935077226,,,
1993-02-19,,0.9914649149154242,,,
1993-02-22,,0.995021877560926,,,
1993-02-23,,0.9943105481488985,,,
1993-02-24,,1.0071118739861327,,,
1993-02-25,,1.0092464933929441,,,
1993-02-26,,1.010669152216999,,,
1993-03-01,,1.0078237556725482,,,
1993-03-02,,1.0227600953983,,,
1993-03-03,,1.0270272040107111,,,
1993-03-04,,1.0213372787815629,,,
1993-03-05,,1.018493223474912,,,
1993-03-08,,1.0412522932207766,,,
1993-03-09,,1.037696198435028,,,
1993-03-10,,1.039829634396722,,,
1993-03-11,,1.0369844745412946,,,
1993-03-12,,1.0263156379096603,,,
1993-03-15,,1.0312945493121461,,,
1993-03-16,,1.0312945493121461,,,
1993-03-17,,1.0248934524636526,,,
1993-03-18,,1.0312945493121461,,,
1993-03-19,,1.0297338218910363,,,
1993-03-22,,1.0240170719058885,,,
1993-03-23,,1.026161158873641,,,
1993-03-24,,1.026161158873641,,,
1993-03-25,,1.0325925519171455,,,
1993-03-26,,1.0268759597246804,,,
1993-03-29,,1.0311628713187264,,,
1993-03-30,,1.0340215224484943,,,
1993-03-31,,1.0333068004937964,,,
1993-04-01,,1.0297338218910363,,,
1993-04-02,,1.008296739237888,,,
1993-04-05,,1.0132984516829733,,,
1993-04-06,,1.0104398005532054,,,
1993-04-07,,1.0140128580523065,,,
1993-04-08,,1.0125834930392519,,,
1993-04-12,,1.0268759597246804,,,
1993-04-13,,1.029019731107068,,,
1993-04-14,,1.027590287197672,,,
1993-04-15,,1.027590287197672,,,
1993-04-16,,1.027590287197672,,,
1993-04-19,,1.0233032178109438,,,
1993-04-20,,1.0183004797134232,,,
1993-04-21,,1.0175863889294547,,,
1993-04-22,,1.0047227349826928,,,
1993-04-23,,1.0004357444923055,,,
1993-04-26,,0.9925749864357467,,,
1993-04-27,,1.0032943956220737,,,
1993-04-28,,1.0011495196909095,,,
1993-04-29,,1.0054376147300732,,,
1993-04-30,,1.00686713753581,,,
1993-05-03,,1.0132984516829733,,,
1993-05-04,,1.0168715091820746,,,
1993-05-05,,1.0197297658301367,,,
1993-05-06,,1.016156866123718,,,
1993-05-07,,1.0140128580523065,,,
1993-05-10,,1.016156866123718,,,
1993-05-11,,1.02044417219947,,,
1993-05-12,,1.0190152805644623,,,
1993-05-13,,1.00686713753581,,,
1993-05-14,,1.0061524155811121,,,
1993-05-17,,1.0097253941838724,,,
1993-05-18,,1.0090109089181978,,,
1993-05-19,,1.0297338218910363,,,
1993-05-20,,1.0325925519171455,,,
1993-05-21,,1.0233032178109438,,,
1993-05-24,,1.027590287197672,,,
1993-05-25,,1.0297338218910363,,,
1993-05-26,,1.0425972391487748,,,
1993-05-27,,1.0390244183386972,,,
1993-05-28,,1.0340215224484943,,,
