period,start,end,v1_net_total_return,v1_cost_0_total_return,v1_annualized_return,v1_cost_0_annualized_return,v1_max_drawdown,v1_cost_0_max_drawdown,v1_trade_count,v1_cost_0_trade_count
2010-2017,2010-01-04,2017-12-31,,,,,,,0,0
2018-2026,2018-01-01,2026-05-04,0.7484247679033653,0.8054510652908617,0.11374114145695469,0.12065457608202879,-0.33368186647060516,-0.3249118089570775,50,50
