signal_date,sector_rank,sector_code,sector_name,flow_score,rs_score,breadth_score,combined_score,n_holdings,tickers
2010-03-31,1,01,반도체/IT하드웨어,1.4263304701967712,0.1893595730732676,2.119653014395634,1.2451143525552242,0,
2010-03-31,2,05,조선/기계/산업재,-0.7891643933865079,2.0293683628035253,1.0786767219885525,0.7729602304685234,0,
2010-03-31,3,02,자동차/운송장비,0.6416001713949019,0.9467131397564076,0.47600623691076827,0.6881065160206926,0,
2010-03-31,4,08,인터넷/게임/SW,2.1371091332901067,0.12081510973326869,-0.4279994907059078,0.6099749174391559,0,
2010-03-31,5,10,음식료,-0.23528057764836,-0.03201088777961726,0.47600623691076827,0.06957159049426366,0,
2010-06-30,1,09,소비재/유통,2.81577982554505,-0.026508668914250372,0.7014672420978895,1.1635794662428964,0,
2010-06-30,2,05,조선/기계/산업재,-0.19152438412602021,1.5863468241969938,0.9719826424916174,0.7889350275208636,0,
2010-06-30,3,12,건설/부동산,-0.6057020835403322,-0.013636611125879588,1.9187865438696645,0.4331492830678176,0,
2010-06-30,4,03,2차전지/화학/소재,-0.061935509173008274,1.621998987862737,-0.27238819931953057,0.4292250931233994,0,
2010-06-30,5,02,자동차/운송장비,-0.5754635661543147,1.023388740396679,-0.11007895908329393,0.11261540505302348,0,
2010-09-30,1,02,자동차/운송장비,1.0185823113902408,0.9010404235053289,1.8558676307008037,1.2584967885321243,0,
2010-09-30,2,10,음식료,2.063197294463327,-0.1635845200672542,0.5926986841408012,0.8307704861789579,0,
2010-09-30,3,12,건설/부동산,0.09112379756524024,0.7834615005172109,1.0979662627648021,0.6575171869490845,0,
2010-09-30,4,09,소비재/유통,-0.10226725384630891,1.1277482330752444,0.0874311055168003,0.3709706949152452,0,
2010-09-30,5,03,2차전지/화학/소재,0.2281822307242052,0.7222862954168239,-0.03888578913920005,0.303860912333943,0,
2010-12-30,1,02,자동차/운송장비,0.7636863277653468,1.2949092924856598,0.4165916440813934,0.8250624214441333,0,
2010-12-30,2,03,2차전지/화학/소재,0.6679116652869982,1.024047216374514,0.6369208293156539,0.7762932369923887,0,
2010-12-30,3,06,금융,0.3660282364770937,0.7337529071728102,0.5708220737453755,0.5568677391317598,0,
2010-12-30,4,01,반도체/IT하드웨어,0.468125631615128,1.1456026846993246,-0.35456050423851737,0.4197226040253117,0,
2010-12-30,5,09,소비재/유통,-0.11552481215169133,-0.2710209734809584,1.2979083850184343,0.30378753312859486,0,
