threshold,hypothesis,description,value,threshold_value,passes
-0.3,H1,Threshold 0.0 reproduces D009 Sharpe 0.4144,0.3740767236395032,0.4144,
-0.3,H7,Threshold Sharpe is at least 0.40 for plateau count,0.3740767236395032,0.4,False
-0.3,H8,"ON share, trade count, max DD, and subperiod returns are descriptive checks",0.4426229508196721,,
