date,actual_count,match_tv,match_mc
2018-06-01,100,100,58
2020-06-01,100,100,61
2020-09-01,100,100,51
2020-12-01,100,100,61
2021-06-01,100,100,61
2021-09-01,100,100,59
2021-12-01,100,100,66
2022-09-01,100,100,64
2022-12-01,100,100,59
2023-06-01,100,100,64
2023-09-01,100,100,63
2023-12-01,100,100,63
