year,flow_bucket,ticker,date,panel_foreign,panel_institution,panel_trading_value,year_month,krx_foreign,krx_institution,foreign_diff_pct,institution_diff_pct,foreign_sign_match,institution_sign_match,foreign_within_5pct,institution_within_5pct
2025,10억-100억,079900,2025-04-18,-999091500.0,178799100.0,9480769275.0,2025-04,-988051700,176018875,-0.011173301963854725,0.01579503902635442,True,True,True,True
2018,1억-10억,081000,2018-11-20,-205343200.0,74581600.0,1961043650.0,2018-11,-205496850,74148500,0.0007477000255721681,0.005840981274064883,True,True,True,True
2024,<1억,081000,2024-07-09,-16345200.0,-620100.0,408690040.0,2024-07,-16884840,-618860,0.031960030417818586,-0.002003684193517112,True,True,True,True
2019,100억-1000억,081660,2019-01-28,7126305600.0,-3444463200.0,18918661856.0,2019-01,7060752656,-3390398906,0.00928412977960575,-0.01594629289914005,True,True,True,True
2019,100억-1000억,081660,2019-03-14,5581872000.0,-7146792000.0,40924894662.0,2019-03,5572010200,-7161733800,0.0017698819000726165,0.002086338366835137,True,True,True,True
2021,100억-1000억,081660,2021-03-09,-8058666000.0,4911480000.0,22633270400.0,2021-03,-8169783050,4989926400,0.01360097928181826,-0.015720953319070998,True,True,True,True
2021,10억-100억,081660,2021-04-05,38677900.0,-3018680050.0,9059312950.0,2021-04,37482950,-3015965250,0.03187982802847695,-0.0009001429973372538,True,True,True,True
2024,1억-10억,084680,2024-05-29,-348724972.0,2473536.0,967248485.0,2024-05,-348752572,2478575,7.913920130171828e-05,-0.0020330230071714593,True,True,True,True
2022,<1억,085310,2022-12-20,-18731568.0,-1371648.0,112485888.0,2022-12,-18771609,-1367645,0.002133061689064587,-0.00292692913731268,True,True,True,True
2026,1억-10억,085310,2026-04-01,168730653.0,114138.0,385844744.0,2026-04,167656251,114138,0.006408362310332229,0.0,True,True,True,True
2025,1억-10억,085620,2025-09-24,-167040280.0,63112610.0,991799260.0,2025-09,-165675345,62411280,-0.00823861269158667,0.011237231474823141,True,True,True,True
2026,1억-10억,085620,2026-04-01,270703140.0,-137762920.0,3893767245.0,2026-04,281105470,-137621175,-0.03700507855645783,-0.001029965047166615,True,True,True,True
2020,100억-1000억,086280,2020-12-07,7170723000.0,3987841500.0,81945558000.0,2020-12,6759610500,4046956500,0.060818962867756954,-0.01460727339174513,True,True,False,True
2022,10억-100억,086280,2022-06-09,5933750000.0,-3458442000.0,30455989500.0,2022-06,5799518500,-3305778500,0.023145283526554834,-0.046180801284780575,True,True,True,True
2022,100억-1000억,086280,2022-07-28,-1729910000.0,-8448440000.0,31045724000.0,2022-07,-1737457500,-8464299000,0.004343991147984914,0.0018736341899075163,True,True,True,True
2022,10억-100억,086280,2022-12-26,-34128500.0,2472344000.0,7442075000.0,2022-12,-32757500,2473630500,-0.041853010760894455,-0.0005200857605855037,True,True,True,True
2026,100억-1000억,086280,2026-03-09,16486708500.0,-8322289500.0,61923108750.0,2026-03,16271801250,-8171067250,0.0132073423647551,-0.018507037743447773,True,True,True,True
2026,10억-100억,086280,2026-04-21,-1269539500.0,130760000.0,35656933000.0,2026-04,-1260076250,133904000,-0.007510061395094146,-0.02347950770701398,True,True,True,True
2018,100억-1000억,086790,2018-03-07,-10548371500.0,-8545003800.0,64214149400.0,2018-03,-10614039050,-8531798650,0.00618685777305483,-0.0015477568730481,True,True,True,True
2019,100억-1000억,086790,2019-11-11,7445301000.0,-6233352900.0,26479440800.0,2019-11,7446887650,-6232475750,-0.00021306216429893367,-0.00014073861418554255,True,True,True,True
2020,100억-1000억,086790,2020-09-03,-20233362600.0,-1606451550.0,52575407850.0,2020-09,-20367868600,-1640640850,0.006603832862511692,0.02083899105645212,True,True,True,True
2018,10억-100억,088350,2018-10-24,233486990.0,1642421550.0,4608549800.0,2018-10,230515740,1632987710,0.012889575349605194,0.005777042865803319,True,True,True,True
2019,1억-10억,088350,2019-05-21,539581200.0,-382197760.0,3820173715.0,2019-05,538650275,-380708380,0.0017282549424113818,-0.003912128227910297,True,True,True,True
2020,1억-10억,088350,2020-09-11,470671870.0,-141866770.0,6152413800.0,2020-09,464494080,-141343240,0.013300040336359077,-0.0037039620713378296,True,True,True,True
2026,100억-1000억,088350,2026-02-24,-11396328440.0,-9501057160.0,196343245740.0,2026-02,-11606682070,-9551759740,0.018123493753973395,0.0053081925613845055,True,True,True,True
2020,<1억,088790,2020-09-11,-9218160.0,18898290.0,141852380.0,2020-09,-9183855,18956510,-0.0037353594977272615,-0.0030712404340250393,True,True,True,True
2024,1억-10억,089860,2024-10-23,212168100.0,-58520100.0,1389479050.0,2024-10,211807700,-57616350,0.0017015434283078471,-0.01568565172906649,True,True,True,True
2025,<1억,090350,2025-01-24,-34648140.0,1577340.0,193843960.0,2025-01,-34658360,1576920,0.00029487834969686965,0.0002663419831063085,True,True,True,True
2019,100억-1000억,090430,2019-10-08,-1396200000.0,11228400000.0,51427955000.0,2019-10,-1440878500,11308286000,0.0310078191880856,-0.007064377395477971,True,True,True,True
2020,100억-1000억,090430,2020-01-09,-9354288000.0,-2552904000.0,59013145500.0,2020-01,-9412861000,-2636480500,0.006222656427201039,0.03170002584885418,True,True,True,True
2022,>1000억,090430,2022-04-28,76467910000.0,43539690000.0,274661715500.0,2022-04,75620228000,43094335000,0.01120972552476303,0.01033442098596022,True,True,True,True
2024,100억-1000억,090430,2024-11-29,-15343971000.0,-4437982200.0,38781818900.0,2024-11,-15547543100,-4488485800,0.013093522152705915,0.011251812359526681,True,True,True,True
2023,10억-100억,090460,2023-08-21,-816885300.0,-809054400.0,5527638350.0,2023-08,-824011500,-815194850,0.008648180274183067,0.007532493611803362,True,True,True,True
2019,<1억,091090,2019-04-01,-18965370.0,12570395.0,1271887210.0,2019-04,-21416560,12429985,0.11445302140026223,0.011296071555999465,True,True,False,True
2026,1억-10억,091810,2026-01-15,314823296.0,92214752.0,1621110464.0,2026-01,317425297,92464744,-0.008197207420428121,-0.0027036467001952656,True,True,True,True
2026,10억-100억,091810,2026-02-10,977790660.0,344431780.0,3619134384.0,2026-02,931501357,342585779,0.049693221219859154,0.005388434410174393,True,True,True,True
2018,<1억,092200,2018-11-26,-15298980.0,-25571880.0,283400140.0,2018-11,-15559590,-25316360,0.016749155986758007,-0.010093078151835414,True,True,True,True
2019,1억-10억,092200,2019-05-03,-33118560.0,100702920.0,587719470.0,2019-05,-33291380,100761720,0.005191133560699496,-0.0005835549452708826,True,True,True,True
2020,<1억,092200,2020-04-24,-30411300.0,33375.0,88965500.0,2020-04,-30525310,33400,0.003734933404443722,-0.0007485029940119761,True,True,True,True
2023,1억-10억,092200,2023-06-28,250293780.0,-41922980.0,9980749280.0,2023-06,253839470,-41802180,-0.013968237484895474,-0.0028898014409774802,True,True,True,True
