date,mismatch_type,ticker,tv_rank,trade_value,name
2018-01-02,in_actual_not_tv_top100,241560,101,10103756050.0,두산밥캣
2018-01-02,in_tv_top100_not_actual,068270,2,264647210100.0,셀트리온
2018-01-03,in_actual_not_tv_top100,069960,101,10996699500.0,현대백화점
2018-01-03,in_tv_top100_not_actual,068270,1,576012526000.0,셀트리온
2018-01-04,in_actual_not_tv_top100,006650,101,13754553500.0,대한유화
2018-01-04,in_tv_top100_not_actual,068270,1,827188205000.0,셀트리온
2018-01-05,in_actual_not_tv_top100,114090,101,12666150850.0,GKL
2018-01-05,in_tv_top100_not_actual,068270,1,500762477000.0,셀트리온
2018-01-08,in_actual_not_tv_top100,079550,101,12185416700.0,LIG넥스원
2018-01-08,in_tv_top100_not_actual,068270,1,1261793839000.0,셀트리온
2018-01-09,in_actual_not_tv_top100,012610,101,13233098410.0,경인양행
2018-01-09,in_tv_top100_not_actual,068270,1,1552895820500.0,셀트리온
2018-01-10,in_actual_not_tv_top100,005830,101,16217436100.0,DB손해보험
2018-01-10,in_tv_top100_not_actual,068270,1,1038798919100.0,셀트리온
2018-01-11,in_actual_not_tv_top100,000210,101,14122239000.0,대림산업
2018-01-11,in_tv_top100_not_actual,068270,2,533021645400.0,셀트리온
2018-01-12,in_actual_not_tv_top100,001060,101,16228869950.0,JW중외제약
2018-01-12,in_tv_top100_not_actual,068270,1,1957180942600.0,셀트리온
2018-01-15,in_actual_not_tv_top100,010950,101,14419150500.0,S-Oil
2018-01-15,in_tv_top100_not_actual,068270,1,1056694949300.0,셀트리온
2018-01-16,in_actual_not_tv_top100,032640,101,14428437950.0,LG유플러스
2018-01-16,in_tv_top100_not_actual,068270,2,564524580100.0,셀트리온
2018-01-17,in_actual_not_tv_top100,010130,101,14191522000.0,고려아연
2018-01-17,in_tv_top100_not_actual,068270,1,1139134940500.0,셀트리온
2018-01-18,in_actual_not_tv_top100,001510,101,12516837030.0,SK증권
2018-01-18,in_tv_top100_not_actual,068270,2,617152773200.0,셀트리온
2018-01-19,in_actual_not_tv_top100,008930,101,12881255500.0,한미사이언스
2018-01-19,in_tv_top100_not_actual,068270,1,1121993070900.0,셀트리온
2018-01-22,in_actual_not_tv_top100,036460,101,12680563350.0,한국가스공사
2018-01-22,in_tv_top100_not_actual,068270,1,778959362800.0,셀트리온
2018-01-23,in_actual_not_tv_top100,002790,101,13950927000.0,아모레G
