date,nav,n_positions
2012-05-07,1.0,30
2012-05-08,0.994275779810936,30
2012-05-09,0.9866455943443211,30
2012-05-10,0.9894923944929441,30
2012-05-11,0.9942436964871333,30
2012-05-14,0.9858675934742847,30
2012-05-15,0.9834341776277372,30
2012-05-16,0.9772742295172864,30
2012-05-17,0.9631563715026494,30
2012-05-18,0.9555570705166365,30
2012-05-21,0.9713187838240226,30
2012-05-22,0.9699597629183258,30
2012-05-23,0.9719680356322605,30
2012-05-24,0.9751664076484828,30
2012-05-25,0.972671552352097,30
2012-05-29,0.9830913585085036,30
2012-05-30,0.970570483896021,30
2012-05-31,0.9672534890868485,30
2012-06-01,0.9447621543083663,30
2012-06-04,0.9489737935385599,30
2012-06-05,0.9515887117578384,30
2012-06-06,0.9716380919150488,30
2012-06-07,0.9715702829943534,30
2012-06-08,0.9788552831219776,30
2012-06-11,0.9681459459780335,30
2012-06-12,0.9773854422429461,30
2012-06-13,0.9688681666261677,30
2012-06-14,0.9796968407843036,30
2012-06-15,0.9906961873361806,30
2012-06-18,0.9956082037434473,30
2012-06-19,1.005700249339213,30
2012-06-20,1.001913009859076,30
2012-06-21,0.9838090630601956,30
2012-06-22,0.9933308292421679,30
2012-06-25,0.9782532401618123,30
2012-06-26,0.9842727403426295,30
2012-06-27,0.9911872330226692,30
2012-06-28,0.9868649114331562,30
2012-06-29,1.0043459304572668,30
2012-07-02,1.0031657255085953,30
2012-07-03,1.0080902270282084,30
2012-07-05,1.010369809752167,30
2012-07-06,1.0017406221931247,30
2012-07-09,1.00312988264297,30
2012-07-10,0.9950859173848668,30
2012-07-11,0.9931875145782335,30
2012-07-12,0.9896209622560705,30
2012-07-13,1.0042020040004975,30
2012-07-16,1.0020697496285986,30
2012-07-17,1.0086254545105924,30
2012-07-18,1.0162832673451694,30
2012-07-19,1.0162493539050887,30
2012-07-20,1.0042331738355537,30
2012-07-23,0.9917513382905274,30
2012-07-24,0.9843376028681259,30
2012-07-25,0.9721272808048254,30
2012-07-26,0.9857015994858982,30
2012-07-27,1.0044054385155285,30
2012-07-30,1.0024027543932341,30
2012-07-31,0.9937920582004097,30
2012-08-01,0.9900774386894388,30
2012-08-02,0.9825279169699122,30
2012-08-03,0.9985386717392855,30
2012-08-06,1.0005277647691329,30
2012-08-07,1.0069718704241455,30
2012-08-08,1.0082177252649709,30
2012-08-09,1.0062891561553549,30
2012-08-10,1.0111885340426578,30
2012-08-13,1.0083165219979249,30
2012-08-14,1.011493632438641,30
2012-08-15,1.0124660600902802,30
2012-08-16,1.0179805234509218,30
2012-08-17,1.0164782407829118,30
2012-08-20,1.0163824271651445,30
2012-08-21,1.0131508337192239,30
2012-08-22,1.01333922182812,30
2012-08-23,1.0072453101544785,30
2012-08-24,1.0132879346898223,30
2012-08-27,1.0113351312021084,30
2012-08-28,1.0106144160942594,30
2012-08-29,1.0141301409842245,30
2012-08-30,1.0063296150228893,30
2012-08-31,1.0102860433577605,30
2012-09-04,1.006387419088551,30
2012-09-05,1.004638189360907,30
2012-09-06,1.0228658234994696,30
2012-09-07,1.0207059832619114,30
2012-09-10,1.01628442044073,30
2012-09-11,1.018658648403238,30
2012-09-12,1.0197391169811916,30
2012-09-13,1.0323147093558125,30
2012-09-14,1.032549642428088,30
2012-09-17,1.030877489817585,30
2012-09-18,1.0293405807469242,30
2012-09-19,1.0307000556283896,30
2012-09-20,1.0325348375213097,30
2012-09-21,1.032398943381813,30
2012-09-24,1.0301626127782586,30
2012-09-25,1.0230412983013808,30
2012-09-26,1.0208351407144918,30
2012-09-27,1.0264904430980037,30
2012-09-28,1.021198424071882,30
2012-10-01,1.0256748881610407,30
2012-10-02,1.0270210515804523,30
2012-10-03,1.0342421096776793,30
2012-10-04,1.0440405857388815,30
2012-10-05,1.0468140087165008,30
2012-10-08,1.048258591653032,30
2012-10-09,1.0353727019141652,30
2012-10-10,1.0278372227467698,30
2012-10-11,1.0284299930589742,30
2012-10-12,1.0261490481771889,30
2012-10-15,1.0361768641080509,30
2012-10-16,1.0449481963475693,30
2012-10-17,1.0473101856613127,30
2012-10-18,1.049996630449993,30
2012-10-19,1.0313736059940073,30
2012-10-22,1.0306434935059667,30
2012-10-23,1.0207472166054419,30
2012-10-24,1.014854723753442,30
2012-10-25,1.019599217765315,30
2012-10-26,1.0258105084390887,30
2012-10-31,1.0289588652197488,30
2012-11-01,1.0407950122085092,30
2012-11-02,1.0312876093984786,30
2012-11-05,1.03204529787396,30
2012-11-06,1.0396626647947977,30
2012-11-07,1.0185486502884535,30
2012-11-08,1.0042700444882353,30
2012-11-09,1.0085376574225275,30
2012-11-12,1.009543824525905,30
2012-11-13,1.005975927761417,30
2012-11-14,0.9914226460981722,30
2012-11-15,0.9873869584690943,30
2012-11-16,0.9897381891720315,30
2012-11-19,1.0044124724014365,30
2012-11-20,1.0052597547368995,30
2012-11-21,1.0068348685112307,30
2012-11-23,1.0197649935565056,30
2012-11-26,1.0188116600876702,30
2012-11-27,1.0137192455972643,30
2012-11-28,1.0225667668943,30
2012-11-29,1.0251406407029866,30
2012-11-30,1.0258000850193427,30
2012-12-03,1.0191963586279287,30
2012-12-04,1.0253411553999945,30
2012-12-05,1.027621058062081,30
2012-12-06,1.034390168456191,30
2012-12-07,1.04005062958687,30
2012-12-10,1.0406549593959344,30
2012-12-11,1.047516553926646,30
2012-12-12,1.0489740387427908,30
2012-12-13,1.0432962506269021,30
2012-12-14,1.0417645619646947,30
2012-12-17,1.0496296086949015,30
2012-12-18,1.0594157972965215,30
2012-12-19,1.052759748952296,30
2012-12-20,1.0556725024585327,30
