rebalance_period_end,available_date,execution_date,ticker,sector,sy_score,rank,weight,entry_close
2012-03-31,2012-05-05,2012-05-07,NFLX,Services-Video Tape Rental,5.2474453570991875,1,0.03333333333333333,1.0492860078811646
2012-03-31,2012-05-05,2012-05-07,T,Telephone Communications (No Radiotelephone),4.4644183421988055,2,0.03333333333333333,9.389631271362305
2012-03-31,2012-05-05,2012-05-07,KO,Beverages,1.394950943197326,3,0.03333333333333333,25.081043243408203
2012-03-31,2012-05-05,2012-05-07,LMT,Guided Missiles & Space Vehicles & Parts,1.0073609259915266,4,0.03333333333333333,57.80459976196289
2012-03-31,2012-05-05,2012-05-07,BMY,Pharmaceutical Preparations,1.000285393378695,5,0.03333333333333333,21.040807723999023
2012-03-31,2012-05-05,2012-05-07,NKE,Rubber & Plastics Footwear,0.7704257015934158,6,0.03333333333333333,23.22284698486328
2012-03-31,2012-05-05,2012-05-07,CVX,Petroleum Refining,0.7215665472675834,7,0.03333333333333333,58.14188003540039
2012-03-31,2012-05-05,2012-05-07,RTX,Aircraft Engines & Engine Parts,0.5263124909090748,8,0.03333333333333333,35.77824783325195
2012-03-31,2012-05-05,2012-05-07,AMAT,Semiconductors & Related Devices,0.5251381985346363,9,0.03333333333333333,9.08803939819336
2012-03-31,2012-05-05,2012-05-07,PG,"Soap, Detergents, Cleang Preparations, Perfumes, Cosmetics",0.4669914935354157,10,0.03333333333333333,43.05352020263672
2012-03-31,2012-05-05,2012-05-07,VZ,Telephone Communications (No Radiotelephone),0.4661114830605467,11,0.03333333333333333,19.910314559936523
2012-03-31,2012-05-05,2012-05-07,PEP,Beverages,0.3162706867157957,12,0.03333333333333333,43.85214614868164
2012-03-31,2012-05-05,2012-05-07,MCD,Retail-Eating  Places,0.311643940922273,13,0.03333333333333333,65.73583984375
2012-03-31,2012-05-05,2012-05-07,UNP,"Railroads, Line-Haul Operating",0.28385178555701784,14,0.03333333333333333,41.83892440795898
2012-03-31,2012-05-05,2012-05-07,INTC,Semiconductors & Related Devices,0.27865948047788924,15,0.03333333333333333,19.47865867614746
2012-03-31,2012-05-05,2012-05-07,APD,Industrial Inorganic Chemicals,0.07298513616807595,16,0.03333333333333333,55.91165542602539
2012-03-31,2012-05-05,2012-05-07,MSFT,Services-Prepackaged Software,0.05801799090310944,17,0.03333333333333333,24.10713577270508
2012-03-31,2012-05-05,2012-05-07,SPGI,"Services-Consumer Credit Reporting, Collection Agencies",0.04770723851408672,18,0.03333333333333333,39.52089309692383
2012-03-31,2012-05-05,2012-05-07,DE,Farm Machinery & Equipment,-0.12246174703866977,19,0.03333333333333333,61.51992034912109
2012-03-31,2012-05-05,2012-05-07,SBUX,Retail-Eating & Drinking Places,-0.1224674744195195,20,0.03333333333333333,21.19735145568848
2012-03-31,2012-05-05,2012-05-07,UNH,Hospital & Medical Service Plans,-0.42440977266767677,21,0.03333333333333333,43.98545837402344
