ticker,name,date,close,prev_close,daily_return,abs_return,open_vs_prev_close_pct,open_limit_move_29p,open,volume,trading_value,trade_value_zero_or_na,estimated_trade_value_flag,estimated_market_cap_flag,market_cap,shares_outstanding,in_dynamic_universe,source_panel,ratio,extreme_class_candidate
25560,미래산업,2020-07-02,3700.0,79.0,45.83544303797469,45.83544303797469,46.46835443037975,True,3750.0,2026486.0,7745779635.0,False,False,False,62398161600.0,16864368,False,2018_2024,46.835443037974684,likely_split_or_reverse_combination
145210,다이나믹디자인,2022-05-04,6690.0,238.0,27.10924369747899,27.10924369747899,28.369747899159663,True,6990.0,232277.0,1604646270.0,False,False,False,35298500520.0,5276308,False,2018_2024,28.10924369747899,likely_split_or_reverse_combination
30790,동양네트웍스,2020-03-02,5700.0,317.0,16.981072555205046,16.981072555205046,18.305993690851736,True,6120.0,3548513.0,23024261655.0,False,False,False,33816977100.0,5932803,True,2018_2024,17.981072555205046,likely_split_or_reverse_combination
25620,제이준코스메틱,2022-12-19,6930.0,388.0,16.86082474226804,16.86082474226804,18.304123711340207,True,7490.0,129028.0,910402950.0,False,False,False,26674526340.0,3849138,False,2018_2024,17.86082474226804,likely_split_or_reverse_combination
109070,컨버즈,2020-03-05,17150.0,1100.0,14.590909090909092,14.590909090909092,11.0,True,13200.0,1096164.0,16206404500.0,False,False,False,57888401550.0,3375417,True,2018_2024,15.590909090909092,likely_split_or_reverse_combination
1440,대한전선,2023-05-16,15860.0,1492.0,9.630026809651474,9.630026809651474,9.89142091152815,True,16250.0,8538027.0,142556853690.0,False,False,False,1973734178000.0,124447300,True,2018_2024,10.630026809651474,likely_split_or_reverse_combination
5980,성지건설,2018-01-24,8420.0,820.0,9.268292682926829,9.268292682926829,11.195121951219512,True,10000.0,2422547.0,22618392140.0,False,False,False,108725102400.0,12912720,True,2018_2024,10.268292682926829,likely_split_or_reverse_combination
12170,키위미디어그룹,2021-01-04,1485.0,150.0,8.9,8.9,-1.0,True,0.0,0.0,0.0,True,False,False,54962074530.0,37011498,False,2018_2024,9.9,large_jump_split_candidate
6980,우성사료,2021-04-19,39250.0,4085.0,8.608323133414933,8.608323133414933,9.0734394124847,True,41150.0,198872.0,7838347700.0,False,False,False,121282500000.0,3090000,False,2018_2024,9.608323133414933,large_jump_split_candidate
93230,이아이디,2022-05-24,1700.0,177.0,8.6045197740113,8.6045197740113,9.254237288135592,True,1815.0,2870513.0,5085736220.0,False,False,False,159923233000.0,94072490,False,2018_2024,9.6045197740113,large_jump_split_candidate
71950,코아스,2024-10-04,10250.0,1070.0,8.57943925233645,8.57943925233645,9.38317757009346,True,11110.0,182279.0,1932867200.0,False,False,False,33729880000.0,3290720,False,2018_2024,9.57943925233645,large_jump_split_candidate
1140,국보,2023-05-23,5400.0,570.0,8.473684210526315,8.473684210526315,8.789473684210526,True,5580.0,146877.0,797484370.0,False,False,False,57336606000.0,10617890,False,2018_2024,9.473684210526315,large_jump_split_candidate
36420,제이콘텐트리,2019-08-02,42250.0,4620.0,8.145021645021645,8.145021645021645,8.415584415584416,True,43500.0,426748.0,18034079450.0,False,False,False,608691440500.0,14406898,False,2018_2024,9.145021645021645,large_jump_split_candidate
3060,에이프로젠바이오로직스,2024-04-16,1718.0,190.0,8.042105263157895,8.042105263157895,8.56842105263158,True,1818.0,2689427.0,5209511634.0,False,False,False,114376654024.0,66575468,False,2018_2024,9.042105263157895,large_jump_split_candidate
300,대유플러스,2024-10-25,1984.0,241.0,7.232365145228215,7.232365145228215,-1.0,True,0.0,0.0,0.0,True,False,False,156936737152.0,79101178,False,2018_2024,8.232365145228215,large_jump_split_candidate
15260,에이엔피,2020-10-22,1150.0,165.0,5.96969696969697,5.96969696969697,6.757575757575758,True,1280.0,485841.0,589980070.0,False,False,False,13600370350.0,11826409,False,2018_2024,6.96969696969697,large_jump_split_candidate
97230,한진중공업,2019-05-21,8930.0,1645.0,4.428571428571429,4.428571428571429,5.048632218844984,True,9950.0,2982948.0,27070348790.0,False,False,False,129780931270.0,14533139,True,2018_2024,5.428571428571429,large_jump_split_candidate
71970,STX중공업,2018-12-27,6160.0,1135.0,4.427312775330397,4.427312775330397,6.753303964757709,True,8800.0,1619747.0,11010424740.0,False,False,False,172983462960.0,28081731,True,2018_2024,5.427312775330397,large_jump_split_candidate
2900,TYM,2023-05-22,12720.0,2490.0,4.108433734939759,4.108433734939759,4.2008032128514055,True,12950.0,1006716.0,12879577710.0,False,False,False,387587927280.0,30470749,False,2018_2024,5.108433734939759,large_jump_split_candidate
11690,와이투솔루션,2023-09-12,4450.0,890.0,4.0,4.0,3.870786516853933,True,4335.0,1058780.0,4551757655.0,False,False,False,162756053300.0,36574394,False,2018_2024,5.0,large_jump_split_candidate
91090,세원이앤씨,2023-08-14,1270.0,254.0,4.0,4.0,-1.0,True,0.0,0.0,0.0,True,False,False,54838923850.0,43180255,False,2018_2024,5.0,large_jump_split_candidate
10580,지코,2022-01-03,1530.0,306.0,4.0,4.0,-1.0,True,0.0,0.0,0.0,True,False,False,100210979160.0,65497372,False,2018_2024,5.0,large_jump_split_candidate
90370,메타랩스,2022-12-02,2965.0,621.0,3.7745571658615136,3.7745571658615136,3.98389694041868,True,3095.0,137267.0,410311155.0,False,False,False,73842402885.0,24904689,False,2018_2024,4.774557165861514,large_jump_split_candidate
25560,미래산업,2021-04-30,15450.0,3335.0,3.6326836581709134,3.6326836581709134,3.8125937031484254,True,16050.0,130150.0,2047531550.0,False,False,False,57668438250.0,3732585,False,2018_2024,4.632683658170914,large_jump_split_candidate
7120,미래아이앤지,2023-05-04,1546.0,350.0,3.4171428571428573,3.4171428571428573,3.7142857142857135,True,1650.0,880326.0,1387307164.0,False,False,False,43108020864.0,27883584,False,2018_2024,4.417142857142857,large_jump_split_candidate
2070,비비안,2020-08-21,4280.0,991.0,3.318869828456105,3.318869828456105,3.036326942482341,True,4000.0,1894380.0,8673853750.0,False,False,False,58789609200.0,13735890,False,2018_2024,4.318869828456105,large_jump_split_candidate
20560,아시아나항공,2021-01-15,18000.0,4210.0,3.2755344418052257,3.2755344418052257,3.2755344418052257,True,18000.0,25370632.0,472048975250.0,False,False,False,1339411752000.0,74411764,True,2018_2024,4.275534441805226,large_jump_split_candidate
2880,대유에이텍,2023-12-20,1341.0,322.0,3.164596273291925,3.164596273291925,2.5093167701863357,True,1130.0,29118425.0,39465425412.0,False,False,False,51937330959.0,38730299,True,2018_2024,4.1645962732919255,large_jump_split_candidate
5110,한창,2023-10-27,1656.0,400.0,3.14,3.14,3.0,True,1600.0,4691587.0,7827697924.0,False,False,False,30812208336.0,18606406,False,2018_2024,4.14,large_jump_split_candidate
3280,흥아해운,2021-07-08,1035.0,258.0,3.011627906976744,3.011627906976744,-1.0,True,0.0,0.0,0.0,True,False,False,27035732835.0,26121481,False,2018_2024,4.011627906976744,large_jump_split_candidate
40,KR모터스,2020-02-19,925.0,250.0,2.7,2.7,3.06,True,1015.0,16798455.0,19477058009.0,False,False,False,43808941650.0,47361018,True,2018_2024,3.7,large_jump_split_candidate
12170,아센디오,2021-05-03,3910.0,1105.0,2.5384615384615383,2.5384615384615383,2.0,True,3315.0,6046880.0,23141172030.0,False,False,False,248320956360.0,63509196,False,2018_2024,3.5384615384615383,large_jump_split_candidate
3620,쌍용차,2023-01-02,8760.0,2770.0,2.162454873646209,2.162454873646209,-1.0,True,0.0,0.0,0.0,True,False,False,1462534770240.0,166956024,False,2018_2024,3.1624548736462095,large_jump_split_candidate
3720,삼영화학,2021-01-04,2565.0,829.0,2.0940892641737032,2.0940892641737032,2.1423401688781665,True,2605.0,373869.0,961607250.0,False,False,False,87210000000.0,34000000,False,2018_2024,3.0940892641737032,large_jump_split_candidate
40,KR모터스,2024-03-18,1433.0,465.0,2.0817204301075267,2.0817204301075267,2.49247311827957,True,1624.0,6921671.0,10921137304.0,False,False,False,41747399844.0,29132868,False,2018_2024,3.0817204301075267,large_jump_split_candidate
33180,KH 필룩스,2023-10-04,1326.0,442.0,2.0,2.0,-1.0,True,0.0,0.0,0.0,True,False,False,84294994836.0,63570886,False,2018_2024,3.0,large_jump_split_candidate
