signal_id,bucket_dim,bucket,regime,ic5_mean,n_dates,status
sig_reversal_5,liq_bucket,low,PAST,0.007929006058620196,548,measured_with_caveat
sig_reversal_5,liq_bucket,low,PRESENT,-0.0007032149149116602,809,measured_with_caveat
sig_reversal_5,liq_bucket,mid,PAST,0.026798077411346512,960,measured_with_caveat
sig_reversal_5,liq_bucket,mid,PRESENT,0.03185866374815703,1023,measured_with_caveat
sig_reversal_5,liq_bucket,high,PAST,0.06116754216345202,986,measured_with_caveat
sig_reversal_5,liq_bucket,high,PRESENT,0.024960611437144484,1054,measured_with_caveat
sig_reversal_5,cap_bucket,small,PAST,0.04174748531430961,130,measured_with_caveat
sig_reversal_5,cap_bucket,small,PRESENT,0.07736216703274391,262,measured_with_caveat
sig_reversal_5,cap_bucket,mid,PAST,0.02203417078976793,978,measured_with_caveat
sig_reversal_5,cap_bucket,mid,PRESENT,0.0065695439127193365,1048,measured_with_caveat
sig_reversal_5,cap_bucket,large,PAST,0.039722264588433524,986,measured_with_caveat
sig_reversal_5,cap_bucket,large,PRESENT,0.0031729735806248806,1054,measured_with_caveat
sig_mom_5,liq_bucket,low,PAST,-0.007929006058620196,548,measured_with_caveat
sig_mom_5,liq_bucket,low,PRESENT,0.0007032149149116602,809,measured_with_caveat
sig_mom_5,liq_bucket,mid,PAST,-0.026798077411346512,960,measured_with_caveat
sig_mom_5,liq_bucket,mid,PRESENT,-0.03185866374815703,1023,measured_with_caveat
sig_mom_5,liq_bucket,high,PAST,-0.06116754216345202,986,measured_with_caveat
sig_mom_5,liq_bucket,high,PRESENT,-0.024960611437144484,1054,measured_with_caveat
sig_mom_5,cap_bucket,small,PAST,-0.04174748531430961,130,measured_with_caveat
sig_mom_5,cap_bucket,small,PRESENT,-0.07736216703274391,262,measured_with_caveat
sig_mom_5,cap_bucket,mid,PAST,-0.02203417078976793,978,measured_with_caveat
sig_mom_5,cap_bucket,mid,PRESENT,-0.0065695439127193365,1048,measured_with_caveat
sig_mom_5,cap_bucket,large,PAST,-0.039722264588433524,986,measured_with_caveat
sig_mom_5,cap_bucket,large,PRESENT,-0.0031729735806248806,1054,measured_with_caveat
sig_mom_20,liq_bucket,low,PAST,-0.02157041843669853,532,measured_with_caveat
sig_mom_20,liq_bucket,low,PRESENT,0.0011623268618466095,803,measured_with_caveat
sig_mom_20,liq_bucket,mid,PAST,-0.014623241575381803,958,measured_with_caveat
sig_mom_20,liq_bucket,mid,PRESENT,-0.02930563527038918,1021,measured_with_caveat
sig_mom_20,liq_bucket,high,PAST,-0.043998322591153695,986,measured_with_caveat
sig_mom_20,liq_bucket,high,PRESENT,-0.020147287657858053,1054,measured_with_caveat
sig_mom_20,cap_bucket,small,PAST,-0.09639719017598498,90,measured_with_caveat
sig_mom_20,cap_bucket,small,PRESENT,-0.06281207473874284,212,measured_with_caveat
sig_mom_20,cap_bucket,mid,PAST,-0.017894408497091143,977,measured_with_caveat
sig_mom_20,cap_bucket,mid,PRESENT,-0.013385326301822417,1048,measured_with_caveat
sig_mom_20,cap_bucket,large,PAST,-0.01340990950680395,986,measured_with_caveat
sig_mom_20,cap_bucket,large,PRESENT,-0.0012290958387660832,1054,measured_with_caveat
sig_flow_foreign_amt_mcap,liq_bucket,low,PAST,-0.006992494965211829,548,measured_with_caveat
sig_flow_foreign_amt_mcap,liq_bucket,low,PRESENT,0.00897672841748413,804,measured_with_caveat
sig_flow_foreign_amt_mcap,liq_bucket,mid,PAST,-0.02609330812316092,960,measured_with_caveat
sig_flow_foreign_amt_mcap,liq_bucket,mid,PRESENT,-0.01676228642929681,1022,measured_with_caveat
sig_flow_foreign_amt_mcap,liq_bucket,high,PAST,-0.006854732417933987,986,measured_with_caveat
sig_flow_foreign_amt_mcap,liq_bucket,high,PRESENT,-0.006661519675428497,1054,measured_with_caveat
sig_flow_foreign_amt_mcap,cap_bucket,small,PAST,0.029597612062140056,139,measured_with_caveat
sig_flow_foreign_amt_mcap,cap_bucket,small,PRESENT,-0.008321426036177542,262,measured_with_caveat
sig_flow_foreign_amt_mcap,cap_bucket,mid,PAST,-0.008984779147587099,978,measured_with_caveat
sig_flow_foreign_amt_mcap,cap_bucket,mid,PRESENT,-0.0012008405300317788,1048,measured_with_caveat
sig_flow_foreign_amt_mcap,cap_bucket,large,PAST,-0.019907076741921444,986,measured_with_caveat
sig_flow_foreign_amt_mcap,cap_bucket,large,PRESENT,-0.008629663823209354,1054,measured_with_caveat
sig_borrow_ratio,liq_bucket,low,PAST,-0.011195372032654959,539,measured_with_caveat
sig_borrow_ratio,liq_bucket,low,PRESENT,-0.028358563187939258,803,measured_with_caveat
sig_borrow_ratio,liq_bucket,mid,PAST,-0.08328888648430277,938,measured_with_caveat
sig_borrow_ratio,liq_bucket,mid,PRESENT,-0.06650994759189291,1016,measured_with_caveat
sig_borrow_ratio,liq_bucket,high,PAST,0.009105675601445382,964,measured_with_caveat
sig_borrow_ratio,liq_bucket,high,PRESENT,-0.01685411351514208,1047,measured_with_caveat
sig_borrow_ratio,cap_bucket,small,PAST,-0.08597458559148387,130,measured_with_caveat
sig_borrow_ratio,cap_bucket,small,PRESENT,-0.06955010954109149,259,measured_with_caveat
sig_borrow_ratio,cap_bucket,mid,PAST,-0.014755577380653138,956,measured_with_caveat
sig_borrow_ratio,cap_bucket,mid,PRESENT,-0.013740278114824547,1041,measured_with_caveat
