horizon_d,raw_n,guarded_n,nan_by_guard,raw_max,guarded_max,raw_mean,guarded_mean,gap_days_p99,gap_days_max,threshold_days
1,401175,372643,28532,283.5238095238095,1.1928071928071926,0.003972432283465204,0.0025785173163146557,152.0,5121.0,8.7
3,399382,339182,60200,297.75,2.704379562043796,0.010409767384944634,0.0058416879420942775,435.0,5311.0,12.1
5,397651,319931,77720,303.375,5.253041362530413,0.016032664812473462,0.008178208413350504,658.5,5412.0,15.5
10,393517,290706,102811,312.0952380952381,7.542199488491049,0.026632032177289787,0.012796710647152857,1049.0,5509.0,24.0
20,385920,261218,124702,380.875,4.288065843621399,0.0469785631155597,0.02009617113157982,1532.0,5699.0,41.0
