carrier,baseline_cumulative_net_total_return,mdd_cumulative_net_total_return,baseline_sharpe,mdd_sharpe,baseline_max_drawdown,mdd_max_drawdown,return_delta_pp,mdd_improvement_pp,exposure_scalar_lt_1_count,exposure_scalar_lt_1_share,mdd_period_min_exposure_scalar,mdd_period_mean_exposure_scalar,mdd_period_scalar_lt_1_share,mdd_peak_active_exposure_scalar,mdd_trough_active_exposure_scalar,mdd_peak_date,mdd_trough_date
D013,2.5457702903350135,1.7277771621578437,0.5333654677635088,0.4561585164400151,-0.3392346174957135,-0.3392346174957134,-0.8179931281771697,1.1102230246251565e-16,19,0.3114754098360656,,,,1.0,1.0,2020-02-17,2020-03-19
E014,3.621084739339225,2.725353384103918,0.6311872415922518,0.5932677623565429,-0.35641869371448887,-0.2999204241636154,-0.895731355235307,0.05649826955087345,17,0.2786885245901639,0.839619096122815,0.9510141878780423,0.625,1.0,1.0,2018-01-29,2020-03-19
