year,trades,net,annualized,max_DD,sharpe
2010,0,0.0,0.0,0.0,
2011,0,0.0,0.0,0.0,
2012,0,0.0,0.0,0.0,
2013,0,0.0,0.0,0.0,
2014,0,0.0,0.0,0.0,
2015,0,0.0,0.0,0.0,
2017,10,0.08987955412387216,0.09335927765680285,-0.11298387285128875,0.8003777045311732
2018,5,-0.03674641705380932,-0.03792807993593894,-0.07948856250105363,-0.3659592558081089
2019,10,0.024862430545345315,0.02547649176871425,-0.12231636630910214,0.1974730177945756
2020,20,0.4545564306729326,0.46337375339005793,-0.3390579888103834,1.5021906360908734
2021,20,-0.12935131886996243,-0.1312942994277898,-0.2548526208274051,-0.6024178395493203
2022,5,-0.09808983419608175,-0.10035803893821982,-0.18073176277927072,-0.7742292874371667
2023,5,0.08130004587641082,0.08371756735699942,-0.10668991812539974,0.5461626538475435
2024,15,0.03784014308206429,0.03910475613723596,-0.12972908235311253,0.209199325267672
2025,10,0.5632032349588154,0.5923282945418538,-0.11717981987093085,2.5418735750303485
2026,10,0.5574543715038358,2.9023405503213744,-0.22956675781658265,5.136839809460303
