carrier,rank_ic_pooled,rank_ic_mean,rank_ic_t_stat,rank_ic_n_quarters,spread,spread_t_stat,positive_spread_ratio
F007-A D013 direct,0.0815202972540208,0.1078204577310744,3.484461857478083,22.0,0.1231529275480759,2.7322366235088094,0.8636363636363636
F007-B E014,0.067431176899356,0.0626711445276742,1.4141523336933082,22.0,0.1365430468235032,3.004854963280505,0.7727272727272727
