signal_date,ticker,sector_code,sector_name,combined_variant,stock_rs_score,stock_foreign_flow_score,stock_institution_flow_score,stock_liquidity_score,foreign_flow_20,foreign_flow_60,institution_flow_20,institution_flow_60,liquidity_change,turnover_change,volatility_60d,sector_volatility_mean,sector_volatility_std,extreme_volatility,flow_confirm_bonus,flow_confirm_penalty,alignment_adjustment,liquidity_confirm_bonus,extreme_volatility_penalty,raw_stock_combined_score,stock_combined_score,eligible_for_score
2020-06-30,000020,07,헬스케어,F007,,,,,-0.005119981878479677,,-0.0002602310941878164,,,,,0.07029610567016586,0.0232538052703922,False,0.0,0.0,0.0,0.0,0.0,,,False
2021-09-30,000020,07,헬스케어,F007,1.674651427244083,-1.2360606172281132,0.7774114577984093,,-0.005453679849245677,-0.04091445154552783,0.00010386943457804075,-0.0015535369756253942,,,0.07851618134711678,0.05679315501473673,0.0220537673809784,False,0.0,1.0,-0.5,0.0,0.0,0.6746514272440829,0.36881997364573404,True
2014-12-30,000030,06,금융,F007,,,,,,,,,,,,0.02819826867020466,0.020769940790274912,False,0.0,0.0,0.0,0.0,0.0,,,False
2015-03-31,000030,06,금융,F007,-0.5802307104554306,,,,,,,,,,0.018867773819104594,0.03280999893257496,0.016537282555652094,False,0.0,0.0,0.0,0.0,0.0,-0.5802307104554306,-0.20005505907966029,True
2015-06-30,000030,06,금융,F007,-0.667357826941265,,,-0.22527617351996304,,,,,0.8715117863661234,0.874759474582028,0.02764832298510867,0.029021777291896533,0.010340477413718952,False,0.0,0.0,0.0,0.0,0.0,-0.667357826941265,-1.2035035116655532,True
2015-09-30,000030,06,금융,F007,-0.42848945159567253,,,-0.6417719977197118,,,,,0.6521337087876854,0.7076870165099741,0.018468187662993765,0.028385066115690194,0.01214588901117511,False,0.0,0.0,0.0,0.0,0.0,-0.42848945159567253,-0.3278808035516156,True
2015-12-30,000030,06,금융,F007,-0.31612117342540746,,,-0.3695177013372633,,,,,0.7449508143454653,0.783830181907512,0.01363096189644083,0.021845551625562835,0.00912165194330874,False,0.0,0.0,0.0,0.0,0.0,-0.31612117342540746,0.17082438311209103,True
2017-03-31,000030,06,금융,F007,-0.6645666923803941,,,-0.46760491276598826,0.02984387758830788,,-0.05041218460805617,,1.025085064913104,0.8381523655819763,0.013789146295385918,0.01805126918481525,0.0074864131094061915,False,0.0,0.0,0.0,1.0,0.0,-0.6645666923803941,-0.9607652252173725,True
2017-06-30,000030,06,금융,F007,1.8308002818461317,-0.6617401895320285,1.308984952051983,1.9322312282443648,0.03231082196118975,0.01032049475232918,0.11734016761465867,0.009350167388271515,2.1412581575813876,1.869865380465707,0.014722464316667752,0.02138291782623882,0.013490873995492031,False,1.0,0.0,1.0,1.0,0.0,2.8308002818461317,1.9460150226361284,True
2017-09-29,000030,06,금융,F007,-0.6759673321904311,-0.7482726980432245,0.7027328883086168,-0.11328262999251393,-0.07066219344129009,0.015437771940728954,0.07904923572452666,0.0009077663923557588,0.8237741941727312,0.8025471865316739,0.012804965508218533,0.018539109650942305,0.004458179242679802,False,0.0,0.0,0.0,0.0,0.0,-0.6759673321904311,-1.1682875717735757,True
2017-12-28,000030,06,금융,F007,-0.8308063619888773,-0.2058992659353343,-0.37729626105912806,-0.6748539831682272,-0.0006979404052830787,-0.004944535582793275,0.005151757536614047,-0.0058468429369775525,0.753127949135172,0.8240046863815037,0.01704994452581395,0.01860555771404848,0.006415769808978732,False,0.0,1.0,-0.5,0.0,0.0,-1.8308063619888773,-1.0486826717318642,True
2018-03-30,000030,06,금융,F007,-1.2723485347365389,-1.7211005272500481,0.352560765938691,0.6012008882385989,-0.192267574334532,-0.002269236221903589,0.008115936603766678,-0.0030065954520669667,1.0523733907140986,1.1221185294518592,0.019386570022111235,0.022337837372490246,0.005580452495589459,False,0.0,1.0,-0.5,1.0,0.0,-2.2723485347365386,-1.474186940717265,True
2018-06-29,000030,06,금융,F007,-0.01198229645042719,-0.653657034649075,0.877034210570277,0.38655497750338735,-0.03342468023050202,-0.013456845754528624,0.08372900820856694,0.010657458012669256,1.1298394810699854,1.0954385502606132,0.020674747009066116,0.023035305643943814,0.008587327655973186,False,0.0,1.0,-0.5,1.0,0.0,-1.0119822964504273,-0.9119341467520751,True
2018-09-28,000030,06,금융,F007,-0.3442535800642145,0.9613049150632348,-0.970360694169435,-1.4797876786814756,0.08443449311686675,0.0180519609213613,-0.05130874947318343,-0.004036142930919786,0.6771809565775784,0.6592584256141273,0.013341499478444447,0.019719596243493027,0.007218105843627225,False,1.0,0.0,0.5,0.0,0.0,0.6557464199357854,0.49981983208141556,True
2018-12-28,000030,06,금융,F007,-0.1746736095798195,0.5940281940497693,-0.9525397707971309,-0.0007694077848031931,0.027061485139534866,0.004291804444507662,-0.08394550937484405,-0.006947428135905022,1.0180131561414607,1.0436743281031522,0.013458804945297184,0.025249352093259573,0.01384209114942992,False,1.0,0.0,0.5,1.0,0.0,0.8253263904201805,0.8935936710400159,True
2015-09-30,000070,10,음식료,F007,,,,,-0.03370831536546143,,0.018498086801862303,,,,,0.028856233028829132,0.005423260483767947,False,0.0,0.0,0.0,0.0,0.0,,,False
2013-12-30,000080,10,음식료,F007,,,,,-0.05717042787530853,,-0.058586300909880894,,,,,0.018600861490294412,0.007877638562341024,False,0.0,0.0,0.0,0.0,0.0,,,False
2019-09-30,000080,10,음식료,F007,-0.26724210672452464,1.3156910364842704,1.150585120225746,0.4757149658935138,0.031616144365388774,0.02481012445868585,0.024894864071047428,0.03395997290673889,1.0398034439703607,0.9702902210646114,0.031131528320266513,0.05669376453137296,0.03301193899241629,False,1.0,0.0,1.0,1.0,0.0,0.7327578932754754,1.2163150234299507,True
2020-06-30,000080,10,음식료,F007,0.23261675292028267,1.39808524734117,1.3832781466997972,1.413959862912335,0.0014147315525321086,-0.00962496542563919,0.04616045245584062,0.029358526208225676,1.7266895649588503,1.3240803872928653,0.03727851570721846,0.04526807444602227,0.026258437194782765,False,0.0,0.0,0.0,1.0,0.0,0.23261675292028267,0.7662708477495614,True
2013-09-30,000100,07,헬스케어,F007,0.1439453474310507,-0.7383234282090773,1.003201314861066,,0.005242104703676892,-0.006596743900085089,0.06689652077100654,0.017402607678377764,,,0.03085138296017789,0.029973518859678402,0.013654782588487832,False,0.0,0.0,0.0,0.0,0.0,0.1439453474310507,-0.3147802762848737,True
2015-09-30,000100,07,헬스케어,F007,-0.4001066859423448,1.7203297810310811,-0.7168525159778594,0.9764694853546303,0.05246896762072643,0.021741713134575374,-0.048486210030112525,-0.007774674481001401,1.3651804342239884,1.1519857931429587,0.040430966233266724,0.07300622966159688,0.02994716825706042,False,1.0,0.0,0.5,1.0,0.0,0.5998933140576552,-0.05351950861047696,True
2017-03-31,000100,07,헬스케어,F007,-0.3756347713380928,2.054358534476901,2.069049312805747,0.5700958196182918,0.009100080433231178,0.03847447082340687,0.11134975293386333,-0.027971344849979804,0.8419034908237755,0.9269436021951752,0.028916064883267426,0.03937632344744824,0.023887661260410076,False,1.0,0.0,0.5,0.0,0.0,0.6243652286619072,0.4891015408429681,True
2017-06-30,000100,07,헬스케어,F007,-0.656674152425128,-0.8149139438630295,0.8024462290841085,-0.9319513007383484,-0.06294618094537682,-0.009878467003236356,0.021110189449663017,0.014859698139725479,0.9391792257743251,0.9409597253834463,0.026129436571720295,0.02738129372453173,0.004688022394455571,False,0.0,1.0,-0.5,0.0,0.0,-1.656674152425128,-1.3256743019495087,True
2017-09-29,000100,07,헬스케어,F007,-0.6018516459219321,-0.2719154780392751,-1.1351870370341814,0.42204494009675225,0.015574200914083746,-0.0067639201362660415,-0.10379942742496952,0.013773434358107052,0.8905466552135523,0.923297902723041,0.024428147698914847,0.03284200421077958,0.01444057713873274,False,0.0,0.0,0.0,0.0,0.0,-0.6018516459219321,-0.5270805268411662,True
2018-12-28,000100,07,헬스케어,F007,-0.6628370941649788,-1.1893702220434406,-1.2714533756007131,-0.6950692657699947,-0.03262763520685228,-0.01668470737907232,4.0072718072604855e-05,-0.023182942206955354,0.5922633258990977,0.6180545046122671,0.0514375037194544,0.040382435730240904,0.009705248725627533,True,0.0,1.0,-0.5,0.0,1.0,-1.6628370941649788,-1.0298475158622618,True
