window,hypothesis,description,value,threshold,passes
36,H1,60-month D010 reproduces D009 Sharpe 0.4144,0.31836179076818916,0.4144,
36,H7,Window Sharpe is at least 0.40 for plateau count,0.31836179076818916,0.4,False
36,H8,2010-2014 warmup-artifact trade count and return diagnostic,20.0,>0 for 36mo/48mo,True
36,H9,"ON share, max DD, and composite distribution are descriptive checks",0.4098360655737705,,
